Location Name,Work Performed Date,Location Address,Issue,Description,Labor Cost,Material Cost,Total Cost,Location
Bruce Vento,01/06/2013,293 Commercial Street,Graffiti,Graffiti on benches along backside of 293 Commercial,120.70,106.62,227.32,"(44.9528, -93.0733)"
McMurray,01/07/2013,1155 Jessamine Avenue West,Graffiti,Graffiti on field house building,30.17,26.65,56.82,"(44.9739, -93.149)"
Martin Lurther King,01/07/2013,271 Mackubin St.,Graffiti,Graffiti on wall of building facingthe school,108.40,48.10,156.50,"(44.9494, -93.1213)"
Como Regional,01/07/2013,1281 W. Como Blvd.,Graffiti,Graffiti on electrical pole near 850 Como Ave,54.20,14.05,68.25,"(44.9776, -93.1539)"
Lexington Pkwy,01/07/2013,350 Lexington Parkway North,Graffiti,Graffiti in Lexington Tunnel,30.17,41.65,71.82,"(44.9517, -93.1464)"
High Bridge (North),01/07/2013,476 Smith Ave,Graffiti,Graffiti on portions of the cliff and hand rails,61.41,13.31,74.72,"(44.9374, -93.1091)"
Ryan Park,01/09/2013,618 N. Avon,Graffiti,Graffiti an the park sign,54.20,4.05,58.25,"(44.9599, -93.1339)"
Orchard Rec,01/09/2013,875 Orchard Ave.,Graffiti,Graffiti on the building,108.40,53.10,161.50,"(44.9725, -93.1371)"
Hamms Plaza,01/14/2013,390 Washington,Graffiti,Graffiti on wall near bus shelter,108.40,18.10,126.50,"(44.9462, -93.0973)"
Dunning Athletic Bldg,01/14/2013,1188 Concordia Ave.,Graffiti,Graffiti on the buiilding and dumpster,108.40,48.10,156.50,"(44.9511, -93.1504)"
High Bridge N.,01/14/2013,476 Smith Ave,Graffiti,Graffiti on the railing and in front of the chair,115.61,17.36,132.97,"(44.9374, -93.1091)"
Lexington Pkwy,01/14/2013,350 Lexington Parkway North,Graffiti,Graffiti in the pedestrain tunnel,30.17,21.65,51.82,"(44.9517, -93.1464)"
Highland Picnic,01/16/2013,1200 Montreal Ave.,Graffiti,Graffiti on the picnic shelter,54.20,34.05,88.25,"(44.9124, -93.1513)"
Horton Park,01/16/2013,1362 Englewood Ave.,Graffiti,Graffiti on the concrete fixtures in the park,27.10,22.05,49.15,"(44.9641, -93.1579)"
Newell Park,01/17/2013,900 N. Fairview Ave.,Graffiti,Graffit on plexiglass permit boxes,54.20,34.05,88.25,"(44.968, -93.1759)"
Citywide Graffiti,01/17/2013,600 California St,Graffiti,Graffiti in the middle of the street 600 California,60.35,43.31,103.66,"(44.991, -93.0753)"
Ames Lake,01/29/2013,1380 Magnolia Ave E,Graffiti,Graffiti throughout the park,30.17,21.65,51.82,"(44.9739, -93.0422)"
Halie Q Brown,01/30/2013,270 Kent St.,Graffiti,Graffit doors and bldg on theater side,27.10,22.03,49.13,"(44.9494, -93.1237)"
Eastview,01/30/2013,1675 Fifth St. E.,Graffiti,Graffiti on the north side of the building,27.10,22.03,49.13,"(44.9596, -93.0296)"
Dousman,02/04/2013,186 Dousman St,Graffiti,Graffiti on park signs and tot lot,54.20,14.05,68.25,"(44.9359, -93.1124)"
