IntersectionID,Intersection1,Intersection2,Coordinates
1,LEXINGTON,Front,"44.970295, -93.146572"
2,LEXINGTON,Stinson,"44.969316, -93.146529"
3,LEXINGTON,Burgess,"44.968423, -93.146587"
4,LEXINGTON,PIERCEBUTLER,"44.966484, -93.146616"
5,LEXINGTON,Hubbard,"44.965723, -93.146601"
6,LEXINGTON,Seminary,"44.964816, -93.146601"
7,LEXINGTON,Englewood,"44.963926, -93.146539"
8,LEXINGTON,Minnehaha,"44.963024, -93.146609"
9,LEXINGTON,Vanburen,"44.962103, -93.146530"
10,LEXINGTON,Blair,"44.961202, -93.146541"
11,LEXINGTON,Lafond,"44.960284, -93.146534"
12,LEXINGTON,Thomas,"44.959371, -93.146547"
13,LEXINGTON,Edmund,"44.958471, -93.146540"
14,LEXINGTON,Charles,"44.957558, -93.146543"
15,LEXINGTON,Sherburne,"44.956644, -93.146545"
16,LEXINGTON,University,"44.955826, -93.146539"
17,Oxford,Front,"44.970215, -93.144056"
18,Oxford,Stinson,"44.969306, -93.144063"
19,Oxford,Burgess,"44.968405, -93.144056"
20,Oxford,Topping,"44.967506, -93.144072"
21,Oxford,PIERCEBUTLER,"44.966474, -93.144070"
22,Oxford,Hubbard,"44.965716, -93.144085"
23,Oxford,Seminary,"44.964801, -93.144073"
24,Oxford,Englewood,"44.963907, -93.144076"
25,Oxford,Minnehaha,"44.963013, -93.144076"
26,Oxford,Vanburen,"44.962097, -93.144085"
27,Oxford,Blair,"44.961194, -93.144074"
28,Oxford,Lafond,"44.960278, -93.144086"
29,Oxford,Thomas,"44.959368, -93.144091"
30,Oxford,Edmund,"44.958459, -93.144094"
31,Oxford,Charles,"44.957553, -93.144087"
32,Oxford,Sherburne,"44.956642, -93.144086"
33,Oxford,University,"44.955836, -93.144082"
34,Chatsworth,Front,"44.970208, -93.141528"
35,Chatsworth,Stinson,"44.969301, -93.141536"
36,Chatsworth,Burgess,"44.968396, -93.141537"
37,Chatsworth,Topping,"44.967497, -93.141540"
38,Chatsworth,PIERCEBUTLER,"44.966144, -93.141543"
39,Chatsworth,Hubbard,"44.965703, -93.141542"
40,Chatsworth,Seminary,"44.964802, -93.141549"
41,Chatsworth,Englewood,"44.963893, -93.141544"
42,Chatsworth,Minnehaha,"44.963002, -93.141548"
43,Chatsworth,Vanburen,"44.962081, -93.141554"
44,Chatsworth,Blair,"44.961184, -93.141555"
45,Chatsworth,Lafond,"44.960268, -93.141565"
46,Chatsworth,Thomas,"44.959365, -93.141564"
47,Chatsworth,Edmund,"44.958455, -93.141557"
48,Chatsworth,Charles,"44.957550, -93.141556"
49,Chatsworth,Sherburne,"44.956638, -93.141563"
50,Chatsworth,University,"44.955828, -93.141563"
51,Milton,PIERCEBUTLER,"44.965095, -93.139137"
52,Milton,Minnehaha,"44.963004, -93.139146"
53,Milton,Lafond,"44.960266, -93.139028"
54,Milton,Thomas,"44.959361, -93.139031"
55,Milton,Edmund,"44.958450, -93.139026"
56,Milton,Charles,"44.957543, -93.139026"
57,Milton,Sherburne,"44.956645, -93.139025"
58,Milton,University,"44.955831, -93.139018"
59,Victoria,PIERCEBUTLER,"44.964735, -93.136493"
60,Victoria,Englewood,"44.963890, -93.136498"
61,Victoria,Minnehaha,"44.962988, -93.136503"
62,Victoria,Vanburen,"44.962078, -93.136498"
63,Victoria,Blair,"44.961174, -93.136490"
64,Victoria,Lafond,"44.960275, -93.136490"
65,Victoria,Thomas,"44.959355, -93.136492"
66,Victoria,Edmund,"44.958449, -93.136487"
67,Victoria,Charles,"44.957542, -93.136495"
68,Victoria,Sherburne,"44.956632, -93.136486"
69,Victoria,University,"44.955825, -93.136478"
70,Avon,PIERCEBUTLER,"44.964723, -93.133974"
71,Avon,Englewood,"44.963888, -93.133975"
72,Avon,Minnehaha,"44.962981, -93.133966"
73,Avon,Vanburen,"44.962087, -93.133971"
74,Avon,Blair,"44.961176, -93.133970"
75,Avon,Lafond,"44.960263, -93.133969"
76,Avon,Thomas,"44.959357, -93.133967"
77,Avon,Edmund,"44.958443, -93.133968"
78,Avon,Charles,"44.957532, -93.133967"
79,Avon,Sherburne,"44.956632, -93.133946"
80,Avon,University,"44.955826, -93.133951"
81,Grotto,PIERCEBUTLER,"44.964722, -93.131433"
82,Grotto,Englewood,"44.963878, -93.131431"
83,Grotto,Minnehaha,"44.962975, -93.131446"
84,Grotto,Vanburen,"44.962068, -93.131437"
85,Grotto,Blair,"44.961170, -93.131442"
86,Grotto,Lafond,"44.960253, -93.131436"
