IndexKey,Coordinates,OutputKey
lexington_front,"44.970295, -93.146572",lexington_front
lexington_stinson,"44.969316, -93.146529",lexington_stinson
lexington_burgess,"44.968423, -93.146587",lexington_burgess
lexington_piercebutler,"44.966484, -93.146616",lexington_piercebutler
lexington_hubbard,"44.965723, -93.146601",lexington_hubbard
lexington_seminary,"44.964816, -93.146601",lexington_seminary
lexington_englewood,"44.963926, -93.146539",lexington_englewood
lexington_minnehaha,"44.963024, -93.146609",lexington_minnehaha
lexington_vanburen,"44.962103, -93.146530",lexington_vanburen
lexington_blair,"44.961202, -93.146541",lexington_blair
lexington_lafond,"44.960284, -93.146534",lexington_lafond
lexington_thomas,"44.959371, -93.146547",lexington_thomas
lexington_edmund,"44.958471, -93.146540",lexington_edmund
lexington_charles,"44.957558, -93.146543",lexington_charles
lexington_sherburne,"44.956644, -93.146545",lexington_sherburne
lexington_university,"44.955826, -93.146539",lexington_university
oxford_front,"44.970215, -93.144056",oxford_front
oxford_stinson,"44.969306, -93.144063",oxford_stinson
oxford_burgess,"44.968405, -93.144056",oxford_burgess
oxford_topping,"44.967506, -93.144072",oxford_topping
oxford_piercebutler,"44.966474, -93.144070",oxford_piercebutler
oxford_hubbard,"44.965716, -93.144085",oxford_hubbard
oxford_seminary,"44.964801, -93.144073",oxford_seminary
oxford_englewood,"44.963907, -93.144076",oxford_englewood
oxford_minnehaha,"44.963013, -93.144076",oxford_minnehaha
oxford_vanburen,"44.962097, -93.144085",oxford_vanburen
oxford_blair,"44.961194, -93.144074",oxford_blair
oxford_lafond,"44.960278, -93.144086",oxford_lafond
oxford_thomas,"44.959368, -93.144091",oxford_thomas
oxford_edmund,"44.958459, -93.144094",oxford_edmund
oxford_charles,"44.957553, -93.144087",oxford_charles
oxford_sherburne,"44.956642, -93.144086",oxford_sherburne
oxford_university,"44.955836, -93.144082",oxford_university
chatsworth_front,"44.970208, -93.141528",chatsworth_front
chatsworth_stinson,"44.969301, -93.141536",chatsworth_stinson
chatsworth_burgess,"44.968396, -93.141537",chatsworth_burgess
chatsworth_topping,"44.967497, -93.141540",chatsworth_topping
chatsworth_piercebutler,"44.966144, -93.141543",chatsworth_piercebutler
chatsworth_hubbard,"44.965703, -93.141542",chatsworth_hubbard
chatsworth_seminary,"44.964802, -93.141549",chatsworth_seminary
chatsworth_englewood,"44.963893, -93.141544",chatsworth_englewood
chatsworth_minnehaha,"44.963002, -93.141548",chatsworth_minnehaha
chatsworth_vanburen,"44.962081, -93.141554",chatsworth_vanburen
chatsworth_blair,"44.961184, -93.141555",chatsworth_blair
chatsworth_lafond,"44.960268, -93.141565",chatsworth_lafond
chatsworth_thomas,"44.959365, -93.141564",chatsworth_thomas
chatsworth_edmund,"44.958455, -93.141557",chatsworth_edmund
chatsworth_charles,"44.957550, -93.141556",chatsworth_charles
chatsworth_sherburne,"44.956638, -93.141563",chatsworth_sherburne
chatsworth_university,"44.955828, -93.141563",chatsworth_university
milton_piercebutler,"44.965095, -93.139137",milton_piercebutler
milton_minnehaha,"44.963004, -93.139146",milton_minnehaha
milton_lafond,"44.960266, -93.139028",milton_lafond
milton_thomas,"44.959361, -93.139031",milton_thomas
milton_edmund,"44.958450, -93.139026",milton_edmund
milton_charles,"44.957543, -93.139026",milton_charles
milton_sherburne,"44.956645, -93.139025",milton_sherburne
milton_university,"44.955831, -93.139018",milton_university
victoria_piercebutler,"44.964735, -93.136493",victoria_piercebutler
victoria_englewood,"44.963890, -93.136498",victoria_englewood
victoria_minnehaha,"44.962988, -93.136503",victoria_minnehaha
victoria_vanburen,"44.962078, -93.136498",victoria_vanburen
victoria_blair,"44.961174, -93.136490",victoria_blair
victoria_lafond,"44.960275, -93.136490",victoria_lafond
victoria_thomas,"44.959355, -93.136492",victoria_thomas
victoria_edmund,"44.958449, -93.136487",victoria_edmund
victoria_charles,"44.957542, -93.136495",victoria_charles
victoria_sherburne,"44.956632, -93.136486",victoria_sherburne
victoria_university,"44.955825, -93.136478",victoria_university
