Block,For_Address,Latitude,Longitude
100x aurora av,"1000 Aurora Ave, St Paul, MN 55104, USA",44.9546489,-93.1425009
100x blair av,"1000 Blair Ave, St Paul, MN 55104, USA",44.9609526,-93.1425275
100x burgess st,"1000 Burgess St, St Paul, MN 55103, USA",44.968185999999996,-93.14239350000001
100x central av w,"1000 Central Ave W, St Paul, MN 55104, USA",44.95281019999999,-93.1424812
100x charles av,"1000 Charles Ave, St Paul, MN 55104, USA",44.957344299999995,-93.1425116
100x edmund av,"1000 Edmund Ave W, St Paul, MN 55104, USA",44.9582408,-93.1424546
100x englewood av,"1000 Englewood Ave, St Paul, MN 55104, USA",44.96375620000001,-93.1425079
100x fuller av,"1000 Fuller Ave, St Paul, MN 55104, USA",44.9537381,-93.1425009
100x hubbard av,"1000 Hubbard Ave, St Paul, MN 55104, USA",44.9655051,-93.14250329999999
100x iglehart av,"1000 Iglehart Ave, St Paul, MN 55104, USA",44.94921950000001,-93.14254009999999
100x lafond av,"1000 Lafond Ave, St Paul, MN 55104, USA",44.9602764,-93.1425104
100x marshall av,"1000 Marshall Ave, St Paul, MN 55104, USA",44.9482787,-93.14230500000001
100x minnehaha av w,"1000 W Minnehaha Ave, St Paul, MN 55104, USA",44.9628085,-93.1425218
100x seminary av,"1000 W Seminary Ave, St Paul, MN 55104, USA",44.9646301,-93.1425252
100x sherburne av,"1000 Sherburne Ave, St Paul, MN 55104, USA",44.956397499999994,-93.1424223
100x stanthony av,"1000 St Anthony Ave, St Paul, MN 55104, USA",44.952152500000004,-93.14066109999999
100x thomas av,"1000 Thomas Ave W, St Paul, MN 55104, USA",44.959167799999996,-93.1424366
100x topping st,"1000 Topping St, St Paul, MN 55103, USA",44.9672926,-93.1424243
100x university av w,"1000 University Ave W, St Paul, MN 55104, USA",44.95558810000001,-93.1421929
100x vanburen av,"1000 Van Buren Ave, St Paul, MN 55104, USA",44.9618489,-93.14241650000001
100x woodbridge st,"1000 N Woodbridge St, St Paul, MN 55117, USA",44.9715589,-93.1082597
101x aurora av,"1010 Aurora Ave, St Paul, MN 55104, USA",44.9546337,-93.14283409999999
101x bandana bd w,"1010 Bandana Blvd W, St Paul, MN 55108, USA",44.971388899999994,-93.1544516
101x blair av,"1010 Blair Ave, St Paul, MN 55104, USA",44.9609539,-93.1428975
101x burgess st,"1010 Burgess St, St Paul, MN 55103, USA",44.9682098,-93.1428593
101x carroll av,"1010 Carroll Ave, St Paul, MN 55104, USA",44.950058,-93.1428959
101x central av w,"1010 Central Ave W, St Paul, MN 55104, USA",44.9528187,-93.1428145
101x charles av,"1010 Charles Ave, St Paul, MN 55104, USA",44.9573293,-93.14283590000001
101x cypress st,"1010 N Cypress St, St Paul, MN 55106, USA",44.971852399999996,-93.05813690000001
101x front av,"1010 Front Ave, St Paul, MN 55103, USA",44.96994900000001,-93.142792
