Address,Block,Block1,Coordinates,For_Address_x,Latitude_x,Longitude_x,Pass1,For_Address_y,Latitude_y,Longitude_y
"1220 estabrook dr, Saint Paul, MN, 55104",122x estabrook dr,,,,,,0.0,,,
"490 lexington parkway n, Saint Paul, MN, 55104",49x lexington pa n,,,,,,0.0,,,
"500 lexington parkway n, Saint Paul, MN, 55104",50x lexington pa n,,,,,,0.0,,,
"520 lexington parkway n, Saint Paul, MN, 55104",52x lexington pa n,,,,,,0.0,,,
"530 lexington parkway n, Saint Paul, MN, 55104",53x lexington pa n,,,,,,0.0,,,
"540 lexington parkway n, Saint Paul, MN, 55104",54x lexington pa n,,,,,,0.0,,,
"550 lexington parkway n, Saint Paul, MN, 55104",55x lexington pa n,,,,,,0.0,,,
"560 lexington parkway n, Saint Paul, MN, 55104",56x lexington pa n,,,,,,0.0,,,
"570 lexington parkway n, Saint Paul, MN, 55104",57x lexington pa n,,,,,,0.0,,,
"580 lexington parkway n, Saint Paul, MN, 55104",58x lexington pa n,,,,,,0.0,,,
"590 lexington parkway n, Saint Paul, MN, 55104",59x lexington pa n,,,,,,0.0,,,
"620 lexington parkway n, Saint Paul, MN, 55104",62x lexington pa n,,,,,,0.0,,,
"640 lexington parkway n, Saint Paul, MN, 55104",64x lexington pa n,,,,,,0.0,,,
"660 lexington parkway n, Saint Paul, MN, 55104",66x lexington pa n,,,,,,0.0,,,
"690 lexington parkway n, Saint Paul, MN, 55104",69x lexington pa n,,,,,,0.0,,,
"700 lexington parkway n, Saint Paul, MN, 55104",70x lexington pa n,,,,,,0.0,,,
"st/university av, Saint Paul, MN, 55103",st/university av,1.0,"{'formatted_address': '105 University Ave W, St Paul, MN 55103, USA', 'latitude': 44.956185, 'longitude': -93.1042269, 'input_string': 'st/university av, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","105 University Ave W, St Paul, MN 55103, USA",44.956185,-93.1042269,,,,
"nan, Saint Paul, MN, 55103",nan,1.0,"{'formatted_address': 'St Paul, MN 55103, USA', 'latitude': 44.9688472, 'longitude': -93.13156479999999, 'input_string': 'nan, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","St Paul, MN 55103, USA",44.9688472,-93.13156479999999,,,,
