IntersectionID,Intersection1,Intersection2,Coordinates
1,LEXINGTON,PIERCEBUTLER,"44.966484, -93.146616"
2,LEXINGTON,Hubbard,"44.965723, -93.146601"
3,LEXINGTON,Seminary,"44.964816, -93.146601"
4,LEXINGTON,Englewood,"44.963926, -93.146539"
5,LEXINGTON,Minnehaha,"44.963024, -93.146609"
6,LEXINGTON,Vanburen,"44.962103, -93.146530"
7,LEXINGTON,Blair,"44.961202, -93.146541"
8,LEXINGTON,Lafond,"44.960284, -93.146534"
9,LEXINGTON,Thomas,"44.959371, -93.146547"
10,LEXINGTON,Edmund,"44.958471, -93.146540"
11,LEXINGTON,Charles,"44.957558, -93.146543"
12,LEXINGTON,Sherburne,"44.956644, -93.146545"
13,LEXINGTON,University,"44.955826, -93.146539"
14,Oxford,PIERCEBUTLER,"44.966474, -93.144070"
15,Oxford,Hubbard,"44.965716, -93.144085"
16,Oxford,Seminary,"44.964801, -93.144073"
17,Oxford,Englewood,"44.963907, -93.144076"
18,Oxford,Minnehaha,"44.963013, -93.144076"
19,Oxford,Vanburen,"44.962097, -93.144085"
20,Oxford,Blair,"44.961194, -93.144074"
21,Oxford,Lafond,"44.960278, -93.144086"
22,Oxford,Thomas,"44.959368, -93.144091"
23,Oxford,Edmund,"44.958459, -93.144094"
24,Oxford,Charles,"44.957553, -93.144087"
25,Oxford,Sherburne,"44.956642, -93.144086"
26,Oxford,University,"44.955836, -93.144082"
27,Chatsworth,PIERCEBUTLER,"44.966144, -93.141543"
28,Chatsworth,Hubbard,"44.965703, -93.141542"
29,Chatsworth,Seminary,"44.964802, -93.141549"
30,Chatsworth,Englewood,"44.963893, -93.141544"
31,Chatsworth,Minnehaha,"44.963002, -93.141548"
32,Chatsworth,Vanburen,"44.962081, -93.141554"
33,Chatsworth,Blair,"44.961184, -93.141555"
34,Chatsworth,Lafond,"44.960268, -93.141565"
35,Chatsworth,Thomas,"44.959365, -93.141564"
36,Chatsworth,Edmund,"44.958455, -93.141557"
37,Chatsworth,Charles,"44.957550, -93.141556"
38,Chatsworth,Sherburne,"44.956638, -93.141563"
39,Chatsworth,University,"44.955828, -93.141563"
40,Milton,PIERCEBUTLER,"44.965095, -93.139137"
41,Milton,Minnehaha,"44.963004, -93.139146"
42,Milton,Lafond,"44.960266, -93.139028"
43,Milton,Thomas,"44.959361, -93.139031"
44,Milton,Edmund,"44.958450, -93.139026"
45,Milton,Charles,"44.957543, -93.139026"
46,Milton,Sherburne,"44.956645, -93.139025"
47,Milton,University,"44.955831, -93.139018"
48,Victoria,PIERCEBUTLER,"44.964735, -93.136493"
49,Victoria,Englewood,"44.963890, -93.136498"
50,Victoria,Minnehaha,"44.962988, -93.136503"
51,Victoria,Vanburen,"44.962078, -93.136498"
52,Victoria,Blair,"44.961174, -93.136490"
53,Victoria,Lafond,"44.960275, -93.136490"
54,Victoria,Thomas,"44.959355, -93.136492"
55,Victoria,Edmund,"44.958449, -93.136487"
56,Victoria,Charles,"44.957542, -93.136495"
57,Victoria,Sherburne,"44.956632, -93.136486"
58,Victoria,University,"44.955825, -93.136478"
59,Avon,PIERCEBUTLER,"44.964723, -93.133974"
60,Avon,Englewood,"44.963888, -93.133975"
61,Avon,Minnehaha,"44.962981, -93.133966"
62,Avon,Vanburen,"44.962087, -93.133971"
63,Avon,Blair,"44.961176, -93.133970"
64,Avon,Lafond,"44.960263, -93.133969"
65,Avon,Thomas,"44.959357, -93.133967"
66,Avon,Edmund,"44.958443, -93.133968"
67,Avon,Charles,"44.957532, -93.133967"
68,Avon,Sherburne,"44.956632, -93.133946"
