Building Type,Building Name,Street,Zip,Phone,URL,Off Street Parking,Paking Spaces,Accessible Parking Spaces,Location
Firehouse,Station 4,505 Payne Avenue,55101,651-776-1252,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-4,No Data Available,-1,-1,"505 Payne Avenue55101
(44.956751, -93.078338)"
Library,West 7th,265 Oneida Street,55102,651-298-5516,http://www.sppl.org/about/locations/west-7th,No Data Available,-1,-1,"265 Oneida Street55102
(44.933361, -93.123174)"
Firehouse,Station 23,1926 Como Avenue,55108,651-644-7930,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-23,No Data Available,-1,-1,"1926 Como Avenue55108
(44.976315, -93.181455)"
Firehouse,Station 9,1624 E. Maryland Avenue,55106,651-774-7630,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-9,No Data Available,-1,-1,"1624 E. Maryland Avenue55106
(44.977521, -93.031964)"
Firehouse,Station 19,2530 Edgcumbe Road,55116,651-699-2504,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-19,No Data Available,-1,-1,"2530 Edgcumbe Road55116
(44.903691, -93.177083)"
Recreation Center,Langford Rec Center,30 Langford Park,55108,651-298-5765,https://www.stpaul.gov/langford-park-recreation-center,No,0,0,"30 Langford Park55108
(44.97624, -93.194623)"
Recreation Center,Battle Creek Rec Center,75 Winthrop Street S,55119,651-501-6347,https://www.stpaul.gov/battle-creek-recreation-center,Yes,179,6,"75 Winthrop Street S55119
(44.939926, -93.009945)"
Recreation Center,Rice Rec Center,1021 Marion Street,55117,651-558-2392,https://www.stpaul.gov/rice-recreation-center,No,0,0,"1021 Marion Street55117
(44.97205, -93.109777)"
Recreation Center,Hancock Rec Center,1610 Hubbard Avenue,55104,651-298-4393,https://www.stpaul.gov/hancock-recreation-center,Yes,39,2,"1610 Hubbard Avenue55104
(44.965262, -93.168871)"
Library,Rondo,461 N Dale Street,55103,651-266-7400,http://www.sppl.org/about/locations/rondo,No Data Available,-1,-1,"461 N Dale Street55103
(44.954593, -93.126355)"
Firehouse,Station 6,33 Cesar Chavez Street,55107,651-227-4251,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-6,No Data Available,-1,-1,"33 Cesar Chavez Street55107
(44.932934, -93.08275)"
Library,Sun Ray,2105 Wilson Avenue,55119,651-501-6300,http://www.sppl.org/about/locations/sun-ray,No Data Available,-1,-1,"2105 Wilson Avenue55119
(44.954072, -93.012165)"
Firehouse,Station 24,273 White Bear Avenue,55106,651-774-3490,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-24,No Data Available,-1,-1,"273 White Bear Avenue55106
(44.949351, -93.025215)"
Recreation Center,Wilder Rec Center,958 Jessie Street,55130,651-298-5727,https://www.stpaul.gov/wilder-recreation-center,Yes,12,0,"958 Jessie Street55130
(44.96928, -93.077338)"
Library,Riverview,1 E George Street,55107,651-292-6626,http://www.sppl.org/about/locations/riverview,No Data Available,-1,-1,"1 E George Street55107
(44.929702, -93.084738)"
Recreation Center,Phalen Rec Center,1000 Wheelock Pkwy,55106,651-793-6600,https://www.stpaul.gov/phalen-recreation-center,Yes,83,2,"1000 Wheelock Pkwy55106
(44.983741, -93.057852)"
Library,Saint Anthony Park,2245 Como Avenue,55108,651-642-0411,http://www.sppl.org/about/locations/saint-anthony-park,No Data Available,-1,-1,"2245 Como Avenue55108
(44.980701, -93.193794)"
Recreation Center,Oxford Community Center,270 Lexington Pkwy N,55140,651-642-0650,https://www.stpaul.gov/departments/parks-recreation/oxford-community-center,Yes,178,7,"270 Lexington Pkwy N55140
(44.948917, -93.14656)"
Library,Arlington Hills,1105 Greenbrier Street,55106,651-793-3930,http://www.sppl.org/about/locations/arlington-hills,No Data Available,-1,-1,"1105 Greenbrier Street55106
(44.974493, -93.07101)"
Recreation Center,Dayton's Bluff Rec Center,800 Conway Avenue,55106,651-793-3885,https://www.stpaul.gov/daytons-bluff-recreation-center,Yes,53,3,"800 Conway Avenue55106
(44.95581, -93.065244)"
Recreation Center,Duluth and Case Rec Center,1020 Duluth Street,55106,651-298-5709,https://www.stpaul.gov/duluth-and-case-recreation-center,Yes,115,5,"1020 Duluth Street55106
(44.971295, -93.050767)"
Firehouse,Station 20,2179 University Avenue,55114,651-644-9443,https://www.stpaul.gov/station-20,No Data Available,-1,-1,"2179 University Avenue55114
(44.961082, -93.190232)"
Recreation Center,Martin Luther King Rec Center,271 Mackubin Street,55102,651-290-8695,https://www.stpaul.gov/martin-luther-king-recreation-center,Yes,16,1,"271 Mackubin Street55102
(44.949384, -93.121215)"
Recreation Center,Hazel Park Rec Center,945 Hazel Street N,55119,651-501-6350,https://www.stpaul.gov/hazel-park-recreation-center,Yes,44,2,"945 Hazel Street N55119
(44.969235, -93.020235)"
Recreation Center,West Minnehaha Rec Center,685 Minnehaha Avenue W,55104,651-298-5823,https://www.stpaul.gov/west-minnehaha-recreation-center,Yes,35,3,"685 Minnehaha Avenue W55104
(44.962948, -93.129664)"
Recreation Center,North Dale Rec Center,1410 St. Albans St N,55117,651-558-2329,https://www.stpaul.gov/north-dale-recreation-center,Yes,32,4,"1410 St. Albans St N55117
(44.983656, -93.128758)"
Recreation Center,Highland Park Comm Center,1978 Ford Pkwy,55116,651-695-3706,https://www.stpaul.gov/highland-park-community-center,Yes,44,4,"1978 Ford Pkwy55116
(44.917865, -93.1829)"
Firehouse,Station 14,111 N. Snelling Avenue,55104,651-646-1748,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-14,No Data Available,-1,-1,"111 N. Snelling Avenue55104
(44.944697, -93.166993)"
Firehouse,Station 8,65 E. Tenth Street,55101,651-298-5320,https://www.stpaul.gov/departments/fire-safety/fire-stations/station-8,No Data Available,-1,-1,"65 E. Tenth Street55101
(44.950362, -93.09663)"
Recreation Center,Merriam Park Rec Center,2000 St. Anthony Avenue,55104,651-298-5766,https://www.stpaul.gov/merriam-park-recreation-center,Yes,38,2,"2000 St. Anthony Avenue55104
(44.953163, -93.185348)"
Library,Highland Park,1974 Ford Pkwy,55116,651-695-3700,http://www.sppl.org/about/locations/highland-park,No Data Available,-1,-1,"1974 Ford Pkwy55116
(44.917871, -93.182231)"
Recreation Center,McDonough Rec Center,1544 Timberlake Rd,55117,651-558-2171,https://www.stpaul.gov/mcdonough-recreation-center,Yes,64,4,"1544 Timberlake Rd55117
(44.986971, -93.093097)"
