Organization,Department,Job Category,Race,Gender,Status,Total
City of Saint Paul,Parks and Recreation,Technical,Persons of Color,Male,Full-time,7
City of Saint Paul,Mayor's Office,Professional,White,Female,Full-time,3
City of Saint Paul,Human Resources,Technical,White,Female,Full-time,1
City of Saint Paul,Saint Paul Regional Water Serv,Protective Service - Sworn,White,Female,Full-time,1
City of Saint Paul,Office of Technology,Technical,Persons of Color,Male,Full-time,8
City of Saint Paul,Public Works,Administrative Support,White,Male,Full-time,6
City of Saint Paul,Police,Protective Service - Sworn,White,Male,Full-time,377
City of Saint Paul,Emergency Management,Professional,Persons of Color,Male,Full-time,1
City of Saint Paul,Police,Skilled Craft,White,Male,Full-time,2
City of Saint Paul,Human Resources,Administrative Support,Persons of Color,Female,Full-time,6
City of Saint Paul,Parks and Recreation,Administration,White,Male,Full-time,5
City of Saint Paul,Planning and Economic Developm,Technical,Persons of Color,Male,Full-time,1
City of Saint Paul,City Attorneys' Office,Administrative Support,White,Female,Part-time,1
City of Saint Paul,Dept of Safety and Inspections,Service Maintenance,White,Male,Full-time,2
City of Saint Paul,Planning and Economic Developm,Administration,Persons of Color,Male,Full-time,2
City of Saint Paul,Planning and Economic Developm,Administration,White,Male,Full-time,1
City of Saint Paul,Fire,Protective Service - Sworn,Persons of Color,Male,Full-time,86
City of Saint Paul,Fire,Service Maintenance,White,Male,Full-time,3
City of Saint Paul,Parks and Recreation,Service Maintenance,Persons of Color,Male,Full-time,45
City of Saint Paul,Libraries,Administration,Persons of Color,Male,Full-time,1
City of Saint Paul,Office of Financial Services,Technical,Persons of Color,Male,Full-time,1
City of Saint Paul,Dept of Safety and Inspections,Administrative Support,White,Female,Full-time,13
City of Saint Paul,Dept of Safety and Inspections,Technical,Persons of Color,Male,Full-time,13
City of Saint Paul,Planning and Economic Developm,Administration,White,Female,Full-time,2
City of Saint Paul,City Council,Administrative Support,Persons of Color,Female,Full-time,2
City of Saint Paul,Libraries,Professional,White,Female,Full-time,23
City of Saint Paul,Libraries,Service Maintenance,Persons of Color,Female,Full-time,1
City of Saint Paul,City Council,Professional,White,Female,Full-time,5
City of Saint Paul,Dept of Safety and Inspections,Administrative Support,Persons of Color,Male,Full-time,1
City of Saint Paul,Libraries,Administrative Support,White,Male,Full-time,16
City of Saint Paul,City Attorneys' Office,Administration,White,Female,Full-time,3
City of Saint Paul,Fire,Professional,White,Female,Full-time,2
City of Saint Paul,Saint Paul Regional Water Serv,Service Maintenance,White,Male,Full-time,70
City of Saint Paul,Libraries,Administrative Support,White,Female,Full-time,41
