Timestamp,"1. On average, how frequently does your household use: [Regional Parks ]","1. On average, how frequently does your household use: [Parks with Recreation/Community Centers]","1. On average, how frequently does your household use: [Passive Park/Green Space]","2. Based on your experiences, please rate the condition of each of the following amenities. [Athletic fields]","2. Based on your experiences, please rate the condition of each of the following amenities. [Basketball courts]","2. Based on your experiences, please rate the condition of each of the following amenities. [Biking trails]","2. Based on your experiences, please rate the condition of each of the following amenities. [Boating areas]","2. Based on your experiences, please rate the condition of each of the following amenities. [Community center building]","2. Based on your experiences, please rate the condition of each of the following amenities. [Fishing areas]","2. Based on your experiences, please rate the condition of each of the following amenities. [Golf courses]","2. Based on your experiences, please rate the condition of each of the following amenities. [Off-leash dog parks]","2. Based on your experiences, please rate the condition of each of the following amenities. [Outdoor ice-skating rinks]","2. Based on your experiences, please rate the condition of each of the following amenities. [Outdoor swimming pools]","2. Based on your experiences, please rate the condition of each of the following amenities. [Park restrooms]","2. Based on your experiences, please rate the condition of each of the following amenities. [Parking lots]","2. Based on your experiences, please rate the condition of each of the following amenities. [Picnic areas]","2. Based on your experiences, please rate the condition of each of the following amenities. [Picnic shelters]","2. Based on your experiences, please rate the condition of each of the following amenities. [Playground equipment]","2. Based on your experiences, please rate the condition of each of the following amenities. [Tennis courts]","2. Based on your experiences, please rate the condition of each of the following amenities. [Walking trails/ paths]","3. Overall, how would rate the condition of the City Parks and Recreation amenities at: [Regional Parks]","3. Overall, how would rate the condition of the City Parks and Recreation amenities at: [Parks with Recreation/ Community Centers]","3. Overall, how would rate the condition of the City Parks and Recreation amenities at: [Passive Parks/Green Spaces]",4. How would you prioritize investment in these amenities? [Athletic fields],4. How would you prioritize investment in these amenities? [Basketball courts],4. How would you prioritize investment in these amenities? [Biking trails],4. How would you prioritize investment in these amenities? [Boating areas],4. How would you prioritize investment in these amenities? [Community centers],4. How would you prioritize investment in these amenities? [Fishing areas],4. How would you prioritize investment in these amenities? [Golf courses],4. How would you prioritize investment in these amenities? [Off-leash dog parks],4. How would you prioritize investment in these amenities? [Outdoor ice-skating rinks],4. How would you prioritize investment in these amenities? [Outdoor swimming pools],4. How would you prioritize investment in these amenities? [Park restrooms],4. How would you prioritize investment in these amenities? [Parking lots],4. How would you prioritize investment in these amenities? [Picnic areas],4. How would you prioritize investment in these amenities? [Picnic shelters],4. How would you prioritize investment in these amenities? [Playground equipment],4. How would you prioritize investment in these amenities? [Small neighborhood parks],4. How would you prioritize investment in these amenities? [Tennis courts],4. How would you prioritize investment in these amenities? [Walking trails],5. How satisfied are you with the following? [Athletic fields],5. How satisfied are you with the following? [Beach areas],5. How satisfied are you with the following? [Biking trails],5. How satisfied are you with the following? [Boating areas],5. How satisfied are you with the following? [Community Centers],5. How satisfied are you with the following? [Fishing areas],5. How satisfied are you with the following? [Golf courses],5. How satisfied are you with the following? [Indoor swimming pools],5. How satisfied are you with the following? [Indoor fitness/exercise facilities],5. How satisfied are you with the following? [Off-leash dog parks],5. How satisfied are you with the following? [Outdoor swimming pools/water parks],5. How satisfied are you with the following? [Outdoor courts],5. How satisfied are you with the following? [Outdoor ice rinks],5. How satisfied are you with the following? [Outdoor amphitheater],5. How satisfied are you with the following? [Picnic areas],5. How satisfied are you with the following? [Picnic shelters],5. How satisfied are you with the following? [Playground equipment],5. How satisfied are you with the following? [Skateboarding parks],5. How satisfied are you with the following? [Walking trails],"6. Overall, how satisfied are you with: [Regional Parks]","6. Overall, how satisfied are you with: [City Parks with Recreation/Community Center]","6. Overall, how satisfied are you with: [Passive Park/Green Space]",7. Is there anything that you think is missing from the parks you visit?,8. How important is each of the following potential actions to improve the Parks and Recreation system? [Purchase land to preserve green space.],"8. How important is each of the following potential actions to improve the Parks and Recreation system? [Purchase land for recreational facilities (e.g., athletic fields, ice rinks, etc.)]",8. How important is each of the following potential actions to improve the Parks and Recreation system? [Repair older park facilities],8. How important is each of the following potential actions to improve the Parks and Recreation system? [Upgrade existing athletic fields],8. How important is each of the following potential actions to improve the Parks and Recreation system? [Upgrade existing neighborhood recreation centers],8. How important is each of the following potential actions to improve the Parks and Recreation system? [Upgrade existing city golf courses],8. How important is each of the following potential actions to improve the Parks and Recreation system? [Develop new walking trails],8. How important is each of the following potential actions to improve the Parks and Recreation system? [Develop new biking trails],8. How important is each of the following potential actions to improve the Parks and Recreation system? [Connect existing trails],8. How important is each of the following potential actions to improve the Parks and Recreation system? [Develop new indoor recreation centers],8. How important is each of the following potential actions to improve the Parks and Recreation system? [Develop new athletic fields],8. How important is each of the following potential actions to improve the Parks and Recreation system? [Develop new off-leash dog parks],8. How important is each of the following potential actions to improve the Parks and Recreation system? [Develop new outdoor ice-skating rinks],9. Has any member of your household participated in any City Parks and Recreation programs in the past year?,10. How would you rate the overall quality of the program(s)?,"11. If nobody in your household participates in Parks and Recreation programs, why not? (Check all that apply)",12. How important to members of your household are the types of recreation programs listed below? [Adult Fitness/Wellness Programs],12. How important to members of your household are the types of recreation programs listed below? [Adult Art/Dance/Performing Arts],12. How important to members of your household are the types of recreation programs listed below? [Adult Sports Programs],12. How important to members of your household are the types of recreation programs listed below? [After School Programs],12. How important to members of your household are the types of recreation programs listed below? [Computer Training],12. How important to members of your household are the types of recreation programs listed below? [Family Programs],12. How important to members of your household are the types of recreation programs listed below? [Nature Programs],12. How important to members of your household are the types of recreation programs listed below? [Pre-school Programs],12. How important to members of your household are the types of recreation programs listed below? [Programs for Disabled Residents],12. How important to members of your household are the types of recreation programs listed below? [Seniors Programs],12. How important to members of your household are the types of recreation programs listed below? [Youth Summer Camp Programs],12. How important to members of your household are the types of recreation programs listed below? [Youth Fitness/Wellness Programs],12. How important to members of your household are the types of recreation programs listed below? [Youth Art/Dance/Performing Arts],12. How important to members of your household are the types of recreation programs listed below? [Youth Sports Programs],12. How important to members of your household are the types of recreation programs listed below? [Youth Learn to Swim Programs],"13. How do you learn about the City's parks, trails, programs and activities? (check all that apply)","14. What programs, activities or services would you like to see offered at your City Parks/ Recreation Centers?",15. Which City Parks/Recreation Centers do you and members of your household visit most often?,16. Which household type best represents your household?,17. What is your home zip code?,COUNT
08/22/2016 10:54:00 AM,A few times a week,A few times a week,A few times a week,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Good,Low priority,Low priority,Priority,Low priority,Low priority,Low priority,Priority,Low priority,Priority,Low priority,Low priority,Low priority,Low priority,Low priority,Low priority,Low priority,Low priority,Highest priority,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,Very important,Very important,Important,Important,Important,Very important,Very important,Important,Important,Important,Important,Important,Important,No,I/we don't participate,,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Friends and neighbors,,,Household without children,55108,1
08/24/2016 01:04:00 PM,A few times a week,A few times a week,Almost daily,Good,Fair,Good,Fair,Fair,Fair,Good,Good,Good,Fair,Fair,Good,Good,Good,Fair,Excellent,Excellent,Good,Good,Good,Priority,Low priority,Priority,Highest priority,Priority,Priority,Highest priority,Highest priority,Priority,Priority,Highest priority,Priority,Priority,Priority,Priority,Priority,Priority,Priority,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,Unimportant,Important,Important,Important,Important,Important,Important,Unimportant,Important,Important,Important,Important,Important,Yes,Good,,Very important,Very important,Very important,Important,Important,Important,Important,Important,Important,Very important,Very important,Very important,Very important,Very important,Very important,Friends and neighbors,Zumba / aerobics ,Saint paul ,Household without children,55105,1
08/17/2016 03:40:00 PM,A few times a year,A few times a month,A few times a week,Fair,Fair,Good,Good,Fair,I/we don't use this,I/we don't use this,Good,Good,Good,Fair,Fair,Fair,Fair,Fair,Fair,Good,Good,Fair,Good,Priority,Priority,Low priority,Low priority,Highest priority,Not a priority,Not a priority,Priority,Priority,Priority,Priority,Not a priority,Not a priority,Low priority,Highest priority,Highest priority,Low priority,Low priority,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,I/we don't use this,I/we don't use this,Satisfied,I/we don't use this,Satisfied,Satisfied,Dissatisfied,Satisfied,I/we don't use this,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,,Very important,Very important,Important,Important,Important,Very unimportant,Important,Very important,Very important,Unimportant,Important,Unimportant,Unimportant,Yes,Good,,Not important,Not important,Not important,Not important,Not important,Not important,Slightly important,Not important,Not important,Not important,Important,Important,Slightly important,Very important,Very important,Parks and Recreation website;Friends and neighbors;E-mail bulletins,,,Household with children under 18,55105,1
08/17/2016 04:09:00 PM,A few times a month,A few times a week,A few times a week,Poor,Fair,Good,I/we don't use this,Good,I/we don't use this,Good,Fair,Good,Good,Good,Good,Fair,Fair,Good,Fair,Good,Good,Fair,Fair,Highest priority,Priority,Priority,Priority,Priority,Low priority,Not a priority,No opinion,Priority,Priority,Priority,Priority,Priority,Priority,Priority,Highest priority,Priority,Priority,Very Dissatisfied,Satisfied,Satisfied,I/we don't use this,Satisfied,I/we don't use this,Satisfied,Satisfied,I/we don't use this,I/we don't use this,Satisfied,Dissatisfied,Satisfied,I/we don't use this,Satisfied,Satisfied,Satisfied,I/we don't use this,Satisfied,Satisfied,Satisfied,Satisfied,,Important,Important,Very important,Very important,Important,Unimportant,Important,Important,Very important,Unimportant,Very important,Unimportant,Important,Yes,Good,,Not important,Not important,Not important,Important,Important,Important,Important,Important,Important,Important,Very important,Very important,Important,Very important,Very important,Parks and Recreation website;School flyers/newsletters,,,Household with children under 18,55102,1
08/17/2016 01:57:00 PM,A few times a month,A few times a year,I/we don't use this,Poor,I/we don't use this,I/we don't use this,Fair,Fair,Good,I/we don't use this,Good,I/we don't use this,I/we don't use this,Fair,Good,Good,Good,Good,I/we don't use this,Good,Good,Fair,I/we don't use this,Priority,No opinion,Low priority,Highest priority,Low priority,Highest priority,No opinion,Priority,Low priority,Not a priority,Low priority,Low priority,Low priority,Low priority,Low priority,Low priority,No opinion,Low priority,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,I/we don't use this,I/we don't use this,I/we don't use this,Satisfied,I/we don't use this,I/we don't use this,I/we don't use this,I/we don't use this,Satisfied,Satisfied,Satisfied,I/we don't use this,Satisfied,Satisfied,Satisfied,I/we don't use this,,Very unimportant,Unimportant,Important,Very important,Important,Very unimportant,Very unimportant,Very unimportant,Very unimportant,Unimportant,Important,Unimportant,Very unimportant,Yes,Fair,,Slightly important,Slightly important,Important,Important,Important,Very important,Very important,Very important,Important,Very important,Important,Very important,Slightly important,Important,Important,Parks and Recreation website,,Rice and Arlington,Household with children under 18,55117,1
08/17/2016 06:30:00 PM,A few times a week,A few times a week,A few times a week,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Priority,Priority,Priority,Priority,Priority,Priority,Priority,Priority,Priority,Priority,Priority,Priority,Priority,Priority,Priority,Priority,Priority,Priority,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Yes,Good,,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Parks and Recreation brochure;Parks and Recreation website;Parks and Recreation staff;Flyers at park facilities;Newpaper;Radio;Cable access television;Community education catalog;Friends and neighbors;School flyers/newsletters;E-mail bulletins,,Highland Park; Hillcrest Community Center; Merriam Park; Como Park; ,Household without children,55116,1
08/17/2016 01:25:00 PM,A few times a week,A few times a week,A few times a week,Good,I/we don't use this,Excellent,Good,Excellent,Excellent,Good,I/we don't use this,Good,Good,Good,Good,Excellent,Excellent,Excellent,I/we don't use this,Excellent,Excellent,Excellent,Excellent,Priority,Low priority,Highest priority,Low priority,Highest priority,Priority,Low priority,Low priority,Priority,Priority,Highest priority,Low priority,Priority,Priority,Highest priority,Highest priority,Low priority,Highest priority,Satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,I/we don't use this,Very satisfied,Satisfied,Satisfied,I/we don't use this,Satisfied,Satisfied,Very satisfied,I/we don't use this,Very satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,Very important,Important,Very important,Important,Very important,Important,Very important,Very important,Very important,Important,Important,Important,Important,Yes,Excellent,,Slightly important,Slightly important,Slightly important,Important,Important,Very important,Important,Important,Important,Important,Very important,Very important,Very important,Very important,Very important,Parks and Recreation website,,"Hayden Heights, Phalen, Prosperity Heights",Household with children under 18,55106,1
08/17/2016 01:26:00 PM,Almost daily,A few times a month,Almost daily,Good,Good,Excellent,Good,Good,I/we don't use this,I/we don't use this,Poor,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Priority,Priority,No opinion,Highest priority,Highest priority,No opinion,No opinion,Highest priority,Priority,Highest priority,Not a priority,No opinion,No opinion,No opinion,Priority,Not a priority,Not a priority,Highest priority,Very satisfied,Very Dissatisfied,Satisfied,Satisfied,Satisfied,I/we don't use this,I/we don't use this,Satisfied,Very satisfied,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,we need a better dog park,Very important,Important,Unimportant,Unimportant,Unimportant,Not sure,Unimportant,Not sure,Unimportant,Important,Unimportant,Very important,Very important,Yes,Excellent,,Very important,Not important,Important,Not important,Not important,Important,Important,Not important,Not important,Not important,Very important,Very important,Important,Very important,Very important,Parks and Recreation website,I would like to see adult programs offered at the same time and location as youth programs.   For example Water aerobics during swim lessons.  I often do not get to work out because I don't have a place for my kids to go.,Highland,Household with children under 18,55116,1
08/18/2016 10:38:00 AM,A few times a month,A few times a month,A few times a year,Good,Good,Good,Good,Good,Good,Good,Good,Good,Fair,Fair,Good,Good,Good,Good,Good,Good,Good,Fair,Fair,Priority,Priority,Low priority,Low priority,Priority,Low priority,Low priority,Priority,Priority,Highest priority,Priority,Priority,Priority,Priority,Priority,Priority,Low priority,Priority,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Splash pads,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Yes,Good,,Important,Not important,Slightly important,Slightly important,Not important,Slightly important,Not important,Not important,Slightly important,Slightly important,Slightly important,Not important,Slightly important,Slightly important,Slightly important,Parks and Recreation brochure;Flyers at park facilities,,Palace and Edgcumbe ,Household with children under 18,55102,1
08/18/2016 11:54:00 AM,A few times a year,A few times a year,A few times a year,Fair,I/we don't use this,I/we don't use this,I/we don't use this,Fair,I/we don't use this,Good,I/we don't use this,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Priority,No opinion,Priority,Low priority,Priority,Low priority,Priority,No opinion,Low priority,Priority,Priority,Low priority,Priority,Priority,Priority,Priority,Low priority,Low priority,Satisfied,I/we don't use this,I/we don't use this,I/we don't use this,Satisfied,I/we don't use this,Satisfied,I/we don't use this,I/we don't use this,I/we don't use this,Satisfied,Satisfied,Satisfied,I/we don't use this,Satisfied,Satisfied,Satisfied,I/we don't use this,Satisfied,Satisfied,Satisfied,Satisfied,,Important,Important,Very important,Important,Important,Important,Unimportant,Unimportant,Important,Unimportant,Unimportant,Not sure,Unimportant,Yes,Fair,,Slightly important,Not important,Slightly important,Slightly important,Not important,Not important,Not important,Not important,Not important,Not important,Slightly important,Slightly important,Slightly important,Important,Important,Parks and Recreation website,,,Household with children under 18,55105,1
