Block,Grid
10x b st,106.0
107x hazelwood st,106.0
108x marion st,106.0
111x jenks av,106.0
127x magnolia av e,106.0
140x barclay st,106.0
142x case av,106.0
161x maryland av e,106.0
166x blair av,106.0
169x hubbard av,106.0
18x oldsixth st,106.0
187x magnolia av e,106.0
19x arlington av e,106.0
200x lincoln av,106.0
200x stillwater av,106.0
200x university av w,106.0
22x 5 st e,106.0
30x hatch av,106.0
3xx lexington pa n,106.0
4x sycamore st w,106.0
43x grotto st n,106.0
47x laurel av,106.0
61x maryland av e,106.0
64x jackson st,106.0
75x fuller av,106.0
79x selby av,106.0
88x payne av,106.0
91x aurora av,106.0
1x kellogg bd e,107.0
103x duluth st,107.0
110x farrington st,107.0
121x galtier st,107.0
130x university av w,107.0
132x bush av,107.0
153x woodbridge st,107.0
160x montana av e,107.0
161x westminster st,107.0
176x case av,107.0
39x lexington pa n,107.0
44x sherburne av,107.0
69x 4 st e,107.0
88x grand av,107.0
95x rice st,107.0
100x woodbridge st,108.0
101x bandana bd w,108.0
105x western av n,108.0
107x virginia st,108.0
126x hazelwood st,108.0
139x virginia st,108.0
145x university av w,108.0
15x biglow la,108.0
18x oldsixth st,108.0
188x lacrosse av,108.0
26x dale st n,108.0
28x burgess st,108.0
42x charles av,108.0
42x rice st,108.0
49x snelling av n,108.0
62x marshall av,108.0
66x fry st,108.0
88x grand av,108.0
89x arcade st,108.0
89x clark st,108.0
92x maryland av e,108.0
112x albemarle st,109.0
174x suburban av,109.0
175x york av,109.0
35x sibley st,109.0
88x grand av,109.0
10xx fremont av,110.0
107x reaney av,110.0
117x clarence st,110.0
119x university av w,110.0
133x edgerton st,110.0
148x danforth st,110.0
164x manton st,110.0
2xx marshall av,110.0
24x maryland av e,110.0
27x concordia av,110.0
32x stevens st w,110.0
35x hope st,110.0
39x maryland av e,110.0
68x sherburne av,110.0
7x lawson av w,110.0
70x lafond av,110.0
89x arcade st,110.0
47x lawson av w,66.0
62x geranium av e,66.0
69x robert st n,66.0
103x case av,67.0
119x edgcumbe rd,67.0
158x jessamine av e,67.0
24x maryland av e,67.0
42x rice st,67.0
44x lynnhurst av w,67.0
65x smith av s,67.0
9x hawthorne av w,67.0
96x earl st,67.0
99x stinson st,67.0
27x whitebear av n,68.0
4x dale st s,68.0
90x hazelwood st,68.0
130x university av w,86.0
15x biglow la,86.0
155x bush av,86.0
159x hewitt av,86.0
186x university av w,86.0
19x arlington av e,86.0
30x university av w,86.0
52x lexington pa n,86.0
59x griggs st n,86.0
67x lexington pa n,86.0
69x bedford st,86.0
104x grand av,87.0
107x flandrau st,87.0
11x jessamine av e,87.0
112x 7 st w,87.0
117x beech st,87.0
12x iowa av w,87.0
122x estabrook dr,87.0
126x 4 st e,87.0
126x magnolia av e,87.0
145x university av w,87.0
23x mississippiriver bd n,87.0
3x 7 st w,87.0
33x edmund av,87.0
41x front av,87.0
48x victoria st n,87.0
50x victoria st n,87.0
55x lexington pa n,87.0
59x victoria st n,87.0
6x 9 st e,87.0
62x rice st,87.0
65x vanburen av,87.0
78x grand av,87.0
79x sims av,87.0
81x maryland av e,87.0
83x armstrong av,87.0
89x rice st,87.0
90x osceola av,87.0
99x jameson st,87.0
101x cypress st,88.0
137x coach rd,88.0
144x minnehaha av e,88.0
145x university av w,88.0
148x 7 st e,88.0
166x barclay st,88.0
166x whitebear av n,88.0
169x nebraska av e,88.0
18x oldsixth st,88.0
183x ames av,88.0
190x university av w,88.0
199x minnehaha av e,88.0
209x marshall av,88.0
21x 4 st e,88.0
21x grotto st n,88.0
212x grand av,88.0
24x maryland av e,88.0
32x arlington av w,88.0
49x thomas av,88.0
62x larpenteur av w,88.0
65x fairview av n,88.0
68x wells st,88.0
72x arcade st,88.0
92x grand av,88.0
95x rice st,88.0
97x reaney av,88.0
104x grand av,89.0
107x 3 st e,89.0
114x larpenteur av w,89.0
115x burr st,89.0
115x wynne av,89.0
13x 9 st e,89.0
134x marshall av,89.0
137x phalen bd,89.0
145x university av w,89.0
161x lafond av,89.0
168x ashland av,89.0
170x bayard av,89.0
173x cottage av e,89.0
174x 6 st e,89.0
18x wayzata st,89.0
193x lincoln av,89.0
196x university av w,89.0
32x morningside cr,89.0
36x king st w,89.0
61x lafayette rd,89.0
1x exchange st w,90.0
108x university av w,90.0
119x hewitt av,90.0
128x albemarle st,90.0
130x university av w,90.0
134x arona st,90.0
153x albany av,90.0
17x rose av w,90.0
200x university av w,90.0
58x thomas av,90.0
65x conway st,90.0
65x fairview av n,90.0
71x vanburen av,90.0
82x como av,90.0
84x marion st,90.0
94x birmingham st,90.0
x como av,91.0
x university av w,91.0
1x acker st e,91.0
1x acker st w,91.0
12x arch st w,91.0
12x pennsylvania av e,91.0
123x beech st,91.0
141x carling dr,91.0
158x montana av e,91.0
163x charles av,91.0
59x laurel av,91.0
67x jackson st,91.0
68x jackson st,91.0
72x jackson st,91.0
75x sherburne av,91.0
117x ivy av e,92.0
136x scheffer av,92.0
97x 3 st e,92.0
