Block,For_Address,Latitude,Longitude
100x aurora av,"1000 Aurora Ave, St Paul, MN 55104, USA",44.9546489,-93.1425009
100x blair av,"1000 Blair Ave, St Paul, MN 55104, USA",44.9609526,-93.1425275
100x burgess st,"1000 Burgess St, St Paul, MN 55103, USA",44.968186,-93.1423935
100x central av w,"1000 Central Ave W, St Paul, MN 55104, USA",44.95281019999999,-93.14248119999999
100x charles av,"1000 Charles Ave, St Paul, MN 55104, USA",44.9573443,-93.14251159999999
100x edmund av,"1000 Edmund Ave W, St Paul, MN 55104, USA",44.9582408,-93.1424546
100x englewood av,"1000 Englewood Ave, St Paul, MN 55104, USA",44.96375620000001,-93.1425079
100x fuller av,"1000 Fuller Ave, St Paul, MN 55104, USA",44.9537381,-93.1425009
100x hubbard av,"1000 Hubbard Ave, St Paul, MN 55104, USA",44.9655051,-93.1425033
100x iglehart av,"1000 Iglehart Ave, St Paul, MN 55104, USA",44.94921950000001,-93.1425401
100x lafond av,"1000 Lafond Ave, St Paul, MN 55104, USA",44.9602764,-93.14251039999999
100x marshall av,"1000 Marshall Ave, St Paul, MN 55104, USA",44.9482787,-93.142305
100x minnehaha av w,"1000 W Minnehaha Ave, St Paul, MN 55104, USA",44.9628085,-93.1425218
100x seminary av,"1000 W Seminary Ave, St Paul, MN 55104, USA",44.9646301,-93.1425252
100x sherburne av,"1000 Sherburne Ave, St Paul, MN 55104, USA",44.9563975,-93.14242229999999
100x stanthony av,"1000 St Anthony Ave, St Paul, MN 55104, USA",44.9521525,-93.1406611
100x thomas av,"1000 Thomas Ave W, St Paul, MN 55104, USA",44.9591678,-93.1424366
100x topping st,"1000 Topping St, St Paul, MN 55103, USA",44.9672926,-93.1424243
100x university av w,"1000 University Ave W, St Paul, MN 55104, USA",44.95558810000001,-93.1421929
100x vanburen av,"1000 Van Buren Ave, St Paul, MN 55104, USA",44.9618489,-93.1424165
100x woodbridge st,"1000 N Woodbridge St, St Paul, MN 55117, USA",44.9715589,-93.10825969999999
101x aurora av,"1010 Aurora Ave, St Paul, MN 55104, USA",44.9546337,-93.1428341
101x bandana bd w,"1010 Bandana Blvd W, St Paul, MN 55108, USA",44.9713889,-93.1544516
101x blair av,"1010 Blair Ave, St Paul, MN 55104, USA",44.9609539,-93.14289749999999
101x burgess st,"1010 Burgess St, St Paul, MN 55103, USA",44.9682098,-93.1428593
101x carroll av,"1010 Carroll Ave, St Paul, MN 55104, USA",44.950058,-93.1428959
101x central av w,"1010 Central Ave W, St Paul, MN 55104, USA",44.9528187,-93.1428145
101x charles av,"1010 Charles Ave, St Paul, MN 55104, USA",44.9573293,-93.1428359
101x cypress st,"1010 N Cypress St, St Paul, MN 55106, USA",44.9718524,-93.0581369
101x front av,"1010 Front Ave, St Paul, MN 55103, USA",44.96994900000001,-93.142792
