index,Block,For_Address,Latitude,Longitude,Fail,index1
0,x Lexington Parkway,"2 Lexington Pkwy N, St Paul, MN 55105, USA",44.9415014,-93.14651610000001,False,0
1,xx Lexington Parkway,"5 Lexington Pkwy N, St Paul, MN 55105, USA",44.9416186,-93.1466865,False,1
2,1x Lexington Parkway,"10 Lexington Pkwy N, St Paul, MN 55105, USA",44.9417366,-93.14651610000001,False,2
3,2x Lexington Parkway,"20 Lexington Pkwy N, St Paul, MN 55105, USA",44.9420305,-93.14651599999999,False,3
4,3x Lexington Parkway,"30 Lexington Pkwy N, St Paul, MN 55105, USA",44.9423245,-93.14651599999999,False,4
5,4x Lexington Parkway,"40 Lexington Pkwy N, St Paul, MN 55105, USA",44.9426216,-93.1465168,False,5
6,5x Lexington Parkway,"50 Lexington Pkwy N, St Paul, MN 55104, USA",44.9429782,-93.1465254,True,6
7,6x Lexington Parkway,"60 Lexington Pkwy N, St Paul, MN 55104, USA",44.9432984,-93.14593980000001,True,7
8,7x Lexington Parkway,"70 Lexington Pkwy N, St Paul, MN 55104, USA",44.9436178,-93.1459407,True,8
9,8x Lexington Parkway,"80 Lexington Pkwy N, St Paul, MN 55104, USA",44.9438725,-93.1465279,True,9
10,9x Lexington Parkway,"90 Lexington Pkwy N, St Paul, MN 55104, USA",44.9439653,-93.1465286,True,10
11,10x Lexington Parkway,"100 Lexington Pkwy N, St Paul, MN 55104, USA",44.9443827,-93.1461854,True,11
12,1xx Lexington Parkway,"105 Lexington Pkwy S, St Paul, MN 55105, USA",44.9383122,-93.14696939999999,False,12
13,11x Lexington Parkway,"110 Lexington Pkwy N, St Paul, MN 55104, USA",44.9440076,-93.14653009999999,True,13
14,12x Lexington Parkway,"120 Lexington Pkwy N, St Paul, MN 55104, USA",44.9440287,-93.1465308,True,14
15,13x Lexington Parkway,"130 Lexington Pkwy N, St Paul, MN 55104, USA",44.9453665,-93.1461854,True,15
16,14x Lexington Parkway,"140 Lexington Pkwy N, St Paul, MN 55104, USA",44.9455342,-93.1465485,True,16
17,15x Lexington Parkway,"150 Lexington Pkwy N, St Paul, MN 55104, USA",44.9460108,-93.1461935,True,17
18,16x Lexington Parkway,"160 Lexington Pkwy N, St Paul, MN 55104, USA",44.946241,-93.1461854,True,18
19,17x Lexington Parkway,"170 Lexington Pkwy N, St Paul, MN 55104, USA",44.94649099999999,-93.14614949999999,True,19
20,18x Lexington Parkway,"180 Lexington Pkwy N, St Paul, MN 55104, USA",44.9468427,-93.14616579999999,True,20
21,19x Lexington Parkway,"190 Lexington Pkwy N, St Paul, MN 55104, USA",44.94712029999999,-93.1462186,True,21
22,20x Lexington Parkway,"200 Lexington Pkwy N, St Paul, MN 55104, USA",44.9473645,-93.14655669999999,True,22
23,2xx Lexington Parkway,"205 Lexington Pkwy N, St Paul, MN 55104, USA",44.9474505,-93.1467152,True,23
24,21x Lexington Parkway,"210 Lexington Pkwy N, St Paul, MN 55104, USA",44.947463,-93.1465575,True,24
25,22x Lexington Parkway,"220 Lexington Pkwy N, St Paul, MN 55104, USA",44.94748449999999,-93.1465575,True,25
26,23x Lexington Parkway,"230 Lexington Pkwy N, St Paul, MN 55104, USA",44.947506,-93.14655739999999,True,26
27,24x Lexington Parkway,"240 Lexington Pkwy N, St Paul, MN 55104, USA",44.9475275,-93.1465573,True,27
28,25x Lexington Parkway,"250 Lexington Pkwy N, St Paul, MN 55104, USA",44.94887130000001,-93.1462068,True,28
29,26x Lexington Parkway,"260 Lexington Pkwy N, St Paul, MN 55104, USA",44.949145,-93.1462037,True,29
30,27x Lexington Parkway,"270 Lexington Pkwy N, St Paul, MN 55104, USA",44.9496213,-93.1459909,True,30
31,28x Lexington Parkway,"280 Lexington Pkwy N, St Paul, MN 55104, USA",44.9498361,-93.14616649999999,True,31
32,29x Lexington Parkway,"290 Lexington Pkwy N, St Paul, MN 55104, USA",44.9500537,-93.1461572,True,32
33,30x Lexington Parkway,"300 Lexington Pkwy N, St Paul, MN 55104, USA",44.9502712,-93.1461479,True,33
34,3xx Lexington Parkway,"305 Lexington Pkwy N, St Paul, MN 55104, USA",44.9486242,-93.14672589999999,True,34
35,31x Lexington Parkway,"310 Lexington Pkwy N, St Paul, MN 55104, USA",44.95058,-93.146108,True,35
36,32x Lexington Parkway,"320 Lexington Pkwy N, St Paul, MN 55104, USA",44.95088,-93.14604729999999,True,36
37,33x Lexington Parkway,"330 Lexington Pkwy N, St Paul, MN 55104, USA",44.9510262,-93.14604159999999,True,37
38,34x Lexington Parkway,"340 Lexington Pkwy N, St Paul, MN 55104, USA",44.951173,-93.14603579999999,True,38
39,35x Lexington Parkway,"350 Lexington Pkwy N, St Paul, MN 55104, USA",44.951271,-93.14648489999999,True,39
40,36x Lexington Parkway,"360 Lexington Pkwy S, St Paul, MN 55105, USA",44.9307794,-93.1458914,False,40
41,37x Lexington Parkway,"370 Lexington Pkwy N, St Paul, MN 55104, USA",44.9525025,-93.1461784,True,41
42,38x Lexington Parkway,"380 Lexington Pkwy N, St Paul, MN 55104, USA",44.9527515,-93.1460535,True,42
43,39x Lexington Parkway,"390 Lexington Pkwy N, St Paul, MN 55104, USA",44.9525804,-93.1461854,True,43
44,40x Lexington Parkway,"400 Lexington Pkwy N, St Paul, MN 55104, USA",44.9532639,-93.1461887,True,44
45,4xx Lexington Parkway,"405 Lexington Pkwy N, St Paul, MN 55104, USA",44.9534694,-93.1467582,True,45
46,41x Lexington Parkway,"410 Lexington Pkwy N, St Paul, MN 55104, USA",44.95355929999999,-93.1462214,True,46
47,42x Lexington Parkway,"420 Lexington Pkwy N, St Paul, MN 55104, USA",44.9537816,-93.1462246,True,47
48,43x Lexington Parkway,"430 Lexington Pkwy N, St Paul, MN 55104, USA",44.9541408,-93.14654759999999,True,48
49,44x Lexington Parkway,"440 Lexington Pkwy N, St Paul, MN 55104, USA",44.9543986,-93.1465465,True,49
50,45x Lexington Parkway,"450 Lexington Pkwy N, St Paul, MN 55104, USA",44.9545621,-93.14632259999999,True,50
51,46x Lexington Parkway,"460 Lexington Pkwy N, St Paul, MN 55104, USA",44.954983,-93.1462529,True,51
52,47x Lexington Parkway,"470 Lexington Pkwy N, St Paul, MN 55104, USA",44.95521840000001,-93.1463107,True,52
53,48x Lexington Parkway,"480 Lexington Pkwy N, St Paul, MN 55104, USA",44.9557097,-93.1465437,True,53
54,49x Lexington Parkway,"490 Lexington Pkwy N, St Paul, MN 55104, USA",44.95613609999999,-93.1465437,True,54
55,50x Lexington Parkway,"500 Lexington Pkwy N, St Paul, MN 55104, USA",44.9563334,-93.146175,True,55
56,5xx Lexington Parkway,"505 Lexington Pkwy N, St Paul, MN 55104, USA",44.9564424,-93.147033,True,56
57,51x Lexington Parkway,"510 Lexington Pkwy N, St Paul, MN 55104, USA",44.95662249999999,-93.1461761,True,57
58,52x Lexington Parkway,"520 Lexington Pkwy N, St Paul, MN 55104, USA",44.9569328,-93.1462154,True,58
59,53x Lexington Parkway,"530 Lexington Pkwy N, St Paul, MN 55104, USA",44.9571881,-93.1462097,True,59
60,54x Lexington Parkway,"540 Lexington Pkwy N, St Paul, MN 55104, USA",44.957406,-93.1462337,True,60
61,55x Lexington Parkway,"550 Lexington Pkwy N, St Paul, MN 55104, USA",44.9578439,-93.1462032,True,61
62,56x Lexington Parkway,"560 Lexington Pkwy S, St Paul, MN 55116, USA",44.9246621,-93.1462557,False,62
63,57x Lexington Parkway,"570 Lexington Pkwy N, St Paul, MN 55104, USA",44.9584367,-93.14654329999999,True,63
64,58x Lexington Parkway,"580 Lexington Pkwy N, St Paul, MN 55104, USA",44.9587744,-93.1461478,True,64
65,59x Lexington Parkway,"590 Lexington Pkwy N, St Paul, MN 55104, USA",44.959041,-93.14619900000001,True,65
66,60x Lexington Parkway,"600 Lexington Pkwy N, St Paul, MN 55104, USA",44.959339,-93.1462062,True,66
67,6xx Lexington Parkway,"605 Lexington Pkwy S, St Paul, MN 55116, USA",44.923205,-93.146979,False,67
68,61x Lexington Parkway,"610 Lexington Pkwy N, St Paul, MN 55104, USA",44.9596651,-93.1461884,True,68
69,62x Lexington Parkway,"620 Lexington Pkwy N, St Paul, MN 55104, USA",44.959956,-93.14618229999999,True,69
70,63x Lexington Parkway,"630 Lexington Pkwy N, St Paul, MN 55104, USA",44.9602523,-93.1465303,True,70
71,64x Lexington Parkway,"640 Lexington Pkwy N, St Paul, MN 55104, USA",44.96060689999999,-93.1461992,True,71
72,65x Lexington Parkway,"650 Lexington Pkwy N, St Paul, MN 55104, USA",44.960813,-93.1462014,True,72
73,66x Lexington Parkway,"660 Lexington Pkwy N, St Paul, MN 55104, USA",44.9610311,-93.14621939999999,True,73
74,67x Lexington Parkway,"670 Lexington Pkwy N, St Paul, MN 55104, USA",44.961505,-93.1461989,True,74
75,68x Lexington Parkway,"680 Lexington Pkwy N, St Paul, MN 55104, USA",44.9617784,-93.1461973,True,75
76,69x Lexington Parkway,"690 Lexington Pkwy N, St Paul, MN 55104, USA",44.9620718,-93.1465307,True,76
77,70x Lexington Parkway,"700 Lexington Pkwy N, St Paul, MN 55104, USA",44.9624032,-93.1461604,True,77
78,7xx Lexington Parkway,"705 Lexington Pkwy N, St Paul, MN 55104, USA",44.9628163,-93.14718979999999,True,78
79,71x Lexington Parkway,"710 Lexington Pkwy N, St Paul, MN 55104, USA",44.9626891,-93.1462,True,79
80,72x Lexington Parkway,"720 Lexington Pkwy N, St Paul, MN 55104, USA",44.9629917,-93.1461985,True,80
81,73x Lexington Parkway,"730 Lexington Pkwy N, St Paul, MN 55104, USA",44.96328949999999,-93.1462317,True,81
82,74x Lexington Parkway,"740 Lexington Pkwy N, St Paul, MN 55104, USA",44.9636175,-93.1462284,True,82
83,75x Lexington Parkway,"750 Lexington Pkwy N, St Paul, MN 55104, USA",44.9638831,-93.14652559999999,True,83
84,76x Lexington Parkway,"760 Lexington Pkwy N, St Paul, MN 55104, USA",44.9642515,-93.1461887,True,84
85,77x Lexington Parkway,"770 Lexington Pkwy N, St Paul, MN 55104, USA",44.9645288,-93.14621059999999,True,85
86,78x Lexington Parkway,"780 Lexington Pkwy N, St Paul, MN 55104, USA",44.9647848,-93.1462164,True,86
87,79x Lexington Parkway,"790 Lexington Pkwy N, St Paul, MN 55104, USA",44.96518380000001,-93.1462433,True,87
88,80x Lexington Parkway,"800 Lexington Pkwy N, St Paul, MN 55104, USA",44.9654676,-93.1462495,True,88
89,8xx Lexington Parkway,"805 Lexington Pkwy N, St Paul, MN 55104, USA",44.9654186,-93.146996,True,89
90,81x Lexington Parkway,"810 Lexington Pkwy N, St Paul, MN 55104, USA",44.965691,-93.1465308,True,90
91,82x Lexington Parkway,"820 Lexington Pkwy S, St Paul, MN 55116, USA",44.9164908,-93.14783179999999,False,91
92,83x Lexington Parkway,"830 Lexington Pkwy N, St Paul, MN 55104, USA",44.9661688,-93.14619429999999,True,92
93,84x Lexington Parkway,"840 Lexington Pkwy N, St Paul, MN 55104, USA",44.9675959,-93.1465499,True,93
94,85x Lexington Parkway,"850 Lexington Pkwy N, St Paul, MN 55103, USA",44.9677279,-93.14654519999999,False,94
95,86x Lexington Parkway,"860 Lexington Pkwy N, St Paul, MN 55103, USA",44.9678676,-93.1465401,False,95
96,87x Lexington Parkway,"870 Lexington Pkwy N, St Paul, MN 55103, USA",44.9680073,-93.14653489999999,False,96
97,88x Lexington Parkway,"880 Lexington Pkwy N, St Paul, MN 55103, USA",44.9681471,-93.1465297,False,97
98,89x Lexington Parkway,"890 Lexington Pkwy N, St Paul, MN 55103, USA",44.9682868,-93.1465235,False,98
99,90x Lexington Parkway,"900 Lexington Pkwy N, St Paul, MN 55103, USA",44.9684405,-93.1465139,False,99
100,9xx Lexington Parkway,"905 Lexington Pkwy N, St Paul, MN 55108, USA",44.9685979,-93.1466641,False,100
101,91x Lexington Parkway,"910 Lexington Pkwy N, St Paul, MN 55103, USA",44.9687371,-93.14611380000001,False,101
102,92x Lexington Parkway,"920 Lexington Pkwy N, St Paul, MN 55103, USA",44.96900979999999,-93.1461143,False,102
103,93x Lexington Parkway,"930 Lexington Pkwy N, St Paul, MN 55103, USA",44.9692821,-93.1465154,False,103
104,94x Lexington Parkway,"940 Lexington Pkwy N, St Paul, MN 55103, USA",44.9695756,-93.1465127,False,104
105,95x Lexington Parkway,"950 Lexington Pkwy N, St Paul, MN 55103, USA",44.969854,-93.1460094,False,105
106,96x Lexington Parkway,"960 Lexington Pkwy N, St Paul, MN 55103, USA",44.9702729,-93.14650280000001,False,106
107,97x Lexington Parkway,"970 Lexington Pkwy N, St Paul, MN 55103, USA",44.97062090000001,-93.14617439999999,False,107
108,98x Lexington Parkway,"980 Lexington Pkwy N, St Paul, MN 55103, USA",44.9708374,-93.14617349999999,False,108
109,99x Lexington Parkway,"990 Lexington Pkwy N, St Paul, MN 55103, USA",44.9710262,-93.1461726,False,109
110,100x Lexington Parkway,"1000 Lexington Pkwy N, St Paul, MN 55103, USA",44.9713474,-93.14649829999999,False,110
111,10xx Lexington Parkway,"1005 Lexington Pkwy N, St Paul, MN 55104, USA",44.9559851,-93.1467844,True,111
112,101x Lexington Parkway,"1010 Lexington Pkwy N, St Paul, MN 55103, USA",44.9716472,-93.1461757,False,112
113,102x Lexington Parkway,"1020 Lexington Pkwy N, St Paul, MN 55103, USA",44.9718532,-93.1461899,False,113
114,103x Lexington Parkway,"1030 Lexington Pkwy N, St Paul, MN 55103, USA",44.9721097,-93.1461394,False,114
115,104x Lexington Parkway,"1040 Lexington Pkwy N, St Paul, MN 55103, USA",44.9724736,-93.14652559999999,False,115
116,105x Lexington Parkway,"1050 Lexington Pkwy N, St Paul, MN 55103, USA",44.9726158,-93.1462013,False,116
117,106x Lexington Parkway,"1060 Lexington Pkwy N, St Paul, MN 55108, USA",44.9729781,-93.1465709,False,117
118,107x Lexington Parkway,"1070 Lexington Pkwy N, St Paul, MN 55103, USA",44.9731291,-93.1461728,False,118
119,108x Lexington Parkway,"1080 Lexington Pkwy N, St Paul, MN 55103, USA",44.9734657,-93.1465764,False,119
120,109x Lexington Parkway,"1090 Lexington Pkwy N, St Paul, MN 55103, USA",44.9741496,-93.14616699999999,False,120
121,110x Lexington Parkway,"1100 Lexington Pkwy N, St Paul, MN 55103, USA",44.9744565,-93.1461641,False,121
122,11xx Lexington Parkway,"1105 Lexington Pkwy N, St Paul, MN 55104, USA",44.9557262,-93.1468529,True,122
123,111x Lexington Parkway,"1110 Lexington Pkwy N, St Paul, MN 55103, USA",44.9747563,-93.1461673,False,123
124,112x Lexington Parkway,"1120 Lexington Pkwy N, St Paul, MN 55103, USA",44.9749998,-93.14616989999999,False,124
125,113x Lexington Parkway,"1130 Lexington Pkwy N, St Paul, MN 55103, USA",44.9751732,-93.1465963,False,125
126,114x Lexington Parkway,"1140 Lexington Pkwy N, St Paul, MN 55103, USA",44.9753643,-93.1461631,False,126
127,115x Lexington Parkway,"1150 Lexington Pkwy N, St Paul, MN 55103, USA",44.9759342,-93.14620579999999,False,127
128,116x Lexington Parkway,"1160 Lexington Pkwy N, St Paul, MN 55103, USA",44.9761907,-93.14615529999999,False,128
129,117x Lexington Parkway,"1170 Lexington Pkwy N, St Paul, MN 55103, USA",44.9764945,-93.14612950000001,False,129
130,118x Lexington Parkway,"1180 Lexington Pkwy N, St Paul, MN 55103, USA",44.9767191,-93.1461544,False,130
131,119x Lexington Parkway,"1190 Lexington Pkwy N, St Paul, MN 55103, USA",44.9770307,-93.1460903,False,131
132,120x Lexington Parkway,"1200 Lexington Pkwy N, St Paul, MN 55103, USA",44.9772839,-93.1461575,False,132
133,12xx Lexington Parkway,"1205 Lexington Pkwy N, St Paul, MN 55117, USA",44.97746770000001,-93.146636,False,133
134,121x Lexington Parkway,"1210 Lexington Pkwy N, St Paul, MN 55103, USA",44.977897,-93.1467794,False,134
135,122x Lexington Parkway,"1220 Lexington Pkwy N, St Paul, MN 55103, USA",44.9780254,-93.1468283,False,135
136,123x Lexington Parkway,"1230 Lexington Pkwy N, St Paul, MN 55103, USA",44.9785923,-93.14689849999999,False,136
137,124x Lexington Parkway,"1240 Lexington Pkwy N, St Paul, MN 55103, USA",44.9788953,-93.14686689999999,False,137
138,125x Lexington Parkway,"1250 Lexington Pkwy N, St Paul, MN 55103, USA",44.9791777,-93.1466989,False,138
139,126x Lexington Parkway,"1260 Lexington Pkwy N, St Paul, MN 55103, USA",44.97936199999999,-93.1464805,False,139
140,127x Lexington Parkway,"1270 Lexington Pkwy N, St Paul, MN 55103, USA",44.9794695,-93.14629029999999,False,140
141,128x Lexington Parkway,"1280 Lexington Pkwy N, St Paul, MN 55117, USA",44.979575,-93.14610479999999,False,141
142,129x Lexington Parkway,"1290 Lexington Pkwy N, St Paul, MN 55117, USA",44.9796805,-93.14591949999999,False,142
143,130x Lexington Parkway,"1300 Lexington Pkwy N, St Paul, MN 55117, USA",44.9797651,-93.1457715,False,143
144,13xx Lexington Parkway,"1305 Lexington Pkwy N, St Paul, MN 55117, USA",44.9797651,-93.1457715,False,144
145,131x Lexington Parkway,"1310 Lexington Pkwy N, St Paul, MN 55104, USA",44.9557223,-93.1467187,True,145
146,132x Lexington Parkway,"1320 Lexington Pkwy N, St Paul, MN 55117, USA",44.9797796,-93.14574669999999,False,146
147,133x Lexington Parkway,"1330 Lexington Pkwy N, St Paul, MN 55117, USA",44.9799149,-93.1455526,False,147
148,134x Lexington Parkway,"1340 Lexington Pkwy N, St Paul, MN 55117, USA",44.9807053,-93.1452736,False,148
149,14xx Lexington Parkway,"1405 Lexington Pkwy N, St Paul, MN 55103, USA",44.9837606,-93.1438196,False,149
150,15xx Lexington Parkway,"1505 Lexington Pkwy N, St Paul, MN 55103, USA",44.9864795,-93.1459027,False,150
