Grid,Date,Block,CallDisposition,Incident,IncType,Neighborhood
107.0,2020-01-29 21:25:44,44x lexington pa n,Gone on Arrival,Auto Theft,Motor Vehicle Theft,8 - Summit/University
107.0,2020-01-25 18:08:00,101x carroll av,Report Written,Vandalism,"Criminal Damage to Property (Misdemeanor, Under $250)",8 - Summit/University
107.0,2020-01-25 00:14:12,97x iglehart av,Gone on Arrival,Discharge,"Weapons, Discharging a Firearm in the City Limits",8 - Summit/University
107.0,2020-01-20 17:00:00,86x central av w,Report Written,Auto Theft,"Motor Vehicle Theft, All Other Vehicles",8 - Summit/University
107.0,2020-01-19 08:51:49,91x central av w,Advised,Auto Theft,Motor Vehicle Theft,8 - Summit/University
107.0,2020-01-18 13:35:18,90x aurora av,Advised,Theft,"Theft, Except Auto Theft",8 - Summit/University
107.0,2020-01-13 00:00:00,97x carroll av,Report Written,Auto Theft,"Motor Vehicle Theft, Trucks and Buses",8 - Summit/University
107.0,2020-01-11 10:30:00,27x lexington pa n,Report Written,Theft,"Theft, From Auto, Under $500",8 - Summit/University
107.0,2020-01-04 19:05:21,97x university av w,Advised,Discharge,"Weapons, Discharging a Firearm in the City Limits",8 - Summit/University
107.0,2020-01-04 16:47:11,44x lexington pa n,Advised,Theft,"Theft, Except Auto Theft",8 - Summit/University
107.0,2020-01-03 03:59:09,96x university av w,Report Written,Arson,Arson,8 - Summit/University
107.0,2020-01-02 06:20:00,99x carroll av,Report Written,Auto Theft,"Motor Vehicle Theft, All Other Vehicles",8 - Summit/University
107.0,2020-01-02 01:10:52,87x fuller av,Advised,Discharge,"Weapons, Discharging a Firearm in the City Limits",8 - Summit/University
107.0,2020-01-01 18:13:00,concordia av  & victoria,Report Written,Narcotics,"Narcotics, Possession of Cocaine",8 - Summit/University
107.0,2019-12-31 18:00:00,86x aurora av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",8 - Summit/University
107.0,2019-12-30 09:12:00,90x fuller av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",8 - Summit/University
107.0,2019-12-29 03:34:51,98x fuller av,Advised,Narcotics,Narcotics,8 - Summit/University
107.0,2019-12-27 14:40:00,94x university av w,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",8 - Summit/University
107.0,2019-12-20 22:15:00,42x oxford st n,Report Written,Vandalism,"Criminal Damage to Property (Gross Mis., $250-$500)",8 - Summit/University
107.0,2019-12-16 04:27:00,90x fuller av,Report Written,Burglary,"Burglary, Forced Entry, Night, Residence, Occupied",8 - Summit/University
107.0,2019-12-16 02:30:00,93x concordia av,Report Written,Burglary,"Burglary, Forced Entry, Night, Residence",8 - Summit/University
107.0,2019-12-15 13:40:00,37x lexington pa n,Report Written,Theft,"Theft, All Other, Under $500",8 - Summit/University
107.0,2019-12-13 06:07:00,93x concordia av,Report Written,Theft,Theft - Mail/Package,8 - Summit/University
107.0,2019-12-10 15:25:52,97x university av w,Advised,Theft,"Theft, Except Auto Theft",8 - Summit/University
107.0,2019-12-09 00:00:00,95x aurora av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",8 - Summit/University
