Address,Block,Block1,Coordinates,Fail,For_Address,Grid,Latitude,Longitude,Results,Zip,index,index1
"730 victoria st n, Saint Paul, MN, 55104",73x victoria st n,9.0,"{'formatted_address': '730 Victoria St N, St Paul, MN 55103, USA', 'latitude': 44.9702096, 'longitude': -93.1364708, 'zip': '55103', 'input_string': '730 victoria st n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",True,"730 Victoria St N, St Paul, MN 55103, USA",67.0,44.9702096,-93.1364708,1.0,55103,,
"740 lexington pa n, Saint Paul, MN, 55104",74x lexington pa n,2.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '740 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",False,"1096 Grand Ave, St Paul, MN 55105, USA",67.0,44.9398043,-93.1463622,1.0,55105,,
"750 lexington pa n, Saint Paul, MN, 55104",75x lexington pa n,1.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'zip': '55104', 'input_string': '750 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",True,"474 Lexington Pkwy N, St Paul, MN 55104, USA",67.0,44.9553059,-93.1462304,1.0,55104,,
"760 lexington pa n, Saint Paul, MN, 55104",76x lexington pa n,1.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '760 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 2, 'status': 'OK'}",False,"1096 Grand Ave, St Paul, MN 55105, USA",67.0,44.9398043,-93.1463622,2.0,55105,,
"770 lexington pa n, Saint Paul, MN, 55104",77x lexington pa n,3.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'zip': '55104', 'input_string': '770 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",True,"474 Lexington Pkwy N, St Paul, MN 55104, USA",67.0,44.9553059,-93.1462304,1.0,55104,,
"780 lexington pa n, Saint Paul, MN, 55104",78x lexington pa n,1.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'zip': '55104', 'input_string': '780 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 2, 'status': 'OK'}",True,"474 Lexington Pkwy N, St Paul, MN 55104, USA",67.0,44.9553059,-93.1462304,2.0,55104,,
"890 lexington pa n, Saint Paul, MN, 55104",89x lexington pa n,1.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '890 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",False,"1096 Grand Ave, St Paul, MN 55105, USA",67.0,44.9398043,-93.1463622,1.0,55105,,
"900 lexington pa n, Saint Paul, MN, 55104",90x lexington pa n,1.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '900 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",False,"1096 Grand Ave, St Paul, MN 55105, USA",67.0,44.9398043,-93.1463622,1.0,55105,,
"950 lexington pa n, Saint Paul, MN, 55104",95x lexington pa n,179.0,"{'formatted_address': '275 Lexington Pkwy N,, St Paul, MN 55104, USA', 'latitude': 44.9489021, 'longitude': -93.1484443, 'zip': '55104', 'input_string': '950 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",True,"275 Lexington Pkwy N,, St Paul, MN 55104, USA",67.0,44.9489021,-93.1484443,1.0,55104,,
,99x burgess st,,,True,"990 Burgess St, St Paul, MN 55103, USA",67.0,44.9683667,-93.1261646,,,118.0,109.0
,99x topping st,,,True,"990 Topping St, St Paul, MN 55103, USA",67.0,44.96745749999999,-93.12615029999999,,,122.0,113.0
