index,Grid,Block,For_Address,Latitude,Longitude,Fail,index1
0,86.0,108x university av w,"1080 University Ave W, St Paul, MN 55104, USA",44.95524150000001,-93.1454603,True,0
1,86.0,110x edmund av,"1100 Edmund Ave W, St Paul, MN 55104, USA",44.9584615,-93.1467366,True,1
2,86.0,110x minnehaha av w,"1100 W Minnehaha Ave, St Paul, MN 55104, USA",44.9630234,-93.1467321,True,2
3,86.0,110x university av w,"1100 University Ave W, St Paul, MN 55104, USA",44.9556268,-93.1464141,True,3
4,86.0,11xx charles av,"1105 Charles Ave, St Paul, MN 55104, USA",44.9577557,-93.1469147,True,4
5,86.0,11xx edmund av,"1105 Edmund Ave W, St Paul, MN 55104, USA",44.9586859,-93.1469272,True,5
6,86.0,111x blair av,"1110 Blair Ave, St Paul, MN 55104, USA",44.9609867,-93.14718789999999,True,6
7,86.0,111x charles av,"1110 Charles Ave, St Paul, MN 55104, USA",44.9573548,-93.1471554,True,7
8,86.0,111x edmund av,"1110 Edmund Ave W, St Paul, MN 55104, USA",44.9582726,-93.1471743,True,8
9,86.0,111x lafond av,"1110 Lafond Ave, St Paul, MN 55104, USA",44.9600608,-93.1472436,True,9
10,86.0,111x minnehaha av w,"1110 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627998,-93.1471419,True,10
11,86.0,111x sherburne av,"1110 Sherburne Ave, St Paul, MN 55104, USA",44.9564519,-93.14715559999999,True,11
12,86.0,111x thomas av,"1110 Thomas Ave W, St Paul, MN 55104, USA",44.95916709999999,-93.1474269,True,12
13,86.0,111x university av w,"1110 University Ave W, St Paul, MN 55104, USA",44.955631,-93.1467247,True,13
14,86.0,111x vanburen av,"1110 Van Buren Ave, St Paul, MN 55104, USA",44.9618678,-93.1472299,True,14
15,86.0,112x blair av,"1120 Blair Ave, St Paul, MN 55104, USA",44.9609846,-93.1476288,True,15
16,86.0,112x edmund av,"1120 Edmund Ave W, St Paul, MN 55104, USA",44.958249,-93.14754669999999,True,16
17,86.0,112x lafond av,"1120 Lafond Ave, St Paul, MN 55104, USA",44.9600613,-93.1477053,True,17
18,86.0,112x minnehaha av w,"1120 W Minnehaha Ave, St Paul, MN 55104, USA",44.9628159,-93.147556,True,18
19,86.0,112x sherburne av,"1120 Sherburne Ave, St Paul, MN 55104, USA",44.9564525,-93.147577,True,19
20,86.0,112x thomas av,"1120 Thomas Ave W, St Paul, MN 55104, USA",44.9591674,-93.14768579999999,True,20
21,86.0,112x university av w,"1120 University Ave W, St Paul, MN 55104, USA",44.955469,-93.1471262,True,21
22,86.0,112x vanburen av,"1120 Van Buren Ave, St Paul, MN 55104, USA",44.9619014,-93.1476914,True,22
23,86.0,113x charles av,"1130 Charles Ave, St Paul, MN 55104, USA",44.9573409,-93.14793689999999,True,23
24,86.0,113x edmund av,"1130 Edmund Ave W, St Paul, MN 55104, USA",44.958251,-93.1479583,True,24
25,86.0,113x lafond av,"1130 Lafond Ave, St Paul, MN 55104, USA",44.9600526,-93.1480189,True,25
26,86.0,113x minnehaha av w,"1130 W Minnehaha Ave, St Paul, MN 55104, USA",44.9628084,-93.1478305,True,26
27,86.0,113x sherburne av,"1130 Sherburne Ave, St Paul, MN 55104, USA",44.9564663,-93.1479494,True,27
28,86.0,113x thomas av,"1130 Thomas Ave W, St Paul, MN 55104, USA",44.9591678,-93.1480366,True,28
29,86.0,113x university av w,"1130 University Ave W, St Paul, MN 55104, USA",44.95543869999999,-93.1480737,True,29
30,86.0,113x vanburen av,"1130 Van Buren Ave, St Paul, MN 55104, USA",44.9618928,-93.148005,True,30
31,86.0,114x blair av,"1140 Blair Ave, St Paul, MN 55104, USA",44.96098079999999,-93.14841489999999,True,31
32,86.0,114x charles av,"1140 Charles Ave, St Paul, MN 55104, USA",44.9573532,-93.14834169999999,True,32
33,86.0,114x edmund av,"1140 Edmund Ave W, St Paul, MN 55104, USA",44.9582482,-93.1483485,True,33
34,86.0,114x lafond av,"1140 Lafond Ave, St Paul, MN 55104, USA",44.960044,-93.1483325,True,34
35,86.0,114x sherburne av,"1140 Sherburne Ave, St Paul, MN 55104, USA",44.9564536,-93.14832179999999,True,35
36,86.0,114x thomas av,"1140 Thomas Ave W, St Paul, MN 55104, USA",44.9591684,-93.148461,True,36
37,86.0,114x university av w,"1140 University Ave W, St Paul, MN 55104, USA",44.9554363,-93.1487851,True,37
38,86.0,114x vanburen av,"1140 Van Buren Ave, St Paul, MN 55104, USA",44.9618568,-93.1483966,True,38
39,86.0,115x blair av,"1150 Blair Ave, St Paul, MN 55104, USA",44.9609643,-93.14864999999999,True,39
40,86.0,115x edmund av,"1150 Edmund Ave W, St Paul, MN 55104, USA",44.9582306,-93.1487032,True,40
41,86.0,115x lafond av,"1150 Lafond Ave, St Paul, MN 55104, USA",44.9600587,-93.1487463,True,41
42,86.0,115x minnehaha av w,"1150 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627859,-93.14871269999999,True,42
43,86.0,115x sherburne av,"1150 Sherburne Ave, St Paul, MN 55104, USA",44.9564458,-93.1486942,True,43
44,86.0,115x thomas av,"1150 Thomas Ave W, St Paul, MN 55104, USA",44.9591687,-93.1487418,True,44
45,86.0,115x university av w,"1150 University Ave W, St Paul, MN 55104, USA",44.95562899999999,-93.1491013,True,45
46,86.0,115x vanburen av,"1150 Van Buren Ave, St Paul, MN 55104, USA",44.9618712,-93.1487892,True,46
47,86.0,116x blair av,"1160 Blair Ave, St Paul, MN 55104, USA",44.9611787,-93.1492153,True,47
48,86.0,116x charles av,"1160 Charles Ave, St Paul, MN 55104, USA",44.9573374,-93.14939129999999,True,48
49,86.0,116x edmund av,"1160 Edmund Ave W, St Paul, MN 55104, USA",44.9584589,-93.1492207,True,49
50,86.0,116x sherburne av,"1160 Sherburne Ave, St Paul, MN 55104, USA",44.9564452,-93.1493802,True,50
51,86.0,116x thomas av,"1160 Thomas Ave W, St Paul, MN 55104, USA",44.9593672,-93.14921199999999,True,51
52,86.0,116x university av w,"1160 University Ave W, St Paul, MN 55104, USA",44.9556354,-93.1493677,True,52
53,86.0,116x vanburen av,"1160 Van Buren Ave, St Paul, MN 55104, USA",44.96189140000001,-93.1493813,True,53
54,86.0,117x blair av,"1170 Blair Ave, St Paul, MN 55104, USA",44.9609538,-93.14969099999999,True,54
55,86.0,117x charles av,"1170 Charles Ave, St Paul, MN 55104, USA",44.9573287,-93.14970489999999,True,55
56,86.0,117x edmund av,"1170 Edmund Ave W, St Paul, MN 55104, USA",44.9582504,-93.1497395,True,56
57,86.0,117x lafond av,"1170 Lafond Ave, St Paul, MN 55104, USA",44.9600613,-93.1496911,True,57
58,86.0,117x minnehaha av w,"1170 W Minnehaha Ave, St Paul, MN 55104, USA",44.962794,-93.1496772,True,58
59,86.0,117x sherburne av,"1170 Sherburne Ave, St Paul, MN 55104, USA",44.9564906,-93.1497134,True,59
60,86.0,117x thomas av,"1170 Thomas Ave W, St Paul, MN 55104, USA",44.9591708,-93.14975109999999,True,60
61,86.0,117x vanburen av,"1170 Van Buren Ave, St Paul, MN 55104, USA",44.96185000000001,-93.14977119999999,True,61
62,86.0,118x blair av,"1180 Blair Ave, St Paul, MN 55104, USA",44.9609746,-93.1500745,True,62
63,86.0,118x charles av,"1180 Charles Ave, St Paul, MN 55104, USA",44.9573532,-93.1501401,True,63
64,86.0,118x edmund av,"1180 Edmund Ave W, St Paul, MN 55104, USA",44.9582503,-93.15010319999999,True,64
65,86.0,118x lafond av,"1180 Lafond Ave, St Paul, MN 55104, USA",44.96003899999999,-93.15007410000001,True,65
66,86.0,118x minnehaha av w,"1180 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627822,-93.1501085,True,66
67,86.0,118x sherburne av,"1180 Sherburne Ave, St Paul, MN 55104, USA",44.9564562,-93.15006629999999,True,67
68,86.0,118x thomas av,"1180 Thomas Ave W, St Paul, MN 55104, USA",44.9591703,-93.1500813,True,68
69,86.0,118x university av w,"1180 University Ave W, St Paul, MN 55104, USA",44.9556499,-93.14997819999999,True,69
70,86.0,119x blair av,"1190 Blair Ave, St Paul, MN 55104, USA",44.960951,-93.15045750000002,True,70
71,86.0,119x charles av,"1190 Charles Ave, St Paul, MN 55104, USA",44.9573445,-93.1504538,True,71
72,86.0,119x edmund av,"1190 Edmund Ave W, St Paul, MN 55104, USA",44.9582557,-93.1504361,True,72
73,86.0,119x lafond av,"1190 Lafond Ave, St Paul, MN 55104, USA",44.9600584,-93.1504576,True,73
74,86.0,119x sherburne av,"1190 Sherburne Ave, St Paul, MN 55104, USA",44.9564878,-93.15047779999999,True,74
75,86.0,119x thomas av,"1190 Thomas Ave W, St Paul, MN 55104, USA",44.9591296,-93.15045359999999,True,75
76,86.0,119x university av w,"1190 University Ave W, St Paul, MN 55104, USA",44.9549953,-93.15043860000002,True,76
77,86.0,119x vanburen av,"1190 Van Buren Ave, St Paul, MN 55104, USA",44.9618622,-93.1504399,True,77
78,86.0,120x blair av,"1200 Blair Ave, St Paul, MN 55104, USA",44.9611396,-93.1508412,True,78
79,86.0,120x edmund av,"1200 Edmund Ave W, St Paul, MN 55104, USA",44.9582501,-93.1508301,True,79
80,86.0,120x lafond av,"1200 Lafond Ave, St Paul, MN 55104, USA",44.9600642,-93.1509105,True,80
81,86.0,120x minnehaha av w,"1200 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627595,-93.15093189999999,True,81
82,86.0,120x sherburne av,"1200 Sherburne Ave, St Paul, MN 55104, USA",44.9564605,-93.15084979999999,True,82
83,86.0,120x thomas av,"1200 Thomas Ave W, St Paul, MN 55104, USA",44.9591692,-93.1508497,True,83
84,86.0,120x university av w,"1200 University Ave W, St Paul, MN 55104, USA",44.9553739,-93.1507707,True,84
85,86.0,120x vanburen av,"1200 Van Buren Ave, St Paul, MN 55104, USA",44.9618455,-93.1508319,True,85
86,86.0,121x blair av,"1210 Blair Ave, St Paul, MN 55104, USA",44.9609657,-93.15124569999999,True,86
87,86.0,121x charles av,"1210 Charles Ave, St Paul, MN 55104, USA",44.9573593,-93.1512418,True,87
88,86.0,121x lafond av,"1210 Lafond Ave, St Paul, MN 55104, USA",44.9600555,-93.1512241,True,88
89,86.0,121x sherburne av,"1210 Sherburne Ave, St Paul, MN 55104, USA",44.95644859999999,-93.1512422,True,89
90,86.0,121x thomas av,"1210 Thomas Ave W, St Paul, MN 55104, USA",44.9591443,-93.1512417,True,90
91,86.0,121x vanburen av,"1210 Van Buren Ave, St Paul, MN 55104, USA",44.961877,-93.15122799999999,True,91
92,86.0,122x blair av,"1220 Blair Ave, St Paul, MN 55104, USA",44.9609463,-93.1519514,True,92
93,86.0,122x charles av,"1220 Charles Ave, St Paul, MN 55104, USA",44.9573399,-93.15194749999999,True,93
94,86.0,122x edmund av,"1220 Edmund Ave W, St Paul, MN 55104, USA",44.9584578,-93.1517697,True,94
95,86.0,122x lafond av,"1220 Lafond Ave, St Paul, MN 55104, USA",44.96026630000001,-93.1517663,True,95
96,86.0,122x minnehaha av w,"1220 W Minnehaha Ave, St Paul, MN 55104, USA",44.96284259999999,-93.151885,True,96
97,86.0,122x sherburne av,"1220 Sherburne Ave, St Paul, MN 55104, USA",44.95644679999999,-93.1519675,True,97
98,86.0,122x thomas av,"1220 Thomas Ave W, St Paul, MN 55104, USA",44.9593633,-93.1517699,True,98
99,86.0,122x university av w,"1220 University Ave W, St Paul, MN 55104, USA",44.9556186,-93.151719,True,99
100,86.0,122x vanburen av,"1220 Van Buren Ave, St Paul, MN 55104, USA",44.9620713,-93.15176369999999,True,100
101,86.0,123x blair av,"1230 Blair Ave, St Paul, MN 55104, USA",44.960974,-93.1522691,True,101
102,86.0,123x charles av,"1230 Charles Ave, St Paul, MN 55104, USA",44.9573323,-93.1522219,True,102
103,86.0,123x edmund av,"1230 Edmund Ave W, St Paul, MN 55104, USA",44.9582424,-93.1522435,True,103
