index1,Grid,Block,For_Address,Latitude,Longitude,Fail
0,88.0,101x cypress st,"1010 N Cypress St, St Paul, MN 55106, USA",44.9718524,-93.0581369,False
1,88.0,137x coach rd,"1370 Coach Rd, St Paul, MN 55108, USA",44.9730245,-93.15737260000002,False
2,88.0,144x minnehaha av e,"1440 Minnehaha Ave E, St Paul, MN 55106, USA",44.9629228,-93.03979439999999,False
3,88.0,145x university av w,"1450 University Ave W, St Paul, MN 55104, USA",44.9547721,-93.161181,False
4,88.0,148x 7 st e,"1480 7th St E, St Paul, MN 55106, USA",44.9663184,-93.0379624,False
5,88.0,166x barclay st,"1660 Barclay St, St Paul, MN 55106, USA",44.9913105,-93.0376996,False
6,88.0,166x whitebear av n,"1660 White Bear Ave, St Paul, MN 55106, USA",44.9914734,-93.0244981,False
7,88.0,169x nebraska av e,"1690 Nebraska Ave E, St Paul, MN 55106, USA",44.9863358,-93.0290103,False
8,88.0,18x oldsixth st,"180 Old 6th St W, St Paul, MN 55102, USA",44.9463921,-93.1003363,False
9,88.0,183x ames av,"1830 Ames Ave E, St Paul, MN 55119, USA",44.9718465,-93.0229904,False
10,88.0,190x university av w,"1900 University Ave W, St Paul, MN 55104, USA",44.9568313,-93.1803121,False
11,88.0,199x minnehaha av e,"1990 Minnehaha Ave E, St Paul, MN 55119, USA",44.96273799999999,-93.01640809999999,False
12,88.0,209x marshall av,"2090 Marshall Ave, St Paul, MN 55104, USA",44.94809,-93.18865559999999,False
13,88.0,21x 4 st e,"210 4th St E, St Paul, MN 55101, USA",44.9476596,-93.0868333,False
14,88.0,21x grotto st n,"210 Grotto St N, St Paul, MN 55104, USA",44.947212,-93.1311779,False
16,88.0,212x grand av,"2120 Grand Ave, St Paul, MN 55105, USA",44.9401185,-93.1899378,False
17,88.0,24x maryland av e,"240 Maryland Ave E, St Paul, MN 55117, USA",44.97563539999999,-93.09095479999999,False
18,88.0,32x arlington av w,"320 Arlington Ave W, St Paul, MN 55117, USA",44.9843781,-93.1137237,False
19,88.0,47x dale st n,"470 Dale St N, St Paul, MN 55103, USA",44.9552797,-93.1261945,True
20,88.0,48x avon st n,"480 N Avon St, St Paul, MN 55104, USA",44.9555958,-93.13394559999999,True
21,88.0,48x dale st n,"480 Dale St N, St Paul, MN 55103, USA",44.955742,-93.1261991,True
22,88.0,48x grotto st n,"480 Grotto St N, St Paul, MN 55104, USA",44.9557057,-93.1314165,True
23,88.0,48x stalbans st n,"480 St Albans St N, St Paul, MN 55104, USA",44.9555961,-93.1288864,True
24,88.0,49x dale st n,"490 Dale St N, St Paul, MN 55103, USA",44.9560161,-93.1259106,True
25,88.0,49x grotto st n,"490 Grotto St N, St Paul, MN 55104, USA",44.9560645,-93.1311927,True
26,88.0,49x thomas av,"490 Thomas Ave W, St Paul, MN 55103, USA",44.9591784,-93.1207408,False
27,88.0,50x avon st n,"500 N Avon St, St Paul, MN 55104, USA",44.9563344,-93.13394699999999,True
28,88.0,50x dale st n,"500 Dale St N, St Paul, MN 55103, USA",44.9561716,-93.12591239999999,True
29,88.0,50x grotto st n,"500 Grotto St N, St Paul, MN 55104, USA",44.9563327,-93.1312172,True
30,88.0,50x stalbans st n,"500 St Albans St N, St Paul, MN 55104, USA",44.9562384,-93.1288938,True
31,88.0,50x victoria st n,"500 Victoria St N, St Paul, MN 55103, USA",44.9702096,-93.1364708,True
32,88.0,51x dale st n,"510 Dale St N, St Paul, MN 55103, USA",44.956637,-93.126241,True
33,88.0,52x dale st n,"520 Dale St N, St Paul, MN 55103, USA",44.9569444,-93.1260424,True
34,88.0,52x grotto st n,"520 Grotto St N, St Paul, MN 55104, USA",44.9569002,-93.1312434,True
35,88.0,52x stalbans st n,"520 St Albans St N, St Paul, MN 55104, USA",44.9569351,-93.1285968,True
36,88.0,53x avon st n,"530 N Avon St, St Paul, MN 55104, USA",44.9572012,-93.1339629,True
37,88.0,53x dale st n,"530 Dale St N, St Paul, MN 55103, USA",44.957198,-93.12615799999999,True
38,88.0,53x grotto st n,"530 Grotto St N, St Paul, MN 55104, USA",44.9572022,-93.1312447,True
39,88.0,53x stalbans st n,"530 St Albans St N, St Paul, MN 55104, USA",44.9571961,-93.12859949999999,True
40,88.0,54x dale st n,"540 Dale St N, St Paul, MN 55103, USA",44.9576682,-93.1263255,True
41,88.0,54x grotto st n,"540 Grotto St N, St Paul, MN 55104, USA",44.9575038,-93.1314239,True
42,88.0,55x avon st n,"550 N Avon St, St Paul, MN 55104, USA",44.9578043,-93.1336863,True
43,88.0,55x dale st n,"550 Dale St N, St Paul, MN 55103, USA",44.9578657,-93.1260482,True
44,88.0,55x stalbans st n,"550 St Albans St N, St Paul, MN 55104, USA",44.9578168,-93.12861079999999,True
45,88.0,56x grotto st n,"560 Grotto St N, St Paul, MN 55104, USA",44.9581279,-93.1311978,True
46,88.0,57x victoria st n,"570 Victoria St, St Paul, MN 55104, USA",44.95841679999999,-93.1364878,True
47,88.0,58x dale st n,"580 Dale St N, St Paul, MN 55103, USA",44.9587534,-93.1261227,True
48,88.0,58x grotto st n,"580 Grotto St N, St Paul, MN 55104, USA",44.9587182,-93.13110019999999,True
49,88.0,58x stalbans st n,"580 St Albans St N, St Paul, MN 55104, USA",44.9587965,-93.1287128,True
50,88.0,59x grotto st n,"590 Grotto St N, St Paul, MN 55104, USA",44.9590366,-93.13109890000001,True
51,88.0,60x avon st n,"600 N Avon St, St Paul, MN 55104, USA",44.959325,-93.133968,True
52,88.0,60x dale st n,"600 Dale St N, St Paul, MN 55103, USA",44.959078,-93.126171,True
53,88.0,60x grotto st n,"600 Grotto St N, St Paul, MN 55104, USA",44.959606,-93.13125000000001,True
54,88.0,6xx lafond av,"605 Lafond Ave, St Paul, MN 55103, USA",44.9604261,-93.12575,True
55,88.0,6xx university av w,"605 University Ave W, St Paul, MN 55103, USA",44.9560004,-93.12553919999999,True
56,88.0,61x avon st n,"610 N Avon St, St Paul, MN 55104, USA",44.9602101,-93.1339711,True
57,88.0,61x dale st n,"610 Dale St N, St Paul, MN 55103, USA",44.95966199999999,-93.1261688,True
58,88.0,61x stalbans st n,"610 St Albans St N, St Paul, MN 55104, USA",44.9595072,-93.1287153,True
59,88.0,62x blair av,"620 Blair Ave, St Paul, MN 55104, USA",44.96115409999999,-93.1263822,True
60,88.0,62x charles av,"620 Charles Ave, St Paul, MN 55104, USA",44.9575413,-93.12636239999999,True
61,88.0,62x dale st n,"620 Dale St N, St Paul, MN 55103, USA",44.9597363,-93.1261708,True
62,88.0,62x edmund av,"620 Edmund Ave W, St Paul, MN 55104, USA",44.9584376,-93.12642029999999,True
63,88.0,62x grotto st n,"620 Grotto St N, St Paul, MN 55104, USA",44.9599373,-93.131433,True
64,88.0,62x larpenteur av w,"620 Larpenteur Ave W, St Paul, MN 55113, USA",44.9917382,-93.126125,False
65,88.0,62x sherburne av,"620 Sherburne Ave, St Paul, MN 55104, USA",44.9566327,-93.12643109999999,True
66,88.0,62x thomas av,"620 Thomas Ave W, St Paul, MN 55104, USA",44.959342,-93.12641409999999,True
67,88.0,62x university av w,"620 University Ave W, St Paul, MN 55104, USA",44.9556227,-93.1264789,True
68,88.0,63x blair av,"630 Blair Ave, St Paul, MN 55104, USA",44.9609129,-93.1269332,True
69,88.0,63x charles av,"630 Charles Ave, St Paul, MN 55104, USA",44.9573242,-93.12687319999999,True
70,88.0,63x dale st n,"630 Dale St N, St Paul, MN 55103, USA",44.95998700000001,-93.1262272,True
71,88.0,63x edmund av,"630 Edmund Ave W, St Paul, MN 55104, USA",44.9582446,-93.12692659999999,True
72,88.0,63x lafond av,"630 Lafond Ave, St Paul, MN 55104, USA",44.9599819,-93.126886,True
73,88.0,63x sherburne av,"630 Sherburne Ave, St Paul, MN 55104, USA",44.95643140000001,-93.1269428,True
74,88.0,63x thomas av,"630 Thomas Ave W, St Paul, MN 55104, USA",44.95914519999999,-93.126817,True
75,88.0,63x university av w,"630 University Ave W, St Paul, MN 55104, USA",44.95524289999999,-93.1271099,True
76,88.0,63x vanburen av,"630 Van Buren Ave, St Paul, MN 55104, USA",44.9618274,-93.1268561,True
77,88.0,63x victoria st n,"630 Victoria St N, St Paul, MN 55103, USA",44.9702096,-93.1364708,True
78,88.0,64x blair av,"640 Blair Ave, St Paul, MN 55104, USA",44.9608882,-93.1273028,True
79,88.0,64x charles av,"640 Charles Ave, St Paul, MN 55104, USA",44.9573601,-93.1273015,True
80,88.0,64x dale st n,"640 Dale St N, St Paul, MN 55103, USA",44.9605,-93.126031,True
81,88.0,64x edmund av,"640 Edmund Ave W, St Paul, MN 55104, USA",44.9582023,-93.1272793,True
82,88.0,64x grotto st n,"640 Grotto St N, St Paul, MN 55104, USA",44.9605288,-93.13116889999999,True
83,88.0,64x lafond av,"640 Lafond Ave, St Paul, MN 55104, USA",44.9600307,-93.1274229,True
84,88.0,64x minnehaha av w,"640 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627859,-93.1273835,True
85,88.0,64x sherburne av,"640 Sherburne Ave, St Paul, MN 55104, USA",44.9564307,-93.12728249999999,True
86,88.0,64x thomas av,"640 Thomas Ave W, St Paul, MN 55104, USA",44.9591465,-93.12728489999999,True
87,88.0,64x university av w,"640 University Ave W, St Paul, MN 55104, USA",44.95543379999999,-93.1274093,True
88,88.0,64x vanburen av,"640 Van Buren Ave, St Paul, MN 55104, USA",44.9618289,-93.1272912,True
89,88.0,64x victoria st n,"640 Victoria St N, St Paul, MN 55103, USA",44.9702096,-93.1364708,True
90,88.0,65x blair av,"650 Blair Ave, St Paul, MN 55104, USA",44.9609745,-93.1276769,True
91,88.0,65x charles av,"650 Charles Ave, St Paul, MN 55104, USA",44.9572778,-93.1276482,True
92,88.0,65x dale st n,"650 Dale St N, St Paul, MN 55103, USA",44.960849,-93.126029,True
93,88.0,65x edmund av,"650 Edmund Ave W, St Paul, MN 55104, USA",44.9582027,-93.1277274,True
94,88.0,65x fairview av n,"650 Fairview Ave N, St Paul, MN 55104, USA",44.96073,-93.1769075,False
95,88.0,65x grotto st n,"650 Grotto St N, St Paul, MN 55104, USA",44.9608343,-93.1311709,True
96,88.0,65x lafond av,"650 Lafond Ave, St Paul, MN 55104, USA",44.9600456,-93.1276736,True
97,88.0,65x sherburne av,"650 Sherburne Ave, St Paul, MN 55104, USA",44.956396,-93.127639,True
98,88.0,65x thomas av,"650 Thomas Ave W, St Paul, MN 55104, USA",44.9591476,-93.1277135,True
99,88.0,65x university av w,"650 University Ave W, St Paul, MN 55104, USA",44.95543319999999,-93.1277906,True
100,88.0,65x vanburen av,"650 Van Buren Ave, St Paul, MN 55104, USA",44.96184840000001,-93.12769379999999,True
101,88.0,65x victoria st n,"650 Victoria St N, St Paul, MN 55103, USA",44.9702096,-93.1364708,True
102,88.0,66x blair av,"660 Blair Ave, St Paul, MN 55104, USA",44.9608889,-93.1280601,True
103,88.0,66x charles av,"660 Charles Ave, St Paul, MN 55104, USA",44.9573376,-93.12812439999999,True
104,88.0,66x dale st n,"660 Dale St N, St Paul, MN 55103, USA",44.9611254,-93.1263395,True
