Grid,Address,Block,Block1,Coordinates,For_Address,Latitude,Longitude,Zip,Results,Fail
91.0,"0 acker st w, Saint Paul, MN, 55103",x acker st w,1,"{'formatted_address': 'W Acker St, St Paul, MN 55117, USA', 'latitude': 44.9640213, 'longitude': -93.10051589999999, 'zip': '55117', 'input_string': '0 acker st w, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","W Acker St, St Paul, MN 55117, USA",44.9640213,-93.10051589999999,55117,1,True
91.0,"0 empire dr, Saint Paul, MN, 55103",x empire dr,5,"{'formatted_address': 'Empire Dr, St Paul, MN 55103, USA', 'latitude': 44.9619589, 'longitude': -93.1002886, 'zip': '55103', 'input_string': '0 empire dr, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","Empire Dr, St Paul, MN 55103, USA",44.9619589,-93.1002886,55103,1,True
91.0,"0 winter st, Saint Paul, MN, 55103",x winter st,3,"{'formatted_address': 'Winter St, St Paul, MN 55103, USA', 'latitude': 44.9599655, 'longitude': -93.10219909999999, 'zip': '55103', 'input_string': '0 winter st, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","Winter St, St Paul, MN 55103, USA",44.9599655,-93.10219909999999,55103,1,True
91.0,"10 university av w, Saint Paul, MN, 55103",1x university av w,1,"{'formatted_address': 'University Ave W, St Paul, MN 55103, USA', 'latitude': 44.9556266, 'longitude': -93.12888590000001, 'zip': '55103', 'input_string': '10 university av w, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","University Ave W, St Paul, MN 55103, USA",44.9556266,-93.12888590000001,55103,1,True
91.0,"705 capitol ht, Saint Paul, MN, 55103",7xx capitol ht,1,"{'formatted_address': '375 Marion St, St Paul, MN 55103, USA', 'latitude': 44.952532, 'longitude': -93.11153999999999, 'zip': '55103', 'input_string': '705 capitol ht, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","375 Marion St, St Paul, MN 55103, USA",44.952532,-93.11153999999999,55103,1,True
91.0,"710 capitol ht, Saint Paul, MN, 55103",71x capitol ht,1,"{'formatted_address': '710 Smith Ave S, St Paul, MN 55107, USA', 'latitude': 44.9245054, 'longitude': -93.101597, 'zip': '55107', 'input_string': '710 capitol ht, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","710 Smith Ave S, St Paul, MN 55107, USA",44.9245054,-93.101597,55107,1,False
91.0,"730 capitol ht, Saint Paul, MN, 55103",73x capitol ht,1,"{'formatted_address': '560 Concordia Ave, St Paul, MN 55103, USA', 'latitude': 44.9504557, 'longitude': -93.12233359999999, 'zip': '55103', 'input_string': '730 capitol ht, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","560 Concordia Ave, St Paul, MN 55103, USA",44.9504557,-93.12233359999999,55103,1,True
91.0,"740 capitol bd, Saint Paul, MN, 55103",74x capitol bd,14,"{'formatted_address': '740 Capitol Heights, St Paul, MN 55103, USA', 'latitude': 44.9577661, 'longitude': -93.0989747, 'zip': '55103', 'input_string': '740 capitol bd, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","740 Capitol Heights, St Paul, MN 55103, USA",44.9577661,-93.0989747,55103,1,True
91.0,"760 capitol bd, Saint Paul, MN, 55103",76x capitol bd,4,"{'formatted_address': '760 Capitol Heights, St Paul, MN 55103, USA', 'latitude': 44.9581777, 'longitude': -93.0993931, 'zip': '55103', 'input_string': '760 capitol bd, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","760 Capitol Heights, St Paul, MN 55103, USA",44.9581777,-93.0993931,55103,1,True
91.0,"760 capitol ht, Saint Paul, MN, 55103",76x capitol ht,2,"{'formatted_address': '75 Rev Dr Martin Luther King Jr Boulevard., St Paul, MN 55155, USA', 'latitude': 44.95515, 'longitude': -93.102233, 'zip': '55155', 'input_string': '760 capitol ht, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","75 Rev Dr Martin Luther King Jr Boulevard., St Paul, MN 55155, USA",44.95515,-93.102233,55155,1,True
91.0,"770 capitol bd, Saint Paul, MN, 55103",77x capitol bd,3,"{'formatted_address': '770 Capitol Heights, St Paul, MN 55103, USA', 'latitude': 44.9584092, 'longitude': -93.09944279999999, 'zip': '55103', 'input_string': '770 capitol bd, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","770 Capitol Heights, St Paul, MN 55103, USA",44.9584092,-93.09944279999999,55103,1,True
