ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION,District Council - Map,Council Ward,:@computed_region_crxq_iug7,:@computed_region_5wjj_5at9
937 SHERBURNE AVE,04/30/2019 12:00:00 AM,Duplex,2,1,7,32500,"(44.9567603300828, -93.139762414751)",10,7,55,47
535 FOREST ST,04/26/2019 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.957410404869, -93.061161243197)",15,2,196,42
842 UNIVERSITY AVE W,04/24/2019 12:00:00 AM,Single Family Residential,2,1,8,33500,"(44.9554819820147, -93.13567740974)",9,7,66,40
996 MARION ST,04/24/2019 12:00:00 AM,Duplex,1,5,6,30800,"(44.97139072308, -93.109610419941)",3,3,157,69
652 HALL AVE,04/22/2019 12:00:00 AM,Duplex,3,2,3,37200,"(44.9263735950436, -93.086325394898)",7,5,78,9
792 DULUTH ST,04/22/2019 12:00:00 AM,Duplex,2,6,4,31701,"(44.965291417806, -93.050645621747)",15,1,128,58
1400 UNIVERSITY AVE W,04/16/2019 12:00:00 AM,Commercial,2,1,13,33400,"(44.9536084165855, -93.159152179633)",17,7,33,37
425 RICE ST,04/16/2019 12:00:00 AM,Commercial,2,1,17,33700,"(44.9536181436373, -93.107809606981)",12,7,97,39
1440 MARSHALL AVE,04/10/2019 12:00:00 AM,Commercial,2,1,13,33400,"(44.9482026685217, -93.161245284427)",17,7,32,37
218 PASCAL ST N,04/10/2019 12:00:00 AM,Commercial,2,1,13,33400,"(44.9478738971447, -93.161736132138)",17,7,32,37
1876 MECHANIC AVE,04/09/2019 12:00:00 AM,Single Family Residential,1,6,2,31801,"(44.9728379377429, -93.021254619066)",14,1,147,63
750 CHATSWORTH ST S,04/05/2019 12:00:00 AM,Duplex,2,2,9,36700,"(44.9189407406274, -93.14108689167)",11,5,60,6
610 LARPENTEUR AVE E,04/03/2019 12:00:00 AM,Duplex,2,6,5,30602,"(44.9917519986127, -93.074885221847)",13,1,191,81
25 JESSAMINE AVE E,04/03/2019 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.9748357438782, -93.100165355378)",3,3,162,75
1739 CARROLL AVE,04/03/2019 12:00:00 AM,Single Family Residential,2,4,13,33400,"(44.9505108931445, -93.173914030032)",17,4,19,37
1271 MARION ST,04/01/2019 12:00:00 AM,Single Family Residential,1,5,6,30800,"(44.9795463927248, -93.10991169607)",3,3,158,69
240 COTTAGE AVE W,03/25/2019 12:00:00 AM,Single Family Residential,2,5,6,30400,"(44.9826352633946, -93.110223267811)",3,3,158,79
