Address,FullName,Count
"1001 BURGESS ST, ST PAUL, MN, 55103",1,800.0
"1004 CHARLES AVE, ST PAUL, MN, 55104",1,800.0
"1005 DAYTON AVE, ST PAUL, MN, 55104",3,800.0
"1005 HUBBARD AVE, ST PAUL, MN, 55104",1,800.0
"1005 LAFOND AVE, ST PAUL, MN, 55104",5,800.0
"1005 MINNEHAHA AVE W, ST PAUL, MN, 55104",2,800.0
"1005 PORTLAND AVE, ST PAUL, MN, 55104",2,800.0
"1005 SEMINARY AVE, ST PAUL, MN, 55104",2,800.0
"1005 ST ANTHONY AVE, ST PAUL, MN, 55104",1,800.0
"1005 STINSON ST, ST PAUL, MN, 55103",2,800.0
"1005 SUMMIT AVE, ST PAUL, MN, 55105",1,800.0
"1005 THOMAS AVE, ST PAUL, MN, 55104",1,800.0
"1006 BURGESS ST, ST PAUL, MN, 55103",1,800.0
"1006 CARROLL AVE, ST PAUL, MN, 55104",1,800.0
"1006 IGLEHART AVE, ST PAUL, MN, 55104",5,800.0
"1006 LAUREL AVE, ST PAUL, MN, 55104",2,800.0
"1006 SEMINARY AVE, ST PAUL, MN, 55104",1,800.0
"1006 VANBUREN AVE, ST PAUL, MN, 55104",2,800.0
"1007 BURGESS ST, ST PAUL, MN, 55103",3,800.0
"1007 CENTRAL AVE W, ST PAUL, MN, 55104",3,800.0
"1007 CHARLES AVE, ST PAUL, MN, 55104",1,800.0
"1007 ENGLEWOOD AVE, ST PAUL, MN, 55104",2,800.0
"1007 MARSHALL AVE, ST PAUL, MN, 55104",4,800.0
"1007 TOPPING ST, ST PAUL, MN, 55103",2,800.0
"1007 VANBUREN AVE, ST PAUL, MN, 55104",1,800.0
"1008 ASHLAND AVE, ST PAUL, MN, 55104",4,800.0
"1008 AURORA AVE, ST PAUL, MN, 55104",1,800.0
"1008 BLAIR AVE, ST PAUL, MN, 55104",3,800.0
"1008 CARROLL AVE, ST PAUL, MN, 55104",1,800.0
"1008 CHARLES AVE, ST PAUL, MN, 55104",2,800.0
"1008 CONCORDIA AVE, ST PAUL, MN, 55104",1,800.0
"1008 DAYTON AVE, ST PAUL, MN, 55104",2,800.0
"1008 ENGLEWOOD AVE, ST PAUL, MN, 55104",3,800.0
"1008 FULLER AVE, ST PAUL, MN, 55104",1,800.0
"1008 MARSHALL AVE, ST PAUL, MN, 55104",2,800.0
"1008 THOMAS AVE, ST PAUL, MN, 55104",1,800.0
"1008 TOPPING ST, ST PAUL, MN, 55103",5,800.0
"1009 ASHLAND AVE, ST PAUL, MN, 55104",2,800.0
"1009 BLAIR AVE, ST PAUL, MN, 55104",2,800.0
"1009 CARROLL AVE, ST PAUL, MN, 55104",1,800.0
"1009 EDMUND AVE, ST PAUL, MN, 55104",1,800.0
"1009 FULLER AVE, ST PAUL, MN, 55104",2,800.0
"1009 LAFOND AVE, ST PAUL, MN, 55104",4,800.0
"1009 MARSHALL AVE, ST PAUL, MN, 55104",2,800.0
"1009 PORTLAND AVE, ST PAUL, MN, 55104",2,800.0
"1009 SEMINARY AVE, ST PAUL, MN, 55104",1,800.0
"1009 SUMMIT AVE, ST PAUL, MN, 55105",2,800.0
"1009 THOMAS AVE, ST PAUL, MN, 55104",2,800.0
"101 COMO AVE, ST PAUL, MN, 55103",1,800.0
"101 MANITOBA AVE, ST PAUL, MN, 55117",2,800.0
"101 WINNIPEG AVE, ST PAUL, MN, 55117",5,800.0
"1010 BURGESS ST, ST PAUL, MN, 55103",3,800.0
"1010 CENTRAL AVE W, ST PAUL, MN, 55104",1,800.0
"1010 EDMUND AVE, ST PAUL, MN, 55104",2,800.0
"1010 LAFOND AVE, ST PAUL, MN, 55104",14,800.0
"1010 VANBUREN AVE, ST PAUL, MN, 55104",1,800.0
"1011 ASHLAND AVE, ST PAUL, MN, 55104",2,800.0
"1011 BURGESS ST, ST PAUL, MN, 55103",2,800.0
"1011 CARROLL AVE, ST PAUL, MN, 55104",2,800.0
"1011 CHARLES AVE, ST PAUL, MN, 55104",1,800.0
"1011 DAYTON AVE, ST PAUL, MN, 55104",1,800.0
"1011 HUBBARD AVE, ST PAUL, MN, 55104",1,800.0
"1011 MINNEHAHA AVE W, ST PAUL, MN, 55104",1,800.0
"1011 PORTLAND AVE, ST PAUL, MN, 55104",2,800.0
"1011 SHERBURNE AVE, ST PAUL, MN, 55104",2,800.0
"1011 ST ANTHONY AVE, ST PAUL, MN, 55104",2,800.0
"1011 STINSON ST, ST PAUL, MN, 55103",2,800.0
"1011 TOPPING ST, ST PAUL, MN, 55103",1,800.0
"1011 VANBUREN AVE, ST PAUL, MN, 55104",1,800.0
"1012 ASHLAND AVE, ST PAUL, MN, 55104",3,800.0
"1012 AURORA AVE, ST PAUL, MN, 55104",3,800.0
"1012 BURGESS ST, ST PAUL, MN, 55103",4,800.0
"1012 CARROLL AVE, ST PAUL, MN, 55104",3,800.0
"1012 CONCORDIA AVE, ST PAUL, MN, 55104",3,800.0
"1012 DAYTON AVE, ST PAUL, MN, 55104",1,800.0
"1012 ENGLEWOOD AVE, ST PAUL, MN, 55104",1,800.0
"1012 FRONT AVE, ST PAUL, MN, 55103",1,800.0
"1012 FULLER AVE, ST PAUL, MN, 55104",1,800.0
"1012 HUBBARD AVE, ST PAUL, MN, 55104",1,800.0
"1012 IGLEHART AVE, ST PAUL, MN, 55104",1,800.0
"1012 LAUREL AVE, ST PAUL, MN, 55104",2,800.0
"1012 MARSHALL AVE, ST PAUL, MN, 55104",2,800.0
"1012 MINNEHAHA AVE W, ST PAUL, MN, 55104",1,800.0
"1012 PORTLAND AVE, ST PAUL, MN, 55104",3,800.0
"1012 SEMINARY AVE, ST PAUL, MN, 55104",3,800.0
"1012 THOMAS AVE, ST PAUL, MN, 55104",1,800.0
"1012 TOPPING ST, ST PAUL, MN, 55103",3,800.0
"1013 CENTRAL AVE W, ST PAUL, MN, 55104",1,800.0
"1013 DAYTON AVE, ST PAUL, MN, 55104",1,800.0
"1013 EDMUND AVE, ST PAUL, MN, 55104",2,800.0
"1013 ENGLEWOOD AVE, ST PAUL, MN, 55104",2,800.0
"1013 IGLEHART AVE, ST PAUL, MN, 55104",2,800.0
"1013 SEMINARY AVE, ST PAUL, MN, 55104",2,800.0
"1014 BLAIR AVE, ST PAUL, MN, 55104",2,800.0
"1014 BURGESS ST, ST PAUL, MN, 55103",3,800.0
"1014 CARROLL AVE, ST PAUL, MN, 55104",3,800.0
"1014 FRONT AVE, ST PAUL, MN, 55103",2,800.0
"1014 FULLER AVE, ST PAUL, MN, 55104",2,800.0
"1015 BLAIR AVE, ST PAUL, MN, 55104",3,800.0
"1015 CARROLL AVE, ST PAUL, MN, 55104",1,800.0
"1015 EDMUND AVE, ST PAUL, MN, 55104",2,800.0
"1015 LAFOND AVE, ST PAUL, MN, 55104",2,800.0
"1015 MARSHALL AVE, ST PAUL, MN, 55104",1,800.0
"1015 SHERBURNE AVE, ST PAUL, MN, 55104",2,800.0
"1015 ST ANTHONY AVE, ST PAUL, MN, 55104",1,800.0
"1015 TOPPING ST, ST PAUL, MN, 55103",1,800.0
"1015 VANBUREN AVE, ST PAUL, MN, 55104",1,800.0
"1016 ASHLAND AVE, ST PAUL, MN, 55104",1,800.0
"1016 AURORA AVE, ST PAUL, MN, 55104",1,800.0
"1016 CENTRAL AVE W, ST PAUL, MN, 55104",5,800.0
"1016 CHARLES AVE, ST PAUL, MN, 55104",2,800.0
"1016 CONCORDIA AVE, ST PAUL, MN, 55104",2,800.0
"1016 DAYTON AVE, ST PAUL, MN, 55104",3,800.0
"1016 EDMUND AVE, ST PAUL, MN, 55104",3,800.0
"1016 HUBBARD AVE, ST PAUL, MN, 55104",1,800.0
"1016 IGLEHART AVE, ST PAUL, MN, 55104",3,800.0
"1016 LAUREL AVE, ST PAUL, MN, 55104",3,800.0
"1016 MARSHALL AVE, ST PAUL, MN, 55104",2,800.0
"1016 STINSON ST, ST PAUL, MN, 55103",2,800.0
"1016 THOMAS AVE, ST PAUL, MN, 55104",1,800.0
"1016 TOPPING ST, ST PAUL, MN, 55103",2,800.0
"1017 ASHLAND AVE, ST PAUL, MN, 55104",3,800.0
"1017 BURGESS ST, ST PAUL, MN, 55103",1,800.0
"1017 CARROLL AVE, ST PAUL, MN, 55104",4,800.0
"1017 CENTRAL AVE W, ST PAUL, MN, 55104",2,800.0
"1017 CHARLES AVE, ST PAUL, MN, 55104",1,800.0
"1017 DAYTON AVE, ST PAUL, MN, 55104",4,800.0
"1017 ENGLEWOOD AVE, ST PAUL, MN, 55104",1,800.0
"1017 FULLER AVE, ST PAUL, MN, 55104",2,800.0
"1017 MARSHALL AVE, ST PAUL, MN, 55104",2,800.0
"1017 MINNEHAHA AVE W, ST PAUL, MN, 55104",2,800.0
"1017 PORTLAND AVE, ST PAUL, MN, 55104",2,800.0
"1017 STINSON ST, ST PAUL, MN, 55103",2,800.0
"1017 SUMMIT AVE, ST PAUL, MN, 55105",1,800.0
"1018 CARROLL AVE, ST PAUL, MN, 55104",1,800.0
"1018 IGLEHART AVE, ST PAUL, MN, 55104",1,800.0
"1018 MINNEHAHA AVE W, ST PAUL, MN, 55104",1,800.0
"1018 PORTLAND AVE, ST PAUL, MN, 55104",2,800.0
"1018 SEMINARY AVE, ST PAUL, MN, 55104",3,800.0
"1018 STINSON ST, ST PAUL, MN, 55103",3,800.0
"1018 VANBUREN AVE, ST PAUL, MN, 55104",1,800.0
"1019 CARROLL AVE, ST PAUL, MN, 55104",2,800.0
"1019 EDMUND AVE, ST PAUL, MN, 55104",1,800.0
"1019 IGLEHART AVE, ST PAUL, MN, 55104",4,800.0
"1019 MARSHALL AVE, ST PAUL, MN, 55104",3,800.0
"1019 SEMINARY AVE, ST PAUL, MN, 55104",1,800.0
"1019 SHERBURNE AVE, ST PAUL, MN, 55104",1,800.0
"1019 TOPPING ST, ST PAUL, MN, 55103",2,800.0
"1019 VANBUREN AVE, ST PAUL, MN, 55104",1,800.0
"102 FRONT AVE, ST PAUL, MN, 55117",1,800.0
"102 WESTERN AVE N, ST PAUL, MN, 55102",4,800.0
"1020 ASHLAND AVE, ST PAUL, MN, 55104",5,800.0
"1020 AURORA AVE, ST PAUL, MN, 55104",2,800.0
"1020 CHARLES AVE, ST PAUL, MN, 55104",3,800.0
"1020 CONCORDIA AVE, ST PAUL, MN, 55104",2,800.0
"1020 ENGLEWOOD AVE, ST PAUL, MN, 55104",1,800.0
"1020 HUBBARD AVE, ST PAUL, MN, 55104",2,800.0
"1020 IGLEHART AVE, ST PAUL, MN, 55104",1,800.0
"1020 LAUREL AVE, ST PAUL, MN, 55104",3,800.0
"1020 MARSHALL AVE, ST PAUL, MN, 55104",2,800.0
"1020 STINSON ST, ST PAUL, MN, 55103",1,800.0
"1020 THOMAS AVE, ST PAUL, MN, 55104",2,800.0
"1020 TOPPING ST, ST PAUL, MN, 55103",1,800.0
"1021 ASHLAND AVE, ST PAUL, MN, 55104",3,800.0
"1021 BLAIR AVE, ST PAUL, MN, 55104",3,800.0
"1021 CARROLL AVE, ST PAUL, MN, 55104",1,800.0
"1021 ENGLEWOOD AVE, ST PAUL, MN, 55104",1,800.0
"1021 HUBBARD AVE, ST PAUL, MN, 55104",2,800.0
"1021 LAFOND AVE, ST PAUL, MN, 55104",6,800.0
"1021 PORTLAND AVE, ST PAUL, MN, 55104",2,800.0
"1022 AURORA AVE, ST PAUL, MN, 55104",1,800.0
"1022 BLAIR AVE, ST PAUL, MN, 55104",1,800.0
"1022 CONCORDIA AVE, ST PAUL, MN, 55104",1,800.0
"1022 EDMUND AVE, ST PAUL, MN, 55104",2,800.0
"1022 IGLEHART AVE, ST PAUL, MN, 55104",1,800.0
"1022 MINNEHAHA AVE W, ST PAUL, MN, 55104",2,800.0
"1022 PORTLAND AVE, ST PAUL, MN, 55104",4,800.0
"1022 VANBUREN AVE, ST PAUL, MN, 55104",1,800.0
"1023 BURGESS ST, ST PAUL, MN, 55103",2,800.0
"1023 CARROLL AVE, ST PAUL, MN, 55104",1,800.0
"1023 CENTRAL AVE W, ST PAUL, MN, 55104",1,800.0
"1023 DAYTON AVE, ST PAUL, MN, 55104",1,800.0
"1023 FULLER AVE, ST PAUL, MN, 55104",1,800.0
"1023 MARSHALL AVE, ST PAUL, MN, 55104",1,800.0
"1023 MINNEHAHA AVE W, ST PAUL, MN, 55104",1,800.0
