Precinct,Ward,Precinct1,Reg_Vote_11/7/19,Total_Vote,Early/Abs_Vote%,LastCouncil_Vote%,Tot_Vote%,1st_Undervote%,Representation,WardCode,SP_Vote19,Vote_Mayor,Vote_City,Vote_Senate,Counting,H_Registered,H_Vote19,H_Density_Vote%,L_Registered,L_Vote19,L_Density_Vote%,H_Density%,Vote_Mayor%,Vote_LastCity%,Vote_Senate%,Density_VoteDiff%
Saint Paul W-1 P-1,1,W-1 P-1,1193,569,6.85,24.78,47.69,3.72,3.1899999999999995,1.0,583.0,457.0,242.0,560.0,1189,0.0,0.0,0.0,1189,583.0,49.03,0.0,78.39,41.510000000000005,96.05,49.03
Saint Paul W-1 P-2,1,W-1 P-2,2201,778,16.2,13.1,35.35,2.99,1.7799999999999994,1.0,800.0,532.0,219.0,752.0,2220,693.0,189.0,27.27,1527,611.0,40.01,31.22,66.5,27.38,94.0,12.739999999999998
Saint Paul W-1 P-3,1,W-1 P-3,1929,491,7.54,9.71,25.45,3.35,-1.33,1.0,477.0,340.0,125.0,447.0,1927,84.0,5.0,5.949999999999999,1843,472.0,25.61,4.36,71.28,26.21,93.71000000000001,19.66
Saint Paul W-1 P-4,1,W-1 P-4,1396,359,10.86,10.57,25.72,1.64,-0.8999999999999995,1.0,348.0,248.0,109.0,316.0,1396,0.0,0.0,0.0,1396,348.0,24.93,0.0,71.26,31.319999999999997,90.8,24.93
Saint Paul W-1 P-5,1,W-1 P-5,1385,357,9.52,11.29,25.78,1.11,-0.879999999999999,1.0,359.0,245.0,111.0,340.0,1397,86.0,6.0,6.98,1311,353.0,26.93,6.16,68.25,30.919999999999998,94.71000000000001,19.95
Saint Paul W-1 P-6,1,W-1 P-6,2825,924,8.44,12.51,32.71,2.12,1.16,1.0,891.0,647.0,253.0,852.0,2821,65.0,7.0,10.77,2756,884.0,32.08,2.3,72.61999999999999,28.4,95.62,21.31
Saint Paul W-1 P-7,1,W-1 P-7,1502,665,9.17,18.28,44.27,3.06,3.240000000000001,1.0,661.0,472.0,243.0,645.0,1501,0.0,0.0,0.0,1501,661.0,44.04,0.0,71.41,36.76,97.58,44.04
Saint Paul W-1 P-8,1,W-1 P-8,2138,636,12.11,12.79,29.75,3.34,-0.07000000000000027,1.0,615.0,436.0,166.0,595.0,2134,353.0,74.0,20.96,1781,541.0,30.380000000000003,16.54,70.89,26.99,96.75,9.420000000000002
Saint Paul W-1 P-9,1,W-1 P-9,2383,460,11.52,8.18,19.3,2.13,-3.85,1.0,453.0,263.0,119.0,382.0,2397,270.0,47.0,17.41,2127,406.0,19.09,11.26,58.06,26.27,84.33,1.6799999999999997
Saint Paul W-1 P-10,1,W-1 P-10,470,98,7.14,7.92,20.85,3.92,-0.6499999999999999,1.0,89.0,50.0,29.0,76.0,470,0.0,0.0,0.0,470,89.0,18.94,0.0,56.18,32.58,85.39,18.94
Saint Paul W-1 P-11,1,W-1 P-11,1155,218,20.18,11.53,18.87,6.03,-1.94,1.0,208.0,139.0,77.0,185.0,1152,327.0,82.0,25.080000000000002,825,126.0,15.27,28.389999999999997,66.83,37.019999999999996,88.94,-9.810000000000002
Saint Paul W-1 P-12,1,W-1 P-12,337,149,16.78,20.12,44.21,6.29,0.72,1.0,153.0,123.0,65.0,150.0,335,49.0,30.0,61.22,286,123.0,43.01,14.63,80.39,42.480000000000004,98.04,-18.21
Saint Paul W-1 P-13,1,W-1 P-13,1170,433,15.94,15.42,37.01,3.78,1.2500000000000009,1.0,432.0,324.0,149.0,425.0,1169,100.0,34.0,34.0,1069,398.0,37.230000000000004,8.55,75.0,34.489999999999995,98.38,3.230000000000004
Saint Paul W-1 P-14,1,W-1 P-14,982,251,21.91,13.62,25.56,3.83,-0.6599999999999997,1.0,234.0,128.0,65.0,198.0,981,260.0,101.0,38.85,721,133.0,18.45,26.5,54.7,27.779999999999998,84.61999999999999,-20.400000000000002
Saint Paul W-1 P-15,1,W-1 P-15,745,155,17.42,5.29,20.81,8.28,-1.04,1.0,164.0,81.0,27.0,145.0,753,86.0,16.0,18.6,667,148.0,22.189999999999998,11.42,49.39,16.46,88.41,3.5899999999999963
Saint Paul W-1 P-16,1,W-1 P-16,244,71,22.54,13.19,29.1,2.74,-0.040000000000000265,1.0,70.0,54.0,30.0,68.0,244,0.0,0.0,0.0,244,70.0,28.689999999999998,0.0,77.14,42.86,97.14,28.689999999999998
Saint Paul W-2 P-1,2,W-2 P-1,1606,703,9.25,27.63,43.77,4.61,2.7100000000000013,2.0,703.0,552.0,361.0,690.0,1606,0.0,0.0,0.0,1606,703.0,43.769999999999996,0.0,78.52,51.349999999999994,98.15,43.769999999999996
Saint Paul W-2 P-2,2,W-2 P-2,1707,748,7.62,27.22,43.82,5.67,2.890000000000001,2.0,754.0,579.0,364.0,728.0,1706,0.0,0.0,0.0,1706,754.0,44.2,0.0,76.79,48.28,96.55,44.2
Saint Paul W-2 P-3,2,W-2 P-3,2718,836,12.56,17.35,30.76,8.53,0.22000000000000064,2.0,908.0,573.0,334.0,866.0,2741,438.0,57.0,13.01,2303,851.0,36.95,15.98,63.11,36.78,95.37,23.940000000000005
Saint Paul W-2 P-4,2,W-2 P-4,1553,503,10.54,19.62,32.39,5.09,0.4399999999999995,2.0,507.0,392.0,226.0,493.0,1550,0.0,0.0,0.0,1550,507.0,32.71,0.0,77.32,44.58,97.24000000000001,32.71
Saint Paul W-2 P-5,2,W-2 P-5,2416,823,8.14,22.56,34.06,6.69,1.1800000000000015,2.0,879.0,603.0,391.0,845.0,2433,373.0,75.0,20.11,2060,804.0,39.03,15.329999999999998,68.60000000000001,44.48,96.13000000000001,18.92
