Address,Latitude,Longitude,TotalMemberHH
"900 LAFOND AVE, ST PAUL, MN, 55104",44.96010379999999,-93.138195,1.0
"900 LAUREL AVE, ST PAUL, MN, 55104",44.9447324,-93.1380917,3.0
"900 SHERBURNE AVE, ST PAUL, MN, 55104",44.9564439,-93.1381505,1.0
"900 THOMAS AVE, ST PAUL, MN, 55104",44.9591418,-93.1380699,2.0
"901 CARROLL AVE, ST PAUL, MN, 55104",44.9505722,-93.13838559999999,2.0
"901 DAYTON AVE, ST PAUL, MN, 55104",44.9477014,-93.1381113,1.0
"901 EDMUND AVE, ST PAUL, MN, 55104",44.958628,-93.1382101,2.0
"901 FULLER AVE, ST PAUL, MN, 55104",44.9541468,-93.1382288,1.0
"901 HAGUE AVE, ST PAUL, MN, 55104",44.9459879,-93.1381505,4.0
"901 MARION ST, ST PAUL, MN, 55117",44.96843300000001,-93.110117,3.0
"901 SELBY AVE, ST PAUL, MN, 55104",44.94682589999999,-93.1381505,4.0
"901 SHERBURNE AVE, ST PAUL, MN, 55104",44.9568259,-93.13817009999998,2.0
"901 ST ANTHONY AVE, ST PAUL, MN, 55104",44.95238360000001,-93.1380917,2.0
"901 THOMAS AVE, ST PAUL, MN, 55104",44.9595755,-93.1381961,2.0
"902 ASHLAND AVE, ST PAUL, MN, 55104",44.9436302,-93.1382035,3.0
"902 AURORA AVE, ST PAUL, MN, 55104",44.9546867,-93.1382469,1.0
"902 EDMUND AVE, ST PAUL, MN, 55104",44.9582637,-93.1382095,2.0
"902 IGLEHART AVE, ST PAUL, MN, 55104",44.9491899,-93.1383072,1.0
"902 SELBY AVE, ST PAUL, MN, 55104",44.94638870000001,-93.1381505,2.0
"903 ASHLAND AVE, ST PAUL, MN, 55104",44.944127400000006,-93.1382288,2.0
"903 CENTRAL AVE W, ST PAUL, MN, 55104",44.9532537,-93.1382484,6.0
"903 CHARLES AVE, ST PAUL, MN, 55104",44.9577542,-93.1381929,2.0
"903 DALE ST N, ST PAUL, MN, 55103",44.9685089,-93.1266133,5.0
"903 MARION ST, ST PAUL, MN, 55117",44.968493,-93.110118,1.0
"903 MARSHALL AVE, ST PAUL, MN, 55104",44.948829,-93.138234,3.0
"903 MINNEHAHA AVE W, ST PAUL, MN, 55104",44.9633494,-93.13799399999999,8.0
"903 PARK ST, ST PAUL, MN, 55117",44.96859370000001,-93.1040822,1.0
"904 ASHLAND AVE, ST PAUL, MN, 55104",44.9437079,-93.1382484,2.0
"904 AURORA AVE, ST PAUL, MN, 55104",44.95465249999999,-93.13838559999999,1.0
"904 CARROLL AVE, ST PAUL, MN, 55104",44.950137100000006,-93.1383072,2.0
"904 DAYTON AVE, ST PAUL, MN, 55104",44.9472224,-93.1383072,2.0
"904 HAGUE AVE, ST PAUL, MN, 55104",44.94562029999999,-93.13826800000001,1.0
"904 LAFOND AVE, ST PAUL, MN, 55104",44.9600819,-93.1383302,2.0
"904 LAUREL AVE, ST PAUL, MN, 55104",44.94478220000001,-93.13826800000001,2.0
"904 MARSHALL AVE, ST PAUL, MN, 55104",44.948279,-93.1383072,3.0
"904 RICE ST, ST PAUL, MN, 55117",44.9686765,-93.105846,19.0
"904 SHERBURNE AVE, ST PAUL, MN, 55104",44.9564386,-93.1383464,8.0
