Ward,PrecinctNum,Precinct,Bernie Vote,VoteTotal,Sanders%,Warren%,Biden%,Winner,Pro_Diff
1,7,Bloomington W-1 P-7,126,394,0.32,0.08,0.44,Biden,0.24
1,8,Bloomington W-1 P-8,117,446,0.26,0.15,0.40,Biden,0.11
1,9,Bloomington W-1 P-9,121,346,0.35,0.12,0.43,Biden,0.23
1,10,Bloomington W-1 P-10,231,595,0.39,0.12,0.34,Sanders,0.27
1,12,Bloomington W-1 P-12,202,669,0.30,0.13,0.45,Biden,0.17
1,14,Bloomington W-1 P-14,153,473,0.32,0.13,0.39,Biden,0.19
1,15,Bloomington W-1 P-15,85,345,0.25,0.14,0.44,Biden,0.11
1,30,Bloomington W-1 P-30,153,568,0.27,0.14,0.39,Biden,0.13
2,13,Bloomington W-2 P-13,141,537,0.26,0.16,0.43,Biden,0.10
2,16,Bloomington W-2 P-16,204,890,0.23,0.15,0.45,Biden,0.08
2,21,Bloomington W-2 P-21,83,437,0.19,0.11,0.48,Biden,0.08
2,23,Bloomington W-2 P-23,174,508,0.34,0.14,0.38,Biden,0.20
2,24,Bloomington W-2 P-24,123,502,0.25,0.12,0.46,Biden,0.12
2,25,Bloomington W-2 P-25,73,390,0.19,0.11,0.49,Biden,0.07
2,26,Bloomington W-2 P-26,119,530,0.22,0.14,0.44,Biden,0.08
2,27,Bloomington W-2 P-27,73,370,0.20,0.14,0.50,Biden,0.06
3,5,Bloomington W-3 P-5,184,697,0.26,0.17,0.42,Biden,0.09
3,11,Bloomington W-3 P-11,113,413,0.27,0.15,0.42,Biden,0.13
3,17,Bloomington W-3 P-17,75,431,0.17,0.14,0.39,Biden,0.03
3,18,Bloomington W-3 P-18,94,472,0.20,0.17,0.47,Biden,0.03
3,19,Bloomington W-3 P-19,209,680,0.31,0.15,0.39,Biden,0.15
3,20,Bloomington W-3 P-20,159,566,0.28,0.16,0.40,Biden,0.13
3,22,Bloomington W-3 P-22,122,530,0.23,0.17,0.46,Biden,0.06
3,28,Bloomington W-3 P-28,80,527,0.15,0.13,0.50,Biden,0.02
3,29,Bloomington W-3 P-29,130,379,0.34,0.14,0.35,Biden,0.20
4,1,Bloomington W-4 P-1,175,470,0.37,0.13,0.37,Sanders,0.24
4,2,Bloomington W-4 P-2,193,439,0.44,0.10,0.35,Sanders,0.34
4,3,Bloomington W-4 P-3,172,461,0.37,0.11,0.40,Biden,0.26
4,4,Bloomington W-4 P-4,170,456,0.37,0.14,0.37,Sanders,0.23
4,6,Bloomington W-4 P-6,154,490,0.31,0.14,0.41,Biden,0.17
4,31,Bloomington W-4 P-31,59,190,0.31,0.15,0.35,Biden,0.16
4,32,Bloomington W-4 P-32,161,379,0.42,0.12,0.32,Sanders,0.31
