Ward,PrecinctNum,Precinct,Bernie Vote,VoteTotal,Sanders%,Warren%,Biden%,Winner,Pro_Diff
0,1,Duluth P-1,166,592,0.28,0.20,0.40,Biden,0.08
0,2,Duluth P-2,150,583,0.26,0.18,0.44,Biden,0.08
0,3,Duluth P-3,186,678,0.27,0.16,0.42,Biden,0.11
0,4,Duluth P-4,131,560,0.23,0.15,0.46,Biden,0.08
0,5,Duluth P-5,173,589,0.29,0.18,0.40,Biden,0.11
0,6,Duluth P-6,232,862,0.27,0.17,0.42,Biden,0.10
0,7,Duluth P-7,178,643,0.28,0.17,0.40,Biden,0.11
0,8,Duluth P-8,147,707,0.21,0.21,0.42,Biden,-0.01
0,9,Duluth P-9,178,489,0.36,0.20,0.34,Bernie,0.17
0,10,Duluth P-10,536,791,0.68,0.10,0.16,Bernie,0.58
0,11,Duluth P-11,326,993,0.33,0.13,0.40,Biden,0.20
0,12,Duluth P-12,333,697,0.48,0.20,0.25,Bernie,0.28
0,13,Duluth P-13,329,657,0.50,0.13,0.27,Bernie,0.37
0,14,Duluth P-14,432,677,0.64,0.14,0.15,Bernie,0.50
0,15,Duluth P-15,415,807,0.51,0.19,0.23,Bernie,0.33
0,16,Duluth P-16,325,742,0.44,0.15,0.31,Bernie,0.29
0,17,Duluth P-17,247,469,0.53,0.12,0.22,Bernie,0.40
0,18,Duluth P-18,95,409,0.23,0.16,0.40,Bernie,0.08
0,19,Duluth P-19,132,258,0.51,0.13,0.21,Bernie,0.38
0,20,Duluth P-20,137,306,0.45,0.18,0.27,Bernie,0.27
0,21,Duluth P-21,215,375,0.57,0.10,0.21,Bernie,0.47
0,22,Duluth P-22,118,444,0.27,0.10,0.46,Biden,0.17
0,23,Duluth P-23,87,485,0.18,0.09,0.55,Biden,0.09
0,24,Duluth P-24,127,506,0.25,0.10,0.47,Biden,0.15
0,25,Duluth P-25,116,471,0.25,0.10,0.48,Biden,0.14
0,26,Duluth P-26,208,433,0.48,0.10,0.31,Bernie,0.38
0,27,Duluth P-27,182,359,0.51,0.11,0.28,Bernie,0.40
0,28,Duluth P-28,86,218,0.39,0.12,0.35,Bernie,0.27
0,29,Duluth P-29,183,574,0.32,0.13,0.40,Biden,0.19
0,30,Duluth P-30,152,412,0.37,0.11,0.40,Biden,0.25
0,31,Duluth P-31,62,252,0.25,0.08,0.50,Biden,0.17
0,32,Duluth P-32,204,601,0.34,0.07,0.42,Biden,0.27
0,33,Duluth P-33,88,253,0.35,0.12,0.33,Bernie,0.23
0,34,Duluth P-34,139,439,0.32,0.05,0.48,Biden,0.27
0,35,Duluth P-35,129,469,0.28,0.17,0.45,Biden,0.10
