Ward,PrecinctNum,Precinct,Bernie Vote,VoteTotal,Sanders%,Warren%,Biden%,Winner,Pro_Diff
1,1,Minneapolis W-1 P-1,202,407,0.50,0.21,0.19,Sanders,0.29
1,2,Minneapolis W-1 P-2,612,1426,0.43,0.28,0.22,Sanders,0.15
1,3,Minneapolis W-1 P-3,494,1356,0.36,0.33,0.23,Sanders,0.04
1,4,Minneapolis W-1 P-4,545,1252,0.44,0.31,0.19,Sanders,0.13
1,5,Minneapolis W-1 P-5,398,1005,0.40,0.27,0.24,Sanders,0.13
1,6,Minneapolis W-1 P-6,631,1231,0.51,0.27,0.15,Sanders,0.25
1,7,Minneapolis W-1 P-7,725,1059,0.68,0.17,0.11,Sanders,0.52
1,8,Minneapolis W-1 P-8,404,790,0.51,0.24,0.18,Sanders,0.27
1,9,Minneapolis W-1 P-9,748,1271,0.59,0.24,0.13,Sanders,0.35
1,10,Minneapolis W-1 P-10,226,468,0.48,0.24,0.22,Sanders,0.24
2,1,Minneapolis W-2 P-1,362,772,0.47,0.31,0.14,Sanders,0.16
2,2,Minneapolis W-2 P-2,426,935,0.46,0.29,0.19,Sanders,0.16
2,3,Minneapolis W-2 P-3,765,1098,0.70,0.15,0.10,Sanders,0.55
2,4,Minneapolis W-2 P-4,521,771,0.68,0.11,0.16,Sanders,0.57
2,5,Minneapolis W-2 P-5,786,1408,0.56,0.22,0.16,Sanders,0.34
2,6,Minneapolis W-2 P-6,347,779,0.45,0.25,0.21,Sanders,0.19
2,7,Minneapolis W-2 P-7,324,480,0.68,0.14,0.14,Sanders,0.54
2,8,Minneapolis W-2 P-8,518,1688,0.31,0.37,0.25,Warren,-0.06
2,9,Minneapolis W-2 P-9,307,583,0.53,0.23,0.17,Sanders,0.30
2,10,Minneapolis W-2 P-10,835,1325,0.63,0.14,0.17,Sanders,0.49
2,11,Minneapolis W-2 P-11,320,853,0.38,0.34,0.21,Sanders,0.03
3,1,Minneapolis W-3 P-1,616,1015,0.61,0.13,0.20,Sanders,0.48
3,2,Minneapolis W-3 P-2,834,1511,0.55,0.22,0.17,Sanders,0.33
3,3,Minneapolis W-3 P-3,691,1847,0.37,0.23,0.26,Sanders,0.15
3,4,Minneapolis W-3 P-4,276,604,0.46,0.22,0.22,Sanders,0.24
3,5,Minneapolis W-3 P-5,446,963,0.46,0.26,0.19,Sanders,0.21
3,6,Minneapolis W-3 P-6,888,1599,0.56,0.24,0.16,Sanders,0.31
3,7,Minneapolis W-3 P-7,290,1139,0.25,0.25,0.36,Biden,0.00
3,8,Minneapolis W-3 P-8,199,831,0.24,0.25,0.35,Biden,-0.01
3,9,Minneapolis W-3 P-9,312,1475,0.21,0.21,0.40,Biden,0.00
3,10,Minneapolis W-3 P-10,322,548,0.59,0.22,0.14,Sanders,0.37
3,11,Minneapolis W-3 P-11,180,718,0.25,0.26,0.37,Biden,-0.01
3,12,Minneapolis W-3 P-12,152,468,0.32,0.19,0.29,Sanders,0.14
4,1,Minneapolis W-4 P-1,467,678,0.69,0.13,0.13,Sanders,0.56
4,2,Minneapolis W-4 P-2,211,500,0.42,0.13,0.34,Sanders,0.29
4,3,Minneapolis W-4 P-3,328,762,0.43,0.16,0.30,Sanders,0.27
4,4,Minneapolis W-4 P-4,169,325,0.52,0.14,0.24,Sanders,0.38
4,5,Minneapolis W-4 P-5,422,1007,0.42,0.23,0.26,Sanders,0.19
4,6,Minneapolis W-4 P-6,370,785,0.47,0.18,0.28,Sanders,0.29
4,7,Minneapolis W-4 P-7,238,551,0.43,0.17,0.29,Sanders,0.27
4,8,Minneapolis W-4 P-8,287,784,0.37,0.26,0.27,Sanders,0.10
5,1,Minneapolis W-5 P-1,316,763,0.41,0.25,0.25,Sanders,0.16
5,2,Minneapolis W-5 P-2,239,593,0.40,0.15,0.35,Sanders,0.25
5,3,Minneapolis W-5 P-3,203,461,0.44,0.16,0.26,Sanders,0.28
5,4,Minneapolis W-5 P-4,182,374,0.49,0.12,0.27,Sanders,0.36
5,5,Minneapolis W-5 P-5,208,516,0.40,0.19,0.31,Sanders,0.21
5,6,Minneapolis W-5 P-6C,180,456,0.39,0.21,0.29,Sanders,0.18
5,7,Minneapolis W-5 P-7,95,262,0.36,0.13,0.34,Sanders,0.24
5,8,Minneapolis W-5 P-8,230,463,0.50,0.14,0.30,Sanders,0.36
5,9,Minneapolis W-5 P-9,239,413,0.58,0.11,0.24,Sanders,0.47
6,1,Minneapolis W-6 P-1,305,555,0.55,0.20,0.16,Sanders,0.35
6,2,Minneapolis W-6 P-2,256,496,0.52,0.25,0.17,Sanders,0.26
6,3,Minneapolis W-6 P-3,604,987,0.61,0.18,0.15,Sanders,0.44
6,4,Minneapolis W-6 P-4,458,696,0.66,0.08,0.20,Sanders,0.57
6,5,Minneapolis W-6 P-5,304,616,0.49,0.13,0.26,Sanders,0.36
6,6,Minneapolis W-6 P-6,194,315,0.62,0.09,0.23,Sanders,0.52
6,7,Minneapolis W-6 P-7,229,350,0.65,0.13,0.15,Sanders,0.52
6,8,Minneapolis W-6 P-8,107,279,0.38,0.10,0.29,Sanders,0.28
6,9,Minneapolis W-6 P-9,236,469,0.50,0.13,0.23,Sanders,0.38
7,1,Minneapolis W-7 P-1C,504,851,0.59,0.24,0.12,Sanders,0.35
7,2,Minneapolis W-7 P-2D,192,638,0.30,0.27,0.35,Biden,0.03
7,3,Minneapolis W-7 P-3,146,878,0.17,0.22,0.42,Biden,-0.05
7,4,Minneapolis W-7 P-4D,522,1515,0.34,0.23,0.29,Sanders,0.11
7,5,Minneapolis W-7 P-5,296,1284,0.23,0.19,0.42,Biden,0.05
7,6,Minneapolis W-7 P-6,614,1255,0.49,0.19,0.22,Sanders,0.30
7,7,Minneapolis W-7 P-7,523,1228,0.43,0.21,0.25,Sanders,0.22
7,8,Minneapolis W-7 P-8,143,639,0.22,0.23,0.37,Biden,-0.01
7,9,Minneapolis W-7 P-9,661,1871,0.35,0.21,0.28,Sanders,0.15
7,10,Minneapolis W-7 P-10,547,1522,0.36,0.25,0.28,Sanders,0.11
8,1,Minneapolis W-8 P-1,233,430,0.54,0.25,0.17,Sanders,0.30
8,2,Minneapolis W-8 P-2,282,587,0.48,0.13,0.27,Sanders,0.35
8,3,Minneapolis W-8 P-3,883,1609,0.55,0.28,0.12,Sanders,0.27
8,4,Minneapolis W-8 P-4,396,719,0.55,0.25,0.16,Sanders,0.30
8,5,Minneapolis W-8 P-5,347,826,0.42,0.27,0.22,Sanders,0.15
8,6,Minneapolis W-8 P-6,477,1382,0.35,0.29,0.29,Sanders,0.06
8,7,Minneapolis W-8 P-7,628,1477,0.43,0.32,0.19,Sanders,0.10
8,8,Minneapolis W-8 P-8,604,1828,0.33,0.35,0.26,Sanders,-0.01
9,1,Minneapolis W-9 P-1,686,1624,0.42,0.33,0.20,Sanders,0.10
9,2,Minneapolis W-9 P-2,387,641,0.60,0.22,0.13,Sanders,0.38
9,3,Minneapolis W-9 P-3,844,1558,0.54,0.32,0.11,Sanders,0.22
9,4,Minneapolis W-9 P-4,397,694,0.57,0.18,0.18,Sanders,0.39
9,5,Minneapolis W-9 P-5,303,438,0.69,0.13,0.14,Sanders,0.57
9,6,Minneapolis W-9 P-6,202,302,0.67,0.20,0.09,Sanders,0.47
9,7,Minneapolis W-9 P-7,644,1221,0.53,0.29,0.14,Sanders,0.24
9,8,Minneapolis W-9 P-8,362,742,0.49,0.33,0.12,Sanders,0.15
9,9,Minneapolis W-9 P-9,44,78,0.56,0.22,0.15,Sanders,0.35
10,1,Minneapolis W-10 P-1,362,569,0.64,0.17,0.15,Sanders,0.47
10,2,Minneapolis W-10 P-2,785,1355,0.58,0.24,0.13,Sanders,0.34
10,3,Minneapolis W-10 P-3A,466,865,0.54,0.23,0.17,Sanders,0.30
10,4,Minneapolis W-10 P-3B,373,1075,0.35,0.27,0.29,Sanders,0.08
10,5,Minneapolis W-10 P-4,598,1160,0.52,0.27,0.16,Sanders,0.25
10,6,Minneapolis W-10 P-5A,307,891,0.34,0.27,0.29,Sanders,0.07
10,7,Minneapolis W-10 P-5B,690,1395,0.49,0.28,0.18,Sanders,0.22
10,8,Minneapolis W-10 P-6,678,1026,0.66,0.22,0.09,Sanders,0.44
10,9,Minneapolis W-10 P-7,500,794,0.63,0.24,0.09,Sanders,0.39
10,10,Minneapolis W-10 P-8,876,1298,0.67,0.21,0.07,Sanders,0.47
10,11,Minneapolis W-10 P-9,667,1096,0.61,0.24,0.11,Sanders,0.37
10,12,Minneapolis W-10 P-10,495,990,0.50,0.26,0.17,Sanders,0.24
11,1,Minneapolis W-11 P-1,283,1019,0.28,0.31,0.31,Warren,-0.03
11,2,Minneapolis W-11 P-2,284,1234,0.23,0.24,0.39,Biden,-0.01
11,3,Minneapolis W-11 P-3,389,936,0.42,0.24,0.26,Sanders,0.17
11,4,Minneapolis W-11 P-4,467,1558,0.30,0.32,0.31,Warren,-0.02
11,5,Minneapolis W-11 P-5,196,850,0.23,0.25,0.41,Biden,-0.02
11,6,Minneapolis W-11 P-6,298,1291,0.23,0.30,0.38,Biden,-0.07
