Date,City Code,City Name,Ward Code,Ward Name,Precinct Code,Precinct Name,Congressional District,State Senate District,State House District,County Commissioner District,Judicial District,Soil and Water Conservation District,Hospital District,Voter Count,Location
03/12/2018 12:00:00 AM,,,2,W-02,780,ST. PAUL W-2 P-11,,,,,,,,2528,
02/01/2019 12:00:00 AM,140,St. Paul,04,W-04,1110,ST. PAUL W-4 P-12,4,66,66B,03,02,,,1754,"(44.97705294, -93.15409814)"
02/01/2019 12:00:00 AM,140,St. Paul,04,W-04,1140,ST. PAUL W-4 P-15,4,65,65A,03,02,,,1552,"(44.95934405, -93.15171592)"
02/01/2019 12:00:00 AM,070,Maplewood,,,0190,MAPLEWOOD P-07,4,43,43A,07,02,,,2174,"(45.02754111, -93.04243011)"
02/01/2019 12:00:00 AM,070,Maplewood,,,0200,MAPLEWOOD P-08,4,43,43A,07,02,,,2014,"(45.03153622, -93.01008107)"
02/01/2019 12:00:00 AM,150,Shoreview,,,1620,SHOREVIEW P-4,4,42,42A,01,02,,,2669,"(45.08611923, -93.13442534)"
02/01/2019 12:00:00 AM,090,New Brighton,,,0335,NEW BRIGHTON P-2,4,41,41B,02,02,,,1132,"(45.04650826, -93.21322521)"
02/01/2019 12:00:00 AM,140,St. Paul,04,W-04,1080,ST. PAUL W-4 P-09,4,64,64A,04,02,,,1705,"(44.95897439, -93.17972776)"
02/01/2019 12:00:00 AM,140,St. Paul,04,W-04,1020,ST. PAUL W-4 P-03,4,64,64A,04,02,,,2385,"(44.96601579, -93.19485391)"
02/01/2019 12:00:00 AM,090,New Brighton,,,0340,NEW BRIGHTON P-3,4,41,41B,02,02,,,1882,"(45.054059, -93.19873776)"
02/01/2019 12:00:00 AM,090,New Brighton,,,0350,NEW BRIGHTON P-5,4,41,41A,02,02,,,1714,"(45.07419009, -93.19725448)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0580,ST. PAUL W-1 P-05,4,65,65A,04,02,,,1377,"(44.95367788, -93.13647034)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0675,ST. PAUL W-1 P-15,4,65,65A,03,02,,,739,"(44.96742008, -93.11525899)"
02/01/2019 12:00:00 AM,120,Roseville,,,0450,ROSEVILLE P-03,4,42,42B,02,02,,,3060,"(45.0282747, -93.14714187)"
02/01/2019 12:00:00 AM,120,Roseville,,,0440,ROSEVILLE P-02,4,42,42B,02,02,,,980,"(45.02890182, -93.16263045)"
02/01/2019 12:00:00 AM,140,St. Paul,02,W-02,0820,ST. PAUL W-2 P-15,4,65,65B,05,02,,,2745,"(44.9329321, -93.06829475)"
02/01/2019 12:00:00 AM,150,Shoreview,,,1630,SHOREVIEW P-5,4,42,42A,01,02,,,3957,"(45.11111019, -93.13098635)"
02/01/2019 12:00:00 AM,010,Arden Hills,,,0020,ARDEN HILLS P-2,4,42,42A,01,02,,,1462,"(45.05832386, -93.1700117)"
02/01/2019 12:00:00 AM,190,White Bear Lake,02,W-02,1750,WHITE BEAR LAKE W-2 P-1,4,38,38B,07,02,,,3511,"(45.08996792, -93.01452844)"
02/01/2019 12:00:00 AM,080,Mounds View,,,0320,MOUNDS VIEW P-4,4,42,42A,02,02,,North Suburban,1290,"(45.09808371, -93.19537878)"
02/01/2019 12:00:00 AM,140,St. Paul,07,W-07,1460,ST. PAUL W-7 P-04,4,67,67B,06,02,,,943,"(44.95449412, -93.0543549)"
02/01/2019 12:00:00 AM,140,St. Paul,03,W-03,0970,ST. PAUL W-3 P-14,4,64,64B,05,02,,,3662,"(44.92210007, -93.15251731)"
02/01/2019 12:00:00 AM,140,St. Paul,03,W-03,0920,ST. PAUL W-3 P-09,4,64,64B,05,02,,,2537,"(44.92334053, -93.16702302)"
02/01/2019 12:00:00 AM,140,St. Paul,07,W-07,1500,ST. PAUL W-7 P-08,4,67,67B,06,02,,,1750,"(44.94866813, -93.02490382)"
02/01/2019 12:00:00 AM,180,White Bear Twp,,,1710,WHITE BEAR TWP P-2,4,38,38B,01,02,,,2487,"(45.11125061, -92.99981571)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0550,ST. PAUL W-1 P-02,4,65,65A,04,02,,,2271,"(44.95023354, -93.15686968)"
02/01/2019 12:00:00 AM,010,Arden Hills,,,0010,ARDEN HILLS P-1,4,42,42A,01,02,,,2555,"(45.04370619, -93.16585843)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0650,ST. PAUL W-1 P-12,4,65,65B,04,02,,,340,"(44.94501034, -93.11281195)"
02/01/2019 12:00:00 AM,120,Roseville,,,0500,ROSEVILLE P-08,4,66,66A,02,02,,,2256,"(45.01345694, -93.11612979)"
02/01/2019 12:00:00 AM,140,St. Paul,04,W-04,1000,ST. PAUL W-4 P-01,4,64,64A,04,02,,,1655,"(44.9771813, -93.19051073)"
02/01/2019 12:00:00 AM,140,St. Paul,05,W-05,1160,ST. PAUL W-5 P-01,4,66,66A,03,02,,,2044,"(44.99003257, -93.14105644)"
02/01/2019 12:00:00 AM,140,St. Paul,02,W-02,0780,ST. PAUL W-2 P-11,4,65,65B,05,02,,,2904,"(44.94825632, -93.08141786)"
02/01/2019 12:00:00 AM,190,White Bear Lake,04,W-04,1770,WHITE BEAR LAKE W-4 P-1,4,43,43A,07,02,,,2794,"(45.04556271, -92.99431657)"
02/01/2019 12:00:00 AM,140,St. Paul,02,W-02,0700,ST. PAUL W-2 P-03,4,65,65B,05,02,,,2662,"(44.91896552, -93.13527831)"
02/01/2019 12:00:00 AM,140,St. Paul,03,W-03,0910,ST. PAUL W-3 P-08,4,64,64B,05,02,,,1636,"(44.9306403, -93.17211548)"
02/01/2019 12:00:00 AM,090,New Brighton,,,0355,NEW BRIGHTON P-6,4,41,41A,02,02,,,1759,"(45.07449253, -93.22170092)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0678,ST. PAUL W-1 P-16,4,66,66B,03,02,,,236,"(44.96827146, -93.1358605)"
02/01/2019 12:00:00 AM,140,St. Paul,03,W-03,0890,ST. PAUL W-3 P-06,4,64,64B,05,02,,,2161,"(44.90708124, -93.17976168)"
02/01/2019 12:00:00 AM,140,St. Paul,07,W-07,1440,ST. PAUL W-7 P-02,4,67,67A,06,02,,,1292,"(44.96463965, -93.04034299)"
02/01/2019 12:00:00 AM,140,St. Paul,04,W-04,1060,ST. PAUL W-4 P-07,4,64,64B,04,02,,,1947,"(44.93798013, -93.19034667)"
02/01/2019 12:00:00 AM,190,White Bear Lake,03,W-03,1765,WHITE BEAR LAKE W-3 P-2,4,43,43A,07,02,,,390,"(45.05558011, -93.00112548)"
02/01/2019 12:00:00 AM,140,St. Paul,07,W-07,1470,ST. PAUL W-7 P-05,4,67,67B,05,02,,,1404,"(44.92171886, -93.03510604)"
02/01/2019 12:00:00 AM,140,St. Paul,02,W-02,0730,ST. PAUL W-2 P-06,4,64,64B,05,02,,,628,"(44.91006454, -93.14936068)"
02/01/2019 12:00:00 AM,090,New Brighton,,,0360,NEW BRIGHTON P-7,4,41,41A,02,02,,,2059,"(45.07221823, -93.21025161)"
02/01/2019 12:00:00 AM,140,St. Paul,02,W-02,0800,ST. PAUL W-2 P-13,4,65,65B,05,02,,,1562,"(44.93421527, -93.09301727)"
02/01/2019 12:00:00 AM,140,St. Paul,03,W-03,0900,ST. PAUL W-3 P-07,4,64,64A,04,02,,,1468,"(44.93791317, -93.17212112)"
02/01/2019 12:00:00 AM,090,New Brighton,,,0345,NEW BRIGHTON P-4,4,41,41B,02,02,,,2149,"(45.056527, -93.21854774)"
02/01/2019 12:00:00 AM,140,St. Paul,06,W-06,1390,ST. PAUL W-6 P-11,4,67,67A,07,02,,,1677,"(44.98687722, -93.01446586)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0630,ST. PAUL W-1 P-10,4,65,65B,03,02,,,473,"(44.96632286, -93.1031013)"
02/01/2019 12:00:00 AM,070,Maplewood,,,0230,MAPLEWOOD P-11,4,53,53A,07,02,,,1843,"(44.96340579, -92.99476345)"
02/01/2019 12:00:00 AM,140,St. Paul,03,W-03,0880,ST. PAUL W-3 P-05,4,64,64B,05,02,,,1956,"(44.89805101, -93.18131927)"
02/01/2019 12:00:00 AM,140,St. Paul,07,W-07,1540,ST. PAUL W-7 P-12,4,67,67B,06,02,,,2640,"(44.93950974, -93.01891624)"
02/01/2019 12:00:00 AM,140,St. Paul,05,W-05,1170,ST. PAUL W-5 P-02,4,66,66B,03,02,,,2503,"(44.98262571, -93.13390972)"
02/01/2019 12:00:00 AM,140,St. Paul,07,W-07,1550,ST. PAUL W-7 P-13,4,67,67B,06,02,,,1930,"(44.91666622, -93.01019797)"
02/01/2019 12:00:00 AM,110,North St. Paul,,,0390,NORTH ST. PAUL P-1,4,43,43B,07,02,,,1907,"(45.00954809, -92.9998026)"
02/01/2019 12:00:00 AM,080,Mounds View,,,0310,MOUNDS VIEW P-3,4,42,42A,01,02,,North Suburban,2381,"(45.09998524, -93.21669988)"
02/01/2019 12:00:00 AM,140,St. Paul,07,W-07,1530,ST. PAUL W-7 P-11,4,67,67B,06,02,,,1292,"(44.9539923, -93.0148491)"
02/01/2019 12:00:00 AM,140,St. Paul,07,W-07,1520,ST. PAUL W-7 P-10,4,67,67B,06,02,,,1455,"(44.95990776, -93.01515897)"
02/01/2019 12:00:00 AM,140,St. Paul,02,W-02,0760,ST. PAUL W-2 P-09,4,65,65B,05,02,,,2073,"(44.95333643, -93.09306737)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0600,ST. PAUL W-1 P-07,4,64,64A,04,02,,,1536,"(44.94316382, -93.13640992)"
02/01/2019 12:00:00 AM,140,St. Paul,02,W-02,0680,ST. PAUL W-2 P-01,4,64,64A,04,02,,,1637,"(44.93632556, -93.14537878)"
