Contest,PrecinctName,VotingType,Choice,Party,Votes,VotesPercent,TotalVotes,TotalVotesPercent,CastTotal,CastTotalPercent,MainTotal,MainTotalPercent,UnderVotes,UnderVotesPercent,TotalUnderVotes,TotalUnderVotesPercent,OverVotes,OverVotesPercent,TotalOverVotes,TotalOverVotesPercent,InvalidVotes,InvalidVotesPercent,TotalInvalidVotes,TotalInvalidVotesPercent,RejectedWriteInVotes,RejectedWriteInVotesPercent,TotalRejectedWriteInVotes,TotalRejectedWriteInVotesPercent,UnresolvedWriteInVotes,UnresolvedWriteInVotesPercent,TotalUnresolvedWriteInVotes,TotalUnresolvedWriteInVotesPercent
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-1 - ISD 621,Absentee Voting,Nicole Joy Frethem,,73,50.69%,421,51.98%,133,92.36%,775,95.68%,11,7.64%,35,4.32%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-1 - ISD 621,Election Day Voting,Nicole Joy Frethem,,348,52.25%,421,51.98%,642,96.40%,775,95.68%,24,3.60%,35,4.32%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-1 - ISD 621,Absentee Voting,Randy Jessup,,60,41.67%,354,43.70%,133,92.36%,775,95.68%,11,7.64%,35,4.32%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-1 - ISD 621,Election Day Voting,Randy Jessup,,294,44.14%,354,43.70%,642,96.40%,775,95.68%,24,3.60%,35,4.32%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-1 - ISD 621,Absentee Voting,Derek Whitcomb,,50,8.68%,272,8.40%,357,61.98%,1903,58.73%,215,37.33%,1333,41.14%,1,0.69%,1,0.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-1 - ISD 621,Election Day Voting,Derek Whitcomb,,222,8.33%,272,8.40%,1546,58.03%,1903,58.73%,1118,41.97%,1333,41.14%,0,0.00%,1,0.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-1 - ISD 621,Absentee Voting,Sandra Westerman,,85,14.76%,456,14.07%,357,61.98%,1903,58.73%,215,37.33%,1333,41.14%,1,0.69%,1,0.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-1 - ISD 621,Election Day Voting,Sandra Westerman,,371,13.93%,456,14.07%,1546,58.03%,1903,58.73%,1118,41.97%,1333,41.14%,0,0.00%,1,0.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-1 - ISD 621,Absentee Voting,Heidi Danielson,,88,15.28%,475,14.66%,357,61.98%,1903,58.73%,215,37.33%,1333,41.14%,1,0.69%,1,0.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-1 - ISD 621,Election Day Voting,Heidi Danielson,,387,14.53%,475,14.66%,1546,58.03%,1903,58.73%,1118,41.97%,1333,41.14%,0,0.00%,1,0.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-1 - ISD 621,Absentee Voting,James J. DeMay,,62,10.76%,305,9.41%,357,61.98%,1903,58.73%,215,37.33%,1333,41.14%,1,0.69%,1,0.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-1 - ISD 621,Election Day Voting,James J. DeMay,,243,9.12%,305,9.41%,1546,58.03%,1903,58.73%,1118,41.97%,1333,41.14%,0,0.00%,1,0.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
