Ward,PrecinctNum,Precinct,Bernie Vote,VoteTotal,Sanders%,Warren%,Biden%,Winner,Pro_Diff
1,1,Rochester W-1 P-1,3,21,0.14,0.05,0.76,Biden,0.10
1,2,Rochester W-1 P-2,67,168,0.40,0.10,0.32,Sanders,0.30
1,3,Rochester W-1 P-3,67,236,0.28,0.10,0.39,Biden,0.19
1,4,Rochester W-1 P-4,115,423,0.27,0.14,0.42,Biden,0.13
1,5,Rochester W-1 P-5,28,117,0.24,0.07,0.46,Biden,0.17
1,6,Rochester W-1 P-6,62,293,0.21,0.09,0.44,Biden,0.12
1,7,Rochester W-1 P-7,29,97,0.30,0.14,0.36,Biden,0.15
1,8,Rochester W-1 P-8,97,377,0.26,0.14,0.46,Biden,0.12
1,9,Rochester W-1 P-9,34,239,0.14,0.12,0.55,Biden,0.02
1,10,Rochester W-1 P-10,65,295,0.22,0.15,0.47,Biden,0.07
1,11,Rochester W-1 P-11,78,218,0.36,0.22,0.33,Sanders,0.14
1,12,Rochester W-1 P-12,30,241,0.12,0.16,0.56,Biden,-0.03
1,13,Rochester W-1 P-13,16,66,0.24,0.14,0.47,Biden,0.11
2,1,Rochester W-2 P-1,153,373,0.41,0.21,0.30,Sanders,0.20
2,2,Rochester W-2 P-2,156,724,0.22,0.20,0.43,Biden,0.02
2,3,Rochester W-2 P-3,144,467,0.31,0.14,0.41,Biden,0.17
2,4,Rochester W-2 P-4,59,432,0.14,0.15,0.51,Biden,-0.01
2,5,Rochester W-2 P-5,88,255,0.35,0.14,0.41,Biden,0.20
2,6,Rochester W-2 P-6,52,212,0.25,0.14,0.47,Biden,0.11
2,7,Rochester W-2 P-7,91,533,0.17,0.14,0.47,Biden,0.03
2,8,Rochester W-2 P-8,108,402,0.27,0.15,0.45,Biden,0.12
3,1,Rochester W-3 P-1,63,246,0.26,0.15,0.46,Biden,0.10
3,2,Rochester W-3 P-2,120,355,0.34,0.12,0.41,Biden,0.22
3,3,Rochester W-3 P-3,66,260,0.25,0.13,0.48,Biden,0.12
3,4,Rochester W-3 P-4,98,234,0.42,0.11,0.35,Sanders,0.31
3,5,Rochester W-3 P-5,154,598,0.26,0.12,0.46,Biden,0.14
3,6,Rochester W-3 P-6,87,294,0.30,0.15,0.42,Biden,0.15
3,7,Rochester W-3 P-7,162,515,0.31,0.17,0.43,Biden,0.15
4,1,Rochester W-4 P-1,166,492,0.34,0.17,0.31,Sanders,0.17
4,2,Rochester W-4 P-2,80,161,0.50,0.22,0.22,Sanders,0.27
4,3,Rochester W-4 P-3,105,250,0.42,0.21,0.26,Sanders,0.21
4,4,Rochester W-4 P-4,85,199,0.43,0.18,0.27,Sanders,0.25
4,5,Rochester W-4 P-5,100,193,0.52,0.15,0.22,Sanders,0.37
4,6,Rochester W-4 P-6,41,89,0.46,0.09,0.38,Sanders,0.37
4,7,Rochester W-4 P-7,119,267,0.45,0.09,0.36,Sanders,0.36
4,8,Rochester W-4 P-8,117,237,0.49,0.08,0.35,Sanders,0.41
4,9,Rochester W-4 P-9,8,38,0.21,0.11,0.45,Biden,0.11
5,1,Rochester W-5 P-1,123,441,0.28,0.08,0.37,Biden,0.20
5,2,Rochester W-5 P-2,98,273,0.36,0.11,0.34,Sanders,0.25
5,3,Rochester W-5 P-3,130,478,0.27,0.18,0.38,Biden,0.09
5,4,Rochester W-5 P-4,112,432,0.26,0.17,0.39,Biden,0.09
5,5,Rochester W-5 P-5,118,507,0.23,0.14,0.42,Biden,0.10
5,6,Rochester W-5 P-6,72,212,0.34,0.15,0.36,Biden,0.19
5,7,Rochester W-5 P-7,119,647,0.18,0.14,0.50,Biden,0.04
5,8,Rochester W-5 P-8,33,143,0.23,0.15,0.47,Biden,0.08
6,1,Rochester W-6 P-1,144,512,0.28,0.16,0.38,Biden,0.12
6,2,Rochester W-6 P-2,132,515,0.26,0.15,0.41,Biden,0.10
6,3,Rochester W-6 P-3,78,298,0.26,0.18,0.40,Biden,0.08
6,4,Rochester W-6 P-4,147,348,0.42,0.11,0.35,Sanders,0.32
6,5,Rochester W-6 P-5,57,136,0.42,0.10,0.28,Sanders,0.32
6,6,Rochester W-6 P-6,74,182,0.41,0.12,0.32,Sanders,0.29
6,7,Rochester W-6 P-7,107,325,0.33,0.11,0.42,Biden,0.22
6,8,Rochester W-6 P-8,53,174,0.30,0.17,0.40,Biden,0.13
7,1,Rochester Twp P-1,44,323,0.14,0.10,0.54,Biden,0.04
7,4,Rochester Twp P-4,4,25,0.16,0.08,0.68,Biden,0.08
