Ward,PrecinctNum,Precinct,Bernie Vote,VoteTotal,Sanders%,Warren%,Biden%,Winner,Pro_Diff
1,1,Saint Paul W-1 P-1,232,702,0.33,0.28,0.27,Sanders,0.05
1,2,Saint Paul W-1 P-2,363,916,0.40,0.27,0.26,Sanders,0.13
1,3,Saint Paul W-1 P-3,306,591,0.52,0.21,0.22,Sanders,0.30
1,4,Saint Paul W-1 P-4,205,433,0.47,0.25,0.21,Sanders,0.22
1,5,Saint Paul W-1 P-5,197,431,0.46,0.16,0.31,Sanders,0.29
1,6,Saint Paul W-1 P-6,476,1183,0.40,0.30,0.24,Sanders,0.10
1,7,Saint Paul W-1 P-7,316,852,0.37,0.30,0.25,Sanders,0.07
1,8,Saint Paul W-1 P-8,386,995,0.39,0.27,0.25,Sanders,0.12
1,9,Saint Paul W-1 P-9,279,478,0.58,0.11,0.23,Sanders,0.47
1,10,Saint Paul W-1 P-10,47,83,0.57,0.10,0.20,Sanders,0.47
1,11,Saint Paul W-1 P-11,100,251,0.40,0.05,0.39,Sanders,0.35
1,12,Saint Paul W-1 P-12,32,160,0.20,0.27,0.33,Biden,-0.07
1,13,Saint Paul W-1 P-13,176,597,0.29,0.25,0.33,Biden,0.04
1,14,Saint Paul W-1 P-14,136,238,0.57,0.07,0.26,Sanders,0.50
1,15,Saint Paul W-1 P-15,85,156,0.54,0.13,0.20,Sanders,0.41
1,16,Saint Paul W-1 P-16,45,88,0.51,0.20,0.19,Sanders,0.31
2,1,Saint Paul W-2 P-1,284,905,0.31,0.29,0.32,Sanders,0.03
2,2,Saint Paul W-2 P-2,267,960,0.28,0.26,0.36,Sanders,0.02
2,3,Saint Paul W-2 P-3,439,1091,0.40,0.23,0.27,Sanders,0.18
2,4,Saint Paul W-2 P-4,263,792,0.33,0.26,0.30,Sanders,0.08
2,5,Saint Paul W-2 P-5,423,1042,0.41,0.26,0.25,Sanders,0.14
2,6,Saint Paul W-2 P-6,81,239,0.34,0.14,0.41,Biden,0.20
2,7,Saint Paul W-2 P-7,309,945,0.33,0.24,0.30,Sanders,0.09
2,8,Saint Paul W-2 P-8,124,374,0.33,0.19,0.30,Sanders,0.14
2,9,Saint Paul W-2 P-9,287,854,0.34,0.25,0.30,Sanders,0.09
2,11,Saint Paul W-2 P-11,525,1420,0.37,0.25,0.28,Sanders,0.12
2,12,Saint Paul W-2 P-12,329,768,0.43,0.29,0.21,Sanders,0.14
2,13,Saint Paul W-2 P-13,234,605,0.39,0.24,0.26,Sanders,0.14
2,14,Saint Paul W-2 P-14,286,603,0.47,0.22,0.22,Sanders,0.25
2,15,Saint Paul W-2 P-15,412,767,0.54,0.16,0.21,Sanders,0.38
3,1,Saint Paul W-3 P-1,232,1141,0.20,0.24,0.41,Biden,-0.04
3,2,Saint Paul W-3 P-2,324,1329,0.24,0.28,0.37,Biden,-0.04
3,3,Saint Paul W-3 P-3,339,1326,0.26,0.26,0.34,Biden,-0.01
3,4,Saint Paul W-3 P-4,160,703,0.23,0.22,0.36,Biden,0.00
3,5,Saint Paul W-3 P-5,211,788,0.27,0.23,0.35,Biden,0.04
3,6,Saint Paul W-3 P-6,250,958,0.26,0.23,0.36,Biden,0.03
3,7,Saint Paul W-3 P-7,462,978,0.47,0.29,0.20,Sanders,0.19
3,8,Saint Paul W-3 P-8,247,907,0.27,0.32,0.30,Warren,-0.05
3,9,Saint Paul W-3 P-9,305,1318,0.23,0.26,0.39,Biden,-0.03
3,10,Saint Paul W-3 P-10,110,713,0.15,0.25,0.42,Biden,-0.09
3,11,Saint Paul W-3 P-11,218,688,0.32,0.16,0.39,Biden,0.16
3,12,Saint Paul W-3 P-12,278,1068,0.26,0.30,0.36,Biden,-0.04
3,13,Saint Paul W-3 P-13,285,968,0.29,0.27,0.34,Biden,0.03
3,14,Saint Paul W-3 P-14,390,1716,0.23,0.28,0.37,Biden,-0.05
4,1,Saint Paul W-4 P-1,334,985,0.34,0.30,0.26,Sanders,0.04
4,2,Saint Paul W-4 P-2,217,935,0.23,0.32,0.34,Biden,-0.08
4,3,Saint Paul W-4 P-3,597,1305,0.46,0.29,0.19,Sanders,0.17
4,4,Saint Paul W-4 P-4,325,969,0.34,0.28,0.29,Sanders,0.06
4,5,Saint Paul W-4 P-5,207,700,0.30,0.29,0.32,Biden,0.01
4,6,Saint Paul W-4 P-6,313,849,0.37,0.23,0.29,Sanders,0.14
