Ward,Precinct,Reg_Vote_10/1/19,Reg_Vote_11/7/19,VoterReg_Election,Tot_Early/Absentee_Vote,Early/Abs_Vote%,Total_Vote,LastCouncil_Vote%,Tot_Vote%,Vote_Diff%,1st_Undervote,Total_Ballot,1st_Undervote%,2nd_Undervote,2nd_Undervote%,2nd_Raw_Undervote,2nd_Cond_Undervote%,3rd_Undervote,3rd_Undervote%,3rd_Raw_Undervote,3rd_Cond_Undervote%,Cand_1st_Vote,Winner_Vote%,Cand_1st_2ndVote,Cand_1st_Cond_2ndVote%,Cand_1st_3rdVote,Cand_1st_Cond_3rdVote%,Cand_1st_Cond_3rdVote_Surplus,Cand_1st_4thVote,Cand_1st_5thVote,Cand_1st_LastVote,Cand_1st_LastVote%,Cand_1st_TotalRankedVotes,Cand_1st_RankedSurplus,Cand_1st_RankedSurplus%,Weight1,Weight2_Total,Weight2,Weight3_Total,Weight3,Cand_1st_WeightTotal_3rdRankSurplus,Cand_2nd_Vote,Cand_2nd_Vote%,Cand_2nd_2ndVote,Cand_2nd_Cond_2ndVote%,Cand_2nd_3rdVote,Cand_2nd_Cond_3rdVote%,Cand_2nd_LastVote,Cand_2nd_LastVote%,Cand_3rd_Vote,Cand_3rd_Vote%,Cand_3rd_2ndVote,Cand_3rd_Cond_2ndVote%,Cand_3rd_3rdVote,Cand_3rd_Cond_3rdVote%,Cand_3rd_LastVote,Cand_3rd_LastVote%,Cand_4th_Vote,Cand_4th_Vote%,Cand_4th_2ndVote,Cand_4th_Cond_2ndVote%,Cand_4th_3rdVote,Cand_4th_Cond_3rdVote%,Cand_4th_LastVote,Cand_4th_LastVote%,Cand_5th_Vote,Cand_5th_Vote%,Cand_5th_2ndVote,Cand_5th_Cond_2ndVote%,Cand_5th_3rdVote,Cand_5th_Cond_3rdVote%,Cand_5th_LastVote,Cand_5th_LastVote%,Cand_6th_Vote,Cand_6th_Vote%,Cand_6th_2ndVote,Cand_6th_Cond_2ndVote%,Cand_6th_3rdVote,Cand_6th_Cond_3rdVote%,Cand_6th_LastVote,Cand_6th_LastVote%,SchoolBoard_Vote,SchoolBoard_Vote%,SchoolBoard_UnderVote,SchoolBoard_RawVote%,Min_DFL(endorse),DFL_Vote%,Trash_Yes,Trash_No,Trash_Total,Trash_No%,NO_Cand1st_Vote ,No_Cand_Align,YES_Cand1st_Vote ,Yes_Cand_Align,Trash_Vote_Diff,Trash_UnderVote,Trash_UnderVote%
1,Saint Paul W-1 P-1,1170,1193,23,39,6.85,569,24.78,47.69,22.91,22,591,3.72,140,23.69,118,20.74,281,47.55,141,31.26,228,40.07,107,31.38,96,41.03,138,43,0,22,9.65,496,73,12.83,0.4007029877,451,0.2372505543,310,0.3096774194,0.95,135,23.73,167,38.48,72,26.97,9,6.67,168,29.53,141,35.16,68,26.15,6,3.57,33,5.80,31,5.78,69,13.66,5,15.15,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,402,34.93,749,16.65798828,242,60.20,431,151,582,25.95,33,-118,531,100,13,4,0.68
1,Saint Paul W-1 P-2,2185,2201,16,126,16.20,778,13.10,35.35,22.25,24,802,2.99,223,27.81,199,25.58,356,44.39,133,22.97,389,50.00,151,38.82,135,56.72,103,72,0,50,12.85,797,-19,-2.44,0.5,579,0.2607944732,446,0.302690583,1.06,171,21.98,207,34.10,125,31.25,32,18.71,177,22.75,157,26.12,100,22.52,22,12.43,38,4.88,60,8.11,81,11.91,15,39.47,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,490,28.19,1248,9.965655322,290,59.18,561,203,764,26.57,38,-165,737,176,-14,35,4.38
1,Saint Paul W-1 P-3,1914,1929,15,37,7.54,491,9.71,25.45,15.74,17,508,3.35,119,23.43,102,20.77,202,39.76,83,21.34,178,36.25,113,36.10,84,42.00,116,50,0,25,14.04,450,41,8.35,0.3625254582,389,0.2904884319,306,0.2745098039,0.93,203,41.34,105,36.46,74,40.44,27,13.30,69,14.05,104,24.64,85,26.73,10,14.49,40,8.15,66,14.63,62,16.10,11,27.50,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,289.75,24.96,871,6.353806971,148,51.08,307,176,483,36.44,40,-136,450,143,-8,24,4.73
1,Saint Paul W-1 P-4,1389,1396,7,39,10.86,359,10.57,25.72,15.15,6,365,1.64,64,17.53,58,16.16,112,30.68,48,15.95,154,42.90,84,40.98,79,65.29,42,62,0,48,31.17,427,-68,-18.94,0.4289693593,301,0.2790697674,253,0.3122529644,1.02,105,29.25,107,42.13,56,38.10,34,32.38,65,18.11,72,24.49,63,28.38,20,30.77,35,9.75,38,11.73,55,19.23,14,40.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,219,27.10,589,6.970144543,126,57.53,210,139,349,39.83,35,-104,324,114,-10,17,4.64
1,Saint Paul W-1 P-5,1376,1385,9,34,9.52,357,11.29,25.78,14.49,4,361,1.11,67,18.56,63,17.65,135,37.40,68,23.13,105,29.41,78,30.95,52,29.89,122,40,0,32,30.48,307,50,14.01,0.2941176471,294,0.2653061224,226,0.2300884956,0.79,191,53.50,131,78.92,77,220.00,60,31.41,45,12.61,52,16.67,55,21.15,13,28.89,16,4.48,33,9.68,42,13.64,4,25.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,232.5,30.82,522,7.942955983,79,33.98,177,172,349,49.28,16,-156,341,164,-8,12,3.32
1,Saint Paul W-1 P-6,2810,2825,15,78,8.44,924,12.51,32.71,20.20,20,944,2.12,187,19.81,167,18.07,400,42.37,213,28.14,309,33.44,184,29.92,134,31.09,297,60,0,32,10.36,719,205,22.19,0.3344155844,757,0.2430647292,544,0.2463235294,0.82,408,44.16,300,58.14,163,75.46,76,18.63,137,14.83,197,25.03,136,23.05,13,9.49,66,7.14,72,8.39,107,13.61,14,21.21,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,615,31.75,1322,10.38482098,357,58.05,590,321,911,35.24,66,-255,854,264,-13,29,3.09
1,Saint Paul W-1 P-7,1495,1502,7,61,9.17,665,18.28,44.27,25.99,21,686,3.06,163,23.76,142,21.35,317,46.21,154,29.45,274,41.20,134,34.27,125,48.64,132,52,0,25,9.12,610,55,8.27,0.4120300752,523,0.2562141491,369,0.3387533875,1.01,175,26.32,185,37.76,83,27.21,14,8.00,165,24.81,151,30.20,87,24.93,11,6.67,47,7.07,49,7.93,70,12.30,9,19.15,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,460.75,33.88,899,15.00230495,312,67.72,456,211,667,31.63,47,-164,614,158,2,14,2.06
1,Saint Paul W-1 P-8,2140,2138,-2,77,12.11,636,12.79,29.75,16.96,22,658,3.34,129,19.60,107,16.82,254,38.60,125,23.63,233,36.64,133,33.00,121,44.81,149,70,0,44,18.88,601,35,5.50,0.3663522013,529,0.2514177694,404,0.2995049505,0.92,213,33.49,173,40.90,110,44.00,45,21.13,144,22.64,162,32.93,97,29.39,22,15.28,43,6.76,57,9.61,73,13.62,17,39.53,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,397.75,27.61,1043,8.21241665,245,61.60,427,212,639,33.18,43,-169,590,163,3,16,2.44
1,Saint Paul W-1 P-9,2367,2383,16,53,11.52,460,8.18,19.30,11.12,10,470,2.13,140,29.79,130,28.26,193,41.06,53,16.06,246,53.48,113,52.80,88,87.13,13,89,0,72,29.27,608,-148,-32.17,0.5347826087,330,0.3424242424,277,0.3176895307,1.19,102,22.17,100,27.93,64,24.81,42,41.18,63,13.70,67,16.88,66,20.00,14,22.22,45,9.78,46,11.08,55,14.91,15,33.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,290.5,28.72,721,5.54388278,118,40.62,238,213,451,47.23,45,-168,411,173,-9,15,3.22
1,Saint Paul W-1 P-10,469,470,1,7,7.14,98,7.92,20.85,12.93,4,102,3.92,41,40.20,37,37.76,50,49.02,9,14.75,40,40.82,18,31.03,15,37.50,25,13,0,3,7.50,89,9,9.18,0.4081632653,61,0.2950819672,52,0.2884615385,0.99,22,22.45,16,21.05,12,20.00,6,27.27,17,17.35,12,14.81,11,15.94,3,17.65,18,18.37,14,17.50,13,19.70,5,27.78,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,57,24.36,177,5.079105292,17,29.82,38,55,93,59.14,18,-37,79,41,-5,8,7.92
