Ward,Precinct,Vote%_Diff,Thao_17%
1,Saint Paul W-1 P-1,-6.30,6.71
1,Saint Paul W-1 P-2,-3.60,6.32
1,Saint Paul W-1 P-3,-7.54,25.04
1,Saint Paul W-1 P-4,-6.67,29.17
1,Saint Paul W-1 P-5,-6.52,15.87
1,Saint Paul W-1 P-6,-4.53,9.09
1,Saint Paul W-1 P-7,-3.45,5.17
1,Saint Paul W-1 P-8,-4.05,7.83
1,Saint Paul W-1 P-9,-8.35,43.58
1,Saint Paul W-1 P-10,-4.01,41.05
1,Saint Paul W-1 P-11,-11.58,23.59
1,Saint Paul W-1 P-12,29.23,6.63
1,Saint Paul W-1 P-13,-3.20,5.52
1,Saint Paul W-1 P-14,-15.03,49.15
1,Saint Paul W-1 P-15,-6.93,29.17
1,Saint Paul W-1 P-16,-2.76,7.32
2,Saint Paul W-2 P-1,-5.25,2.77
2,Saint Paul W-2 P-2,-3.27,2.85
2,Saint Paul W-2 P-3,-0.43,5.22
2,Saint Paul W-2 P-4,-3.99,4.23
2,Saint Paul W-2 P-5,2.74,7.28
2,Saint Paul W-2 P-6,-1.14,7.86
2,Saint Paul W-2 P-7,-3.66,8.7
2,Saint Paul W-2 P-8,0.14,7.51
2,Saint Paul W-2 P-9,-4.98,5.34
2,Saint Paul W-2 P-11,-4.94,4.63
2,Saint Paul W-2 P-12,-0.73,9.63
2,Saint Paul W-2 P-13,-1.83,9.21
2,Saint Paul W-2 P-14,1.25,7.81
2,Saint Paul W-2 P-15,0.12,20.19
3,Saint Paul W-3 P-1,-2.82,2.53
3,Saint Paul W-3 P-2,-2.84,1.96
3,Saint Paul W-3 P-3,-2.44,4.32
3,Saint Paul W-3 P-4,3.77,4.78
3,Saint Paul W-3 P-5,-5.33,3.34
3,Saint Paul W-3 P-6,-2.72,2.71
3,Saint Paul W-3 P-7,17.13,4.78
3,Saint Paul W-3 P-8,-4.52,2.23
3,Saint Paul W-3 P-9,-1.62,2.23
3,Saint Paul W-3 P-10,-1.59,2.83
3,Saint Paul W-3 P-11,-7.52,5.24
3,Saint Paul W-3 P-12,-2.08,3.42
3,Saint Paul W-3 P-13,-3.40,3.35
3,Saint Paul W-3 P-14,-3.14,2.26
4,Saint Paul W-4 P-1,-2.31,4.53
4,Saint Paul W-4 P-2,-3.56,5.41
4,Saint Paul W-4 P-3,-3.43,7.46
4,Saint Paul W-4 P-4,0.18,4.49
4,Saint Paul W-4 P-5,0.75,3.76
4,Saint Paul W-4 P-6,7.55,4.87
4,Saint Paul W-4 P-7,-1.13,2.83
4,Saint Paul W-4 P-8,-0.35,7.89
4,Saint Paul W-4 P-9,2.16,8.37
4,Saint Paul W-4 P-10,-1.51,4.63
4,Saint Paul W-4 P-11,1.13,4.44
4,Saint Paul W-4 P-12,-3.65,4.04
4,Saint Paul W-4 P-13,-1.02,7.88
4,Saint Paul W-4 P-14,-3.87,5.69
4,Saint Paul W-4 P-15,-0.48,5.17
5,Saint Paul W-5 P-1,0.64,4.82
5,Saint Paul W-5 P-2,0.72,4.44
5,Saint Paul W-5 P-3,-0.37,7.34
5,Saint Paul W-5 P-4,-4.78,18.47
5,Saint Paul W-5 P-5,-13.86,55.01
5,Saint Paul W-5 P-6,-3.95,29.87
5,Saint Paul W-5 P-7,-5.65,28.28
5,Saint Paul W-5 P-8,-13.37,49.92
5,Saint Paul W-5 P-9,-6.86,40.18
5,Saint Paul W-5 P-10,-6.39,46.4
6,Saint Paul W-6 P-1,-3.85,19.31
6,Saint Paul W-6 P-2,-4.55,15.48
6,Saint Paul W-6 P-3,-8.63,37.78
6,Saint Paul W-6 P-4,-9.62,35.25
6,Saint Paul W-6 P-5,-9.75,41.44
6,Saint Paul W-6 P-6,-8.37,41.38
6,Saint Paul W-6 P-7,-9.72,45.51
6,Saint Paul W-6 P-8,-11.99,45.14
6,Saint Paul W-6 P-9,-4.07,35.6
6,Saint Paul W-6 P-10,-3.67,32.98
6,Saint Paul W-6 P-11,-3.49,23.19
6,Saint Paul W-6 P-12,-1.73,30.14
7,Saint Paul W-7 P-1,-4.05,25.8
7,Saint Paul W-7 P-2,-5.07,43.15
7,Saint Paul W-7 P-3,-6.77,35.71
7,Saint Paul W-7 P-4,-4.94,29.92
7,Saint Paul W-7 P-5,-6.08,11.58
7,Saint Paul W-7 P-6,-10.95,40.52
7,Saint Paul W-7 P-7,-6.77,30.43
7,Saint Paul W-7 P-8,-6.32,26.79
7,Saint Paul W-7 P-9,0.37,30.81
7,Saint Paul W-7 P-10,-0.31,25.79
7,Saint Paul W-7 P-11,-4.26,31.52
7,Saint Paul W-7 P-12,-0.95,14.25
7,Saint Paul W-7 P-13,0.65,9.76
