Ward,Precinct1,Precinct,June_1st Registered,Total Votes,Voting %,Carter,Carter %,Paul ,Bill ,Dora,Scott,Dino,Abu,Mikki,Write IN
1,W-1 P-1,Saint Paul W-1 P-1,1191,633,53.15%,442,69.83%,57,26,30,2,46,17,13,0
1,W-1 P-2,Saint Paul W-1 P-2,2324,803,34.55%,547,68.12%,49,28,30,1,65,35,42,6
1,W-1 P-3,Saint Paul W-1 P-3,1916,468,24.43%,278,59.40%,30,40,20,6,33,24,36,1
1,W-1 P-4,Saint Paul W-1 P-4,1440,348,24.17%,222,63.79%,24,15,25,4,21,17,18,2
1,W-1 P-5,Saint Paul W-1 P-5,1390,363,26.12%,251,69.15%,20,6,21,2,13,20,30,0
1,W-1 P-6,Saint Paul W-1 P-6,2881,1012,35.13%,724,71.54%,42,31,52,5,54,24,75,5
1,W-1 P-7,Saint Paul W-1 P-7,1553,736,47.39%,511,69.43%,67,19,30,2,53,25,27,2
1,W-1 P-8,Saint Paul W-1 P-8,2241,839,37.44%,627,74.73%,55,30,29,3,44,28,21,2
1,W-1 P-9,Saint Paul W-1 P-9,2435,401,16.47%,211,52.62%,32,28,21,14,42,23,30,0
1,W-1 P-10,Saint Paul W-1 P-10,496,81,16.33%,38,46.91%,9,0,1,2,19,3,9,0
1,W-1 P-11,Saint Paul W-1 P-11,1298,202,15.56%,139,68.81%,16,10,9,2,13,6,6,1
1,W-1 P-12,Saint Paul W-1 P-12,344,154,44.77%,98,63.64%,19,10,10,2,11,0,1,3
1,W-1 P-13,Saint Paul W-1 P-13,1207,529,43.83%,346,65.41%,45,33,24,1,45,16,18,1
1,W-1 P-14,Saint Paul W-1 P-14,991,174,17.56%,98,56.32%,10,0,15,8,22,8,13,0
1,W-1 P-15,Saint Paul W-1 P-15,833,136,16.33%,56,41.18%,20,6,10,2,29,5,8,0
1,W-1 P-16,Saint Paul W-1 P-16,260,88,33.85%,60,68.18%,6,4,6,0,5,3,4,0
2,W-2 P-1,Saint Paul W-2 P-1,1633,819,50.15%,573,69.96%,58,66,21,0,62,12,26,1
2,W-2 P-2,Saint Paul W-2 P-2,1740,845,48.56%,556,65.80%,65,71,35,0,76,18,18,6
2,W-2 P-3,Saint Paul W-2 P-3,2872,1039,36.18%,563,54.19%,102,150,34,3,139,21,27,0
2,W-2 P-4,Saint Paul W-2 P-4,1585,653,41.20%,436,66.77%,42,46,37,0,58,12,20,2
2,W-2 P-5,Saint Paul W-2 P-5,2495,1040,41.68%,583,56.06%,82,187,30,3,108,24,21,2
2,W-2 P-6,Saint Paul W-2 P-6,660,232,35.15%,130,56.03%,22,32,9,4,19,7,8,1
2,W-2 P-7,Saint Paul W-2 P-7,2451,814,33.21%,462,56.76%,61,84,46,6,116,13,22,4
2,W-2 P-8,Saint Paul W-2 P-8,1323,363,27.44%,200,55.10%,29,32,22,3,48,9,16,4
2,W-2 P-9,Saint Paul W-2 P-9,2094,724,34.57%,476,65.75%,50,57,36,5,65,19,16,0
2,W-2 P-11,Saint Paul W-2 P-11,2863,870,30.39%,630,72.41%,45,50,19,3,72,32,19,0
2,W-2 P-12,Saint Paul W-2 P-12,1811,731,40.36%,459,62.79%,53,97,24,2,68,6,20,2
2,W-2 P-13,Saint Paul W-2 P-13,1591,610,38.34%,347,56.89%,44,92,30,3,48,18,25,3
2,W-2 P-14,Saint Paul W-2 P-14,1813,537,29.62%,291,54.19%,45,78,31,2,46,19,23,2
2,W-2 P-15,Saint Paul W-2 P-15,2911,598,20.54%,330,55.18%,32,74,52,5,61,18,21,5
3,W-3 P-1,Saint Paul W-3 P-1,2137,1229,57.51%,779,63.38%,148,46,43,7,145,32,26,3
3,W-3 P-2,Saint Paul W-3 P-2,2529,1407,55.63%,897,63.75%,144,67,38,0,195,21,39,6
3,W-3 P-3,Saint Paul W-3 P-3,2871,1367,47.61%,864,63.20%,152,72,40,4,165,24,39,7
3,W-3 P-4,Saint Paul W-3 P-4,1203,646,53.70%,411,63.62%,62,19,16,1,110,12,10,5
3,W-3 P-5,Saint Paul W-3 P-5,1914,685,35.79%,411,60.00%,70,39,33,0,94,14,22,2
3,W-3 P-6,Saint Paul W-3 P-6,2209,1083,49.03%,614,56.69%,141,58,28,4,185,17,33,3
3,W-3 P-7,Saint Paul W-3 P-7,1289,809,62.76%,672,83.07%,27,19,17,0,29,31,10,4
3,W-3 P-8,Saint Paul W-3 P-8,1674,876,52.33%,573,65.41%,67,63,17,5,112,16,16,7
3,W-3 P-9,Saint Paul W-3 P-9,2603,1314,50.48%,843,64.16%,132,39,40,3,199,24,29,5
3,W-3 P-10,Saint Paul W-3 P-10,1585,788,49.72%,428,54.31%,122,49,18,3,126,19,19,4
3,W-3 P-11,Saint Paul W-3 P-11,1948,422,21.66%,255,60.43%,44,32,16,2,45,13,15,0
3,W-3 P-12,Saint Paul W-3 P-12,1919,1043,54.35%,702,67.31%,78,59,41,2,113,14,33,1
3,W-3 P-13,Saint Paul W-3 P-13,2008,1018,50.70%,687,67.49%,93,52,26,5,105,18,30,2
3,W-3 P-14,Saint Paul W-3 P-14,3791,1924,50.75%,"1,127",58.58%,280,97,67,2,276,30,44,1
4,W-4 P-1,Saint Paul W-4 P-1,1694,842,49.70%,656,77.91%,47,13,32,2,38,24,23,7
4,W-4 P-2,Saint Paul W-4 P-2,1360,775,56.99%,673,86.84%,21,21,15,2,26,7,8,2
4,W-4 P-3,Saint Paul W-4 P-3,2822,923,32.71%,726,78.66%,24,16,38,5,28,40,46,0
4,W-4 P-4,Saint Paul W-4 P-4,1844,891,48.32%,618,69.36%,68,45,24,2,83,26,22,3
4,W-4 P-5,Saint Paul W-4 P-5,1355,635,46.86%,398,62.68%,63,32,22,2,80,19,13,6
4,W-4 P-6,Saint Paul W-4 P-6,1243,443,35.64%,309,69.75%,41,9,11,3,45,13,10,2
4,W-4 P-7,Saint Paul W-4 P-7,1811,914,50.47%,584,63.89%,110,48,22,2,110,18,19,1
4,W-4 P-8,Saint Paul W-4 P-8,2315,1000,43.20%,715,71.50%,75,24,45,5,64,25,41,6
4,W-4 P-9,Saint Paul W-4 P-9,1700,668,39.29%,468,70.06%,44,21,26,2,51,33,21,2
4,W-4 P-10,Saint Paul W-4 P-10,2117,1066,50.35%,776,72.80%,62,39,34,1,85,19,49,1
4,W-4 P-11,Saint Paul W-4 P-11,2231,1081,48.45%,733,67.81%,105,40,34,4,114,29,18,4
4,W-4 P-12,Saint Paul W-4 P-12,1842,611,33.17%,439,71.85%,37,12,29,3,28,33,29,1
4,W-4 P-13,Saint Paul W-4 P-13,1502,582,38.75%,396,68.04%,41,26,16,11,51,16,25,0
4,W-4 P-14,Saint Paul W-4 P-14,1561,677,43.37%,502,74.15%,26,16,22,9,66,13,21,2
4,W-4 P-15,Saint Paul W-4 P-15,1600,745,46.56%,520,69.80%,48,26,21,5,62,35,26,2
5,W-5 P-1,Saint Paul W-5 P-1,2100,895,42.62%,541,60.45%,91,30,27,2,129,21,53,1
5,W-5 P-2,Saint Paul W-5 P-2,2589,1364,52.68%,859,62.98%,132,42,42,6,226,18,33,6
5,W-5 P-3,Saint Paul W-5 P-3,2128,945,44.41%,606,64.13%,59,52,44,3,99,31,47,4
5,W-5 P-4,Saint Paul W-5 P-4,3798,870,22.91%,500,57.47%,83,28,37,7,145,20,50,0
5,W-5 P-5,Saint Paul W-5 P-5,2106,247,11.73%,107,43.32%,15,34,18,5,34,11,19,4
5,W-5 P-6,Saint Paul W-5 P-6,2011,439,21.83%,180,41.00%,46,40,36,8,92,17,20,0
5,W-5 P-7,Saint Paul W-5 P-7,1331,251,18.86%,109,43.43%,29,17,22,4,46,4,18,2
5,W-5 P-8,Saint Paul W-5 P-8,2559,386,15.08%,182,47.15%,43,32,38,1,66,9,15,0
5,W-5 P-9,Saint Paul W-5 P-9,1917,343,17.89%,162,47.23%,39,12,27,5,65,18,13,2
5,W-5 P-10,Saint Paul W-5 P-10,681,102,14.98%,58,56.86%,7,12,7,0,14,2,2,0
6,W-6 P-1,Saint Paul W-6 P-1,1526,487,31.91%,250,51.33%,74,23,15,6,90,12,17,0
6,W-6 P-2,Saint Paul W-6 P-2,1342,550,40.98%,337,61.27%,46,23,29,5,79,15,16,0
6,W-6 P-3,Saint Paul W-6 P-3,1685,381,22.61%,150,39.37%,45,26,9,10,100,14,23,4
6,W-6 P-4,Saint Paul W-6 P-4,2050,347,16.93%,156,44.96%,34,7,15,3,107,7,17,1
6,W-6 P-5,Saint Paul W-6 P-5,2444,460,18.82%,206,44.78%,48,36,32,7,87,14,30,0
