Ward,Precinct1,Precinct,June_1st Registered,Total Votes,Vote_Yes,Vote_No,Yes%,Voting %
1,W-1 P-1,Saint Paul W-1 P-1,1191,633,310,323,48.97%,53.15%
1,W-1 P-2,Saint Paul W-1 P-2,2324,807,488,319,60.47%,34.55%
1,W-1 P-3,Saint Paul W-1 P-3,1916,458,285,173,62.23%,24.43%
1,W-1 P-4,Saint Paul W-1 P-4,1440,348,235,113,67.53%,24.17%
1,W-1 P-5,Saint Paul W-1 P-5,1390,360,283,77,78.61%,26.12%
1,W-1 P-6,Saint Paul W-1 P-6,2881,998,637,361,63.83%,35.13%
1,W-1 P-7,Saint Paul W-1 P-7,1553,746,356,390,47.72%,47.39%
1,W-1 P-8,Saint Paul W-1 P-8,2241,819,530,289,64.71%,37.44%
1,W-1 P-9,Saint Paul W-1 P-9,2435,377,247,130,65.52%,16.47%
1,W-1 P-10,Saint Paul W-1 P-10,496,83,44,39,53.01%,16.33%
1,W-1 P-11,Saint Paul W-1 P-11,1298,185,130,55,70.27%,15.56%
1,W-1 P-12,Saint Paul W-1 P-12,344,159,53,106,33.33%,44.77%
1,W-1 P-13,Saint Paul W-1 P-13,1207,522,256,266,49.04%,43.83%
1,W-1 P-14,Saint Paul W-1 P-14,991,175,127,48,72.57%,17.56%
1,W-1 P-15,Saint Paul W-1 P-15,833,135,68,67,50.37%,16.33%
1,W-1 P-16,Saint Paul W-1 P-16,260,86,51,35,59.30%,33.85%
2,W-2 P-1,Saint Paul W-2 P-1,1633,813,407,406,50.06%,50.15%
2,W-2 P-2,Saint Paul W-2 P-2,1740,837,357,480,42.65%,48.56%
2,W-2 P-3,Saint Paul W-2 P-3,2872,1011,554,457,54.80%,36.18%
2,W-2 P-4,Saint Paul W-2 P-4,1585,648,289,359,44.60%,41.20%
2,W-2 P-5,Saint Paul W-2 P-5,2495,1039,606,433,58.33%,41.68%
2,W-2 P-6,Saint Paul W-2 P-6,660,231,155,76,67.10%,35.15%
2,W-2 P-7,Saint Paul W-2 P-7,2451,800,407,393,50.88%,33.21%
2,W-2 P-8,Saint Paul W-2 P-8,1323,366,177,189,48.36%,27.44%
2,W-2 P-9,Saint Paul W-2 P-9,2094,714,414,300,57.98%,34.57%
2,W-2 P-11,Saint Paul W-2 P-11,2863,866,556,310,64.20%,30.39%
2,W-2 P-12,Saint Paul W-2 P-12,1811,721,409,312,56.73%,40.36%
2,W-2 P-13,Saint Paul W-2 P-13,1591,604,335,269,55.46%,38.34%
2,W-2 P-14,Saint Paul W-2 P-14,1813,540,326,214,60.37%,29.62%
2,W-2 P-15,Saint Paul W-2 P-15,2911,588,396,192,67.35%,20.54%
3,W-3 P-1,Saint Paul W-3 P-1,2137,1213,479,734,39.49%,57.51%
3,W-3 P-2,Saint Paul W-3 P-2,2529,1400,585,815,41.79%,55.63%
3,W-3 P-3,Saint Paul W-3 P-3,2871,1361,617,744,45.33%,47.61%
3,W-3 P-4,Saint Paul W-3 P-4,1203,638,249,389,39.03%,53.70%
3,W-3 P-5,Saint Paul W-3 P-5,1914,679,338,341,49.78%,35.79%
3,W-3 P-6,Saint Paul W-3 P-6,2209,1082,451,631,41.68%,49.03%
3,W-3 P-7,Saint Paul W-3 P-7,1289,825,606,219,73.45%,62.76%
3,W-3 P-8,Saint Paul W-3 P-8,1674,873,375,498,42.96%,52.33%
3,W-3 P-9,Saint Paul W-3 P-9,2603,1306,562,744,43.03%,50.48%
3,W-3 P-10,Saint Paul W-3 P-10,1585,773,259,514,33.51%,49.72%
3,W-3 P-11,Saint Paul W-3 P-11,1948,411,256,155,62.29%,21.66%
3,W-3 P-12,Saint Paul W-3 P-12,1919,1039,505,534,48.60%,54.35%
3,W-3 P-13,Saint Paul W-3 P-13,2008,1017,545,472,53.59%,50.70%
3,W-3 P-14,Saint Paul W-3 P-14,3791,1917,779,1138,40.64%,50.75%
4,W-4 P-1,Saint Paul W-4 P-1,1694,829,498,331,60.07%,49.70%
4,W-4 P-2,Saint Paul W-4 P-2,1360,769,376,393,48.89%,56.99%
4,W-4 P-3,Saint Paul W-4 P-3,2822,916,707,209,77.18%,32.71%
4,W-4 P-4,Saint Paul W-4 P-4,1844,889,471,418,52.98%,48.32%
4,W-4 P-5,Saint Paul W-4 P-5,1355,635,250,385,39.37%,46.86%
