WardCode,PrecinctName,Precinct_Vote,Precinct_Register,Voting%,Total_WardVotes,Total_WardRegistered,Projected_Weight,Actual_Weight,Representation,H_Registered,H_Vote15,H_Density_Vote%,L_Registered,L_Vote15,L_Density_Vote%,H_Density%
1.0,Saint Paul W-1 P-1,279.0,1126,24.78,2637.0,20737,5.43,10.58,5.15,175,18.0,10.290000000000001,951,261.0,27.439999999999998,15.540000000000001
1.0,Saint Paul W-1 P-10,35.0,442,7.920000000000001,2637.0,20737,2.13,1.3299999999999998,-0.8,67,4.0,5.970000000000001,375,31.0,8.27,15.160000000000002
1.0,Saint Paul W-1 P-11,123.0,1067,11.53,2637.0,20737,5.15,4.66,-0.4899999999999993,452,58.0,12.83,615,65.0,10.57,42.36
1.0,Saint Paul W-1 P-12,66.0,328,20.12,2637.0,20737,1.58,2.5,0.92,106,15.0,14.149999999999999,222,51.0,22.97,32.32
1.0,Saint Paul W-1 P-13,175.0,1135,15.42,2637.0,20737,5.47,6.64,1.17,307,31.0,10.100000000000001,828,144.0,17.39,27.05
1.0,Saint Paul W-1 P-14,126.0,925,13.62,2637.0,20737,4.46,4.78,0.3200000000000003,265,66.0,24.91,660,60.0,9.09,28.65
1.0,Saint Paul W-1 P-15,37.0,700,5.29,2637.0,20737,3.38,1.4,-1.98,81,5.0,6.17,619,32.0,5.17,11.57
1.0,Saint Paul W-1 P-16,31.0,235,13.19,2637.0,20737,1.13,1.18,0.05000000000000005,20,0.0,0.0,215,31.0,14.42,8.51
1.0,Saint Paul W-1 P-2,268.0,2046,13.1,2637.0,20737,9.87,10.16,0.2900000000000009,669,43.0,6.43,1377,225.0,16.34,32.7
1.0,Saint Paul W-1 P-3,174.0,1792,9.71,2637.0,20737,8.64,6.6000000000000005,-2.04,177,3.0,1.69,1615,171.0,10.59,9.879999999999999
1.0,Saint Paul W-1 P-4,137.0,1296,10.57,2637.0,20737,6.25,5.2,-1.0499999999999998,18,1.0,5.56,1278,136.0,10.639999999999999,1.39
1.0,Saint Paul W-1 P-5,144.0,1275,11.29,2637.0,20737,6.15,5.46,-0.6900000000000004,85,4.0,4.71,1190,140.0,11.76,6.67
1.0,Saint Paul W-1 P-6,331.0,2645,12.509999999999998,2637.0,20737,12.75,12.55,-0.1999999999999993,257,21.0,8.17,2388,310.0,12.98,9.719999999999999
1.0,Saint Paul W-1 P-7,264.0,1444,18.28,2637.0,20737,6.959999999999999,10.01,3.0500000000000007,227,9.0,3.9600000000000004,1217,255.0,20.95,15.72
1.0,Saint Paul W-1 P-8,269.0,2104,12.79,2637.0,20737,10.15,10.2,0.04999999999999893,1136,119.0,10.48,968,150.0,15.5,53.99
1.0,Saint Paul W-1 P-9,178.0,2177,8.18,2637.0,20737,10.5,6.75,-3.75,265,12.0,4.53,1912,166.0,8.68,12.17
2.0,Saint Paul W-2 P-1,434.0,1571,27.63,4884.0,26001,6.04,8.89,2.8500000000000005,298,20.0,6.710000000000001,1273,414.0,32.519999999999996,18.970000000000002
2.0,Saint Paul W-2 P-11,351.0,2841,12.35,4884.0,26001,10.93,7.19,-3.7399999999999993,2817,344.0,12.21,24,7.0,29.17,99.16
2.0,Saint Paul W-2 P-13,347.0,1500,23.13,4884.0,26001,5.7700000000000005,7.1,1.3299999999999992,355,56.0,15.770000000000001,1145,291.0,25.41,23.669999999999998
2.0,Saint Paul W-2 P-14,304.0,1669,18.21,4884.0,26001,6.419999999999999,6.22,-0.1999999999999993,84,5.0,5.949999999999999,1585,299.0,18.86,5.029999999999999
2.0,Saint Paul W-2 P-15,290.0,2574,11.27,4884.0,26001,9.9,5.94,-3.96,328,27.0,8.23,2246,263.0,11.709999999999999,12.740000000000002
2.0,Saint Paul W-2 P-2,450.0,1653,27.22,4884.0,26001,6.36,9.21,2.8500000000000005,278,31.0,11.15,1375,419.0,30.470000000000002,16.82
2.0,Saint Paul W-2 P-3,446.0,2571,17.349999999999998,4884.0,26001,9.89,9.13,-0.7599999999999998,575,29.0,5.04,1996,417.0,20.89,22.36
2.0,Saint Paul W-2 P-4,298.0,1519,19.62,4884.0,26001,5.84,6.1,0.2599999999999998,463,41.0,8.86,1056,257.0,24.34,30.48
2.0,Saint Paul W-2 P-5,524.0,2323,22.56,4884.0,26001,8.93,10.73,1.8000000000000007,367,38.0,10.35,1956,486.0,24.85,15.8
2.0,Saint Paul W-2 P-6,104.0,603,17.25,4884.0,26001,2.32,2.13,-0.18999999999999995,445,70.0,15.73,158,34.0,21.52,73.8
2.0,Saint Paul W-2 P-7,375.0,2194,17.09,4884.0,26001,8.44,7.68,-0.7599999999999998,1118,114.0,10.2,1076,261.0,24.26,50.96000000000001
2.0,Saint Paul W-2 P-8,157.0,1211,12.96,4884.0,26001,4.66,3.2099999999999995,-1.4500000000000006,1008,121.0,12.0,203,36.0,17.73,83.24000000000001
2.0,Saint Paul W-2 P-9,367.0,1998,18.37,4884.0,26001,7.68,7.51,-0.16999999999999993,1914,355.0,18.55,84,12.0,14.29,95.8
3.0,Saint Paul W-3 P-1,399.0,1986,20.09,4939.0,27612,7.19,8.08,0.8899999999999997,67,4.0,5.970000000000001,1919,395.0,20.580000000000002,3.37
