Schools,Address,Latitude,Longitude
Adams Magnet Elementary,"615 S Chatsworth St, St Paul, MN 55102",44.923751,-93.143046
American Indian Magnet School,"1075 3rd St E, St Paul, MN 55106",44.9573645,-93.0549594
Andersen Community,"1098 Andersen Ln, Minneapolis, MN 55407",44.9533496,-93.2586769
Anishinabe Academy,"3100 E 28th St, Minneapolis, MN 55406",44.952659,-93.2264707
Anthony Middle School,"5757 Irving Ave S, Minneapolis, MN 55419",44.89846199999999,-93.29895100000002
Anwatin Middle Com & Spanish D I,"256 Upton Ave S, Minneapolis, MN 55405",44.9736121,-93.3164702
Armatage Elementary,"2501 W 56th St, Minneapolis, MN 55410",44.901004,-93.311387
Bancroft Elementary,"1315 E 38th St, Minneapolis, MN 55407",44.9337991,-93.2555732
Barton Open Elementary,"4237 Colfax Ave S, Minneapolis, MN 55409",44.92545399999999,-93.29121889999999
Battle Creek Elementary School,"60 Ruth St S, St Paul, MN 55119",44.9397245,-93.0138965
Battle Creek Middle,"2121 N Park Dr, St Paul, MN 55119",44.9456836,-93.0117856
Benjamin E Mays Magnet,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223
Bethune Elementary,"919 Emerson Ave N, Minneapolis, MN 55411",44.9876488,-93.2953187
Bruce F Vento Elementary,"409 Case Ave E, St Paul, MN 55130",44.9708968,-93.0829014
Bryn Mawr Elementary,"252 Upton Ave S, Minneapolis, MN 55405",44.9739702,-93.31699139999999
Burroughs Elementary,"1601 W 50th St, Minneapolis, MN 55419",44.91170090000001,-93.3004194
Capitol Hill Magnet/Rondo,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223
Central Senior High,"275 Lexington Pkwy N., St Paul, MN 55104",44.9494432,-93.1481055
Chelsea Heights Elementary,"1557 Huron St, St Paul, MN 55108",44.9879627,-93.1560082
Cherokee Heights Elementary School,"694 S Charlton St, St Paul, MN 55107",44.9251564,-93.0954308
Cityview Community,"3350 N 4th St, Minneapolis, MN 55412",45.01605439999999,-93.2839668
