School,School_Num,Grade,Total_Tested,Proficiency,White%,Asian%,Black%,ELL%,SPED%,FRPL%,Ranking,Address,Latitude,Longitude,Subject
Anishinabe Academy,675.0,12.0,109.0,11.01,0.0,0.0,4.0,0.0,27.0,94.0,1,"3100 E 28th St, Minneapolis, MN 55406",44.952659000000004,-93.22647070000001,Math
Armatage Elementary,309.0,12.0,279.0,83.15,70.0,1.0,19.0,8.0,9.0,21.0,4,"2501 W 56th St, Minneapolis, MN 55410",44.901004,-93.311387,Math
Bancroft Elementary,315.0,12.0,225.0,34.22,15.0,2.0,47.0,34.0,20.0,83.0,1,"1315 E 38th St, Minneapolis, MN 55407",44.9337991,-93.2555732,Math
Bethune Elementary,321.0,12.0,127.0,11.81,2.0,3.0,84.0,6.0,31.0,94.0,1,"919 Emerson Ave N, Minneapolis, MN 55411",44.987648799999995,-93.29531870000001,Math
Bryn Mawr Elementary,747.0,12.0,147.0,14.29,10.0,22.0,52.0,20.0,24.0,85.0,1,"252 Upton Ave S, Minneapolis, MN 55405",44.973970200000004,-93.3169914,Math
Burroughs Elementary,330.0,12.0,364.0,82.97,78.0,4.0,9.0,4.0,10.0,13.0,4,"1601 W 50th St, Minneapolis, MN 55419",44.91170090000001,-93.3004194,Math
Cityview Community,879.0,12.0,111.0,18.92,1.0,5.0,78.0,10.0,26.0,93.0,1,"3350 N 4th St, Minneapolis, MN 55412",45.01605439999999,-93.2839668,Math
Dowling Elementary,540.0,12.0,238.0,59.66,46.0,0.0,37.0,12.0,13.0,48.0,4,"3900 W River Pkwy, Minneapolis, MN 55406",44.932331500000004,-93.20396540000002,Math
Emerson Elementary,780.0,12.0,219.0,29.22,13.0,1.0,8.0,53.0,8.0,75.0,1,"1421 Spruce Pl, Minneapolis, MN 55403",44.968248100000004,-93.2804579,Math
Green Central Park Elementary,768.0,12.0,139.0,20.86,4.0,2.0,28.0,57.0,14.0,94.0,1,"3416 4th Ave S, Minneapolis, MN 55408",44.94002529999999,-93.2710938,Math
Hale Elementary,246.0,7.0,247.0,85.43,69.0,2.0,7.0,2.0,13.0,15.0,4,"5330 13th Ave S, Minneapolis, MN 55417",44.9061685,-93.2567911,Math
Hall International,861.0,12.0,93.0,17.2,6.0,0.0,77.0,5.0,20.0,98.0,1,"1601 Aldrich Ave N, Minneapolis, MN 55411",44.9958245,-93.28994,Math
Howe Elementary,396.0,12.0,215.0,69.77,60.0,3.0,13.0,9.0,15.0,37.0,4,"3733 43rd Ave S, Minneapolis, MN 55406",44.9348426,-93.2108858,Math
Jenny Lind Elementary,453.0,12.0,196.0,20.41,5.0,12.0,68.0,11.0,20.0,92.0,1,"5025 Bryant Ave N, Minneapolis, MN 55430",45.0466854,-93.2923106,Math
