School,Grade,Total_Tested,Proficiency,White%,Asian%,Black%,ELL%,SPED%,FRPL%,Ranking,Address,Latitude,Longitude
Adams Magnet Elementary,12.0,265.0,47.92,26.0,0.0,13.0,20.0,8.0,49.0,4,"615 S Chatsworth St, St Paul, MN 55102",44.923751,-93.143046
American Indian Magnet School,33.0,392.0,15.82,5.0,28.0,16.0,28.0,21.0,83.0,1,"1075 3rd St E, St Paul, MN 55106",44.957364500000004,-93.0549594
Battle Creek Elementary School,12.0,203.0,35.47,10.0,35.0,32.0,36.0,15.0,76.0,2,"60 Ruth St S, St Paul, MN 55119",44.9397245,-93.0138965
Battle Creek Middle,21.0,731.0,25.44,5.0,40.0,36.0,32.0,16.0,80.0,1,"2121 N Park Dr, St Paul, MN 55119",44.9456836,-93.0117856
Benjamin E Mays Magnet,12.0,181.0,19.89,2.0,13.0,72.0,22.0,18.0,83.0,1,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223
Bruce F Vento Elementary,12.0,228.0,22.37,4.0,46.0,31.0,39.0,17.0,91.0,1,"409 Case Ave E, St Paul, MN 55130",44.9708968,-93.08290140000001
Capitol Hill Magnet/Rondo,33.0,1044.0,69.64,37.0,25.0,24.0,9.0,6.0,44.0,4,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223
Chelsea Heights Elementary,12.0,220.0,56.36,46.0,10.0,22.0,13.0,14.0,50.0,4,"1557 Huron St, St Paul, MN 55108",44.987962700000004,-93.1560082
Cherokee Heights Elementary School,12.0,91.0,20.88,12.0,8.0,23.0,31.0,21.0,81.0,1,"694 S Charlton St, St Paul, MN 55107",44.9251564,-93.0954308
Como Park Elementary,12.0,212.0,39.62,12.0,46.0,22.0,43.0,17.0,81.0,3,"780 W Wheelock Pkwy, St Paul, MN 55117",44.978207700000006,-93.1331767
Creative Arts Secondary School,21.0,231.0,34.2,17.0,22.0,33.0,16.0,13.0,76.0,2,"65 E Kellogg Blvd, St Paul, MN 55101",44.9451284,-93.0909188
Crossroads Montessori,12.0,86.0,41.86,21.0,22.0,22.0,15.0,12.0,63.0,3,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475
Crossroads Science Program,12.0,146.0,34.93,9.0,26.0,47.0,19.0,12.0,75.0,2,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475
Daytons Bluff Elementary,12.0,142.0,18.31,8.0,23.0,44.0,25.0,20.0,83.0,1,"262 Bates Ave, St Paul, MN 55106",44.954667,-93.0666879
Eastern Heights Elementary,12.0,139.0,28.06,11.0,40.0,22.0,45.0,19.0,76.0,1,"2001 Margaret St, St Paul, MN 55119",44.96158699999999,-93.0166144
Expo For Excellence Elementary Sch,12.0,313.0,61.02,54.0,5.0,26.0,11.0,15.0,36.0,4,"540 Warwick St, St Paul, MN 55116",44.9251799,-93.1621718
Farnsworth Aerospace Lower,7.0,206.0,32.52,8.0,68.0,11.0,57.0,9.0,73.0,2,"1290 Arcade St, St Paul, MN 55106",44.98080359999999,-93.0640926
