School,Num,Grade,Prof,White_Prof,POC_Prof,Black_Prof,Male_Prof,Female_Prof,FRPL_Prof,NonFRPL_Prof
Adams Magnet Elementary,410.0,3.0,0.5357,0.9231,0.3621,0.0909,0.561,0.5116,0.2308,0.8
Adams Magnet Elementary,410.0,4.0,0.4167,0.6842,0.3385,,0.5,0.3478,0.3111,0.5385
Adams Magnet Elementary,410.0,5.0,0.2653,0.5,0.1892,0.0,0.234,0.2941,0.125,0.4
John A. Johnson Achievement Plus El.,415.0,3.0,0.1636,,,0.1,0.35,0.0571,0.1739,
John A. Johnson Achievement Plus El.,415.0,4.0,0.12,,,0.05,0.1379,0.0952,0.125,
John A. Johnson Achievement Plus El.,415.0,5.0,0.1321,,,0.1667,0.0769,0.1852,0.1489,
Battle Creek Elementary School,422.0,3.0,0.3788,0.3,0.3929,0.4074,0.4412,0.3125,0.375,0.4
Battle Creek Elementary School,422.0,4.0,0.4521,,,0.3,0.5517,0.3864,0.4259,0.5263
Battle Creek Elementary School,422.0,5.0,0.4848,,,0.3684,0.4651,0.5217,0.4348,0.6
Benjamin E Mays Magnet,424.0,3.0,0.2586,,,0.2222,0.2,0.3214,0.2245,
Benjamin E Mays Magnet,424.0,4.0,0.1852,,,0.1538,0.1111,0.2593,0.1778,
Benjamin E Mays Magnet,424.0,5.0,0.0635,,,0.0238,0.0714,0.0476,0.0588,0.0833
Chelsea Heights Elementary,425.0,3.0,0.5946,0.75,0.4118,0.5,0.6667,0.5366,0.4688,0.6905
Chelsea Heights Elementary,425.0,4.0,0.493,0.7143,0.3488,0.3889,0.4595,0.5294,0.4,0.6129
Chelsea Heights Elementary,425.0,5.0,0.4933,0.5,0.4878,0.375,0.4884,0.5,0.3243,0.6579
Cherokee Heights Elementary School,428.0,3.0,0.2059,,,,0.2222,0.1875,0.2222,
Cherokee Heights Elementary School,428.0,4.0,0.0667,,,,0.0667,0.0667,0.04,
Cherokee Heights Elementary School,428.0,5.0,0.2222,,,,0.3077,0.1429,0.2609,
Como Park Elementary,431.0,3.0,0.2769,,,0.2,0.3529,0.1935,0.2364,0.5
Como Park Elementary,431.0,4.0,0.5067,,,0.3077,0.4545,0.5806,0.4426,0.7857
Como Park Elementary,431.0,5.0,0.4366,0.7857,0.3509,0.2308,0.3529,0.5135,0.3704,0.6471
Daytons Bluff Elementary,433.0,3.0,0.2041,,,0.1579,0.2759,0.1,0.2,
Daytons Bluff Elementary,433.0,4.0,0.2093,,,0.1111,0.1739,0.25,0.2059,
Daytons Bluff Elementary,433.0,5.0,0.125,,,0.0385,0.1379,0.1053,0.119,
Expo For Excellence Elementary Sch,435.0,3.0,0.6346,0.8,0.4091,0.3462,0.7288,0.5111,0.2424,0.8169
Expo For Excellence Elementary Sch,435.0,4.0,0.7009,0.8824,0.5357,0.4667,0.6964,0.7059,0.5,0.8644
Expo For Excellence Elementary Sch,435.0,5.0,0.4954,0.623,0.3333,0.3077,0.4769,0.5227,0.2162,0.6389
Bruce F Vento Elementary,449.0,3.0,0.2466,,,0.25,0.2857,0.2105,0.2537,
Bruce F Vento Elementary,449.0,4.0,0.2464,,,0.1111,0.2703,0.2188,0.2333,
Bruce F Vento Elementary,449.0,5.0,0.2771,,,0.2308,0.2708,0.2857,0.2692,
Eastern Heights Elementary,452.0,3.0,0.1667,,,0.0714,0.1923,0.125,0.1613,0.1818
Eastern Heights Elementary,452.0,4.0,0.2979,,,,0.4,0.1818,0.25,0.4545
