School,Num,Grade,Prof,White_Prof,POC_Prof,Black_Prof,Male_Prof,Female_Prof,FRPL_Prof,NonFRPL_Prof
Sp_District_All,0.0,3.0,0.3525,0.6891,0.2558,0.227,0.3281,0.3768,0.2162,0.6019
Sp_District_All,0.0,4.0,0.3463,0.7038,0.2547,0.1975,0.3293,0.3646,0.2267,0.5962
Sp_District_All,0.0,5.0,0.4658,0.7725,0.3833,0.3072,0.4259,0.5066,0.3407,0.7223
Sp_District_All,0.0,6.0,0.3847,0.7359,0.3013,0.2708,0.3539,0.4189,0.2689,0.6507
Sp_District_All,0.0,7.0,0.3716,0.7137,0.289,0.2188,0.3336,0.4129,0.264,0.6129
Sp_District_All,0.0,8.0,0.3918,0.7479,0.2987,0.2288,0.3644,0.4213,0.278,0.6347
Sp_District_All,0.0,10.0,0.4586,0.7739,0.3704,0.2714,0.4244,0.4929,0.3416,0.6713
Central Senior High,210.0,10.0,0.6639,0.8667,0.4949,0.4167,0.6201,0.7065,0.4161,0.8364
Creative Arts Secondary School,211.0,6.0,0.4022,0.5625,0.3684,0.3704,0.2647,0.4828,0.3378,0.6667
Creative Arts Secondary School,211.0,7.0,0.25,0.4167,0.2237,0.1818,0.2424,0.2545,0.2174,0.3684
Creative Arts Secondary School,211.0,8.0,0.3922,0.7273,0.3,0.3125,0.4091,0.3793,0.2813,0.5789
Creative Arts Secondary School,211.0,10.0,0.4286,,,0.2727,0.3846,0.4545,0.3,0.6
Como Park Senior High,212.0,10.0,0.2915,0.7193,0.1632,0.1548,0.2212,0.3507,0.1781,0.4554
Harding Senior High,215.0,10.0,0.4005,0.4545,0.3972,0.3231,0.3436,0.4615,0.3891,0.4314
Highland Park Senior High,220.0,10.0,0.6339,0.8296,0.5025,0.377,0.5954,0.6748,0.4275,0.7778
Humboldt High School,225.0,6.0,0.2422,0.3846,0.2261,0.3226,0.2206,0.2667,0.2252,0.3529
Humboldt High School,225.0,7.0,0.2133,,,0.1714,0.1728,0.2609,0.2016,0.2857
Humboldt High School,225.0,8.0,0.224,,,0.1579,0.1778,0.2688,0.2152,0.28
Humboldt High School,225.0,10.0,0.2197,,,0.1915,0.1948,0.2396,0.2201,0.2143
Johnson Senior High,230.0,10.0,0.4613,0.6585,0.4297,0.2055,0.4333,0.4898,0.4135,0.65
Open World Learning Secondary,250.0,6.0,0.6563,0.8056,0.4643,,0.6216,0.7037,0.2778,0.8043
Open World Learning Secondary,250.0,7.0,0.6571,0.7949,0.4839,,0.5714,0.7429,0.381,0.7755
Open World Learning Secondary,250.0,8.0,0.6061,0.697,0.5152,0.1818,0.6,0.619,0.4348,0.6977
Open World Learning Secondary,250.0,10.0,0.6176,0.75,0.4286,,0.7,0.5526,0.2222,0.76
Washington Tech Secondary Magnet,252.0,6.0,0.269,0.4118,0.2609,0.241,0.2544,0.2857,0.2545,0.3659
Washington Tech Secondary Magnet,252.0,7.0,0.3271,0.375,0.3246,0.2447,0.283,0.3704,0.3069,0.4545
Washington Tech Secondary Magnet,252.0,8.0,0.2469,0.625,0.2273,0.1724,0.2381,0.2564,0.218,0.4857
Washington Tech Secondary Magnet,252.0,10.0,0.4083,0.5333,0.4015,0.2963,0.3913,0.4297,0.3765,0.6471
