School,Num,Grade,Prof,White_Prof,POC_Prof,Black_Prof,Male_Prof,Female_Prof,FRPL_Prof,NonFRPL_Prof
Adams Magnet Elementary,410.0,5,0.3402,0.5833,0.2603,0.2,0.3043,0.3725,0.1064,0.56
John A. Johnson Achievement Plus El.,415.0,5,0.1852,,,0.1667,0.1852,0.1852,0.1667,
Battle Creek Elementary School,422.0,5,0.4154,,,0.3158,0.3721,0.5,0.4,0.45
Benjamin E Mays Magnet,424.0,5,0.0923,,,0.0682,0.1163,0.0455,0.0566,0.25
Chelsea Heights Elementary,425.0,5,0.5467,0.6471,0.4634,0.5,0.5116,0.5938,0.3514,0.7368
Cherokee Heights Elementary School,428.0,5,0.1481,,,,0.2308,0.0714,0.1739,
Como Park Elementary,431.0,5,0.2394,0.5,0.1754,0.3077,0.2059,0.2703,0.2037,0.3529
Daytons Bluff Elementary,433.0,5,0.1064,,,0.04,0.1071,0.1053,0.122,
Expo For Excellence Elementary Sch,435.0,5,0.5421,0.6885,0.3478,0.28,0.5156,0.5814,0.2286,0.6944
Bruce F Vento Elementary,449.0,5,0.1446,,,0.1154,0.1042,0.2,0.1282,
Eastern Heights Elementary,452.0,5,0.2,,,,0.2692,0.125,0.1316,0.4167
Four Seasons Elementary,460.0,5,0.1067,,,0.0811,0.0645,0.1364,0.0656,0.2857
L'Etoile Du Nord French Immersion U,462.0,5,0.5875,0.725,0.45,0.7333,0.5556,0.6038,0.375,0.6786
Frost Lake Elementary School,464.0,5,0.1646,,,0.0833,0.1795,0.15,0.1667,0.1538
Crossroads Montessori,465.0,5,0.2759,,,,0.25,0.3077,0.1429,0.4
Crossroads Science Program,466.0,5,0.2041,,,0.08,0.2143,0.1905,0.1429,
Galtier Elementary School,467.0,5,0.0,,,0.0,,0.0,0.0,
Groveland Park Elementary,476.0,5,0.55,0.7,0.4,0.2857,0.4878,0.6154,0.3333,0.7273
Hamline Elementary School,482.0,5,0.2045,,,0.12,0.25,0.15,0.1333,0.3571
Jie Ming Mandarin Immersion Academy,483.0,5,0.8571,,,,,0.8462,,0.9286
The Heights Community School,488.0,5,0.1014,,,0.0,0.0976,0.1071,0.1087,0.087
Hazel Park Preparatory Academy,489.0,5,0.1346,,,0.1667,0.1481,0.12,0.14,
Hazel Park Preparatory Academy,489.0,8,0.1071,,,0.0333,0.1538,0.0667,0.1111,0.0833
Highland Park Elementary,491.0,5,0.3056,0.65,0.1731,0.1143,0.275,0.3438,0.1111,0.6296
Jj Hill Montessori,493.0,5,0.3261,0.6,0.1154,0.0,0.3077,0.35,0.0,0.5769
Capitol Hill Magnet/Rondo,494.0,5,0.6216,0.9153,0.427,0.2813,0.6143,0.6282,0.4179,0.7901
Capitol Hill Magnet/Rondo,494.0,8,0.5149,0.8312,0.32,0.2069,0.5463,0.4787,0.2841,0.693
Highwood Hills Elementary,496.0,5,0.1111,,,0.0526,0.0625,0.15,0.1176,
Jackson Preparatory Elementary,500.0,5,0.2157,,,0.125,0.2308,0.2,0.1333,
Horace Mann School,518.0,5,0.641,0.7255,0.4815,0.2,0.7333,0.5152,0.2222,0.7667
Maxfield Elementary School,524.0,5,0.075,,,0.0,0.0,0.12,0.0968,
Mississippi Creative Arts Elementary,527.0,5,0.1899,,,0.1429,0.2286,0.1591,0.1618,0.3636
Linwood Monroe Arts Plus Upper,528.0,5,0.1807,0.4375,0.1194,0.0,0.1429,0.2195,0.0833,0.4348
Linwood Monroe Arts Plus Upper,528.0,8,0.3421,0.6585,0.1644,0.1143,0.3556,0.3333,0.1912,0.5652
Nokomis Montessori North Campus,533.0,5,0.3684,0.6154,0.24,,0.381,0.3529,0.2222,0.5
Nokomis Montessori South Campus,534.0,5,0.2973,,,,0.3,0.2941,0.2778,0.3158
Phalen Lake Hmong Studies Magnet,541.0,5,0.1753,,,,0.1818,0.1698,0.1829,0.1333
Randolph Heights Elementary,545.0,5,0.6567,0.75,0.5185,,0.6452,0.6667,0.4286,0.7609
Riverview West School Of Excellence,551.0,5,0.08,,,0.0769,0.0952,0.069,0.0833,0.0714
Paul & Sheila Wellstone Elementary,552.0,5,0.1809,,,0.1538,0.2545,0.0769,0.141,0.375
St. Anthony Park Elementary,557.0,5,0.6286,0.925,0.2333,0.0769,0.5625,0.6842,0.2609,0.8085
Saint Paul Music Academy,558.0,5,0.1182,,,0.0385,0.1556,0.0923,0.1176,
Obama Service Learning Elementary,578.0,5,0.0435,,,0.0313,0.0435,0.0435,0.0455,
American Indian Magnet School,579.0,5,0.0441,,,0.0,0.0606,0.0286,0.0476,
American Indian Magnet School,579.0,8,0.1569,,,0.0,0.1429,0.1739,0.1818,
Battle Creek Middle,310.0,8,0.1234,0.3333,0.1121,0.0964,0.1181,0.1296,0.1017,0.1897
Farnsworth Aerospace Upper,315.0,5,0.3178,,,0.2778,0.3636,0.2692,0.3095,0.3478
Farnsworth Aerospace Upper,315.0,8,0.1534,,,0.0345,0.1585,0.1481,0.1172,0.2857
Highland Park Middle School,330.0,8,0.3712,0.6667,0.1579,0.1538,0.3362,0.4071,0.1402,0.5738
Murray Middle School,342.0,8,0.343,0.6047,0.157,0.1304,0.4159,0.2553,0.1364,0.5773
Parkway Montessori/Community Middle,344.0,8,0.1563,0.5,0.0926,0.0,0.1017,0.2029,0.1212,0.2759
Ramsey Middle School,345.0,8,0.3353,0.7333,0.1953,0.2029,0.3895,0.2692,0.1887,0.5672
Central Senior High,210.0,HS,0.496,0.7243,0.2784,0.1566,0.4833,0.5075,0.2715,0.6447
Como Park Senior High,212.0,HS,0.3296,0.6667,0.2164,0.1667,0.3871,0.2674,0.2243,0.4861
Harding Senior High,215.0,HS,0.25,0.4118,0.239,0.1591,0.2828,0.2114,0.2199,0.3247
Highland Park Senior High,220.0,HS,0.4507,0.7041,0.3172,0.2879,0.4027,0.5037,0.2537,0.6267
Johnson Senior High,230.0,HS,0.2466,0.475,0.2109,0.0882,0.2632,0.2292,0.2119,0.3833
Sp_District_All,0.0,5,0.2982,0.6559,0.2018,0.1397,0.2962,0.3002,0.1713,0.5565
Sp_District_All,0.0,8,0.2463,0.6293,0.1425,0.1109,0.2659,0.2257,0.1338,0.4782
Sp_District_All,0.0,HS,0.354,0.6758,0.2566,0.1769,0.3729,0.3344,0.2492,0.5404
Mpls_District_All,0.0,5,0.4083,0.7759,0.1885,0.1437,0.4193,0.398,0.181,0.7172
Mpls_District_All,0.0,8,0.3323,0.6386,0.1608,0.1235,0.3296,0.3352,0.1429,0.5955
Mpls_District_All,0.0,HS,0.3405,0.662,0.1511,0.0918,0.3344,0.348,0.1364,0.6145
State_All,0.0,5,0.549,0.6639,0.3406,0.2426,0.5626,0.5348,0.3422,0.6862
State_All,0.0,8,0.4302,0.5137,0.2609,0.1754,0.4392,0.4208,0.2284,0.5429
State_All,0.0,HS,0.5435,0.6225,0.3523,0.2431,0.5435,0.5436,0.3302,0.6401
