School,School_Num,Grade,Total_Tested,Proficiency,White%,Asian%,Black%,ELL%,SPED%,FRPL%,Ranking,Address,Latitude,Longitude,Subject
Adams Magnet Elementary,1230.0,12.0,266.0,39.85,26.0,0.0,13.0,21.0,8.0,50.0,3,"615 S Chatsworth St, St Paul, MN 55102",44.923751,-93.143046,Math
Battle Creek Elementary School,1266.0,12.0,205.0,43.9,10.0,35.0,32.0,36.0,15.0,76.0,4,"60 Ruth St S, St Paul, MN 55119",44.9397245,-93.0138965,Math
Benjamin E Mays Magnet,1272.0,12.0,175.0,16.57,2.0,13.0,72.0,22.0,18.0,83.0,1,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223,Math
Bruce F Vento Elementary,1347.0,12.0,225.0,25.78,4.0,46.0,30.0,40.0,16.0,91.0,1,"409 Case Ave E, St Paul, MN 55130",44.9708968,-93.08290140000001,Math
Chelsea Heights Elementary,1275.0,12.0,220.0,52.73,46.0,10.0,22.0,13.0,14.0,50.0,4,"1557 Huron St, St Paul, MN 55108",44.987962700000004,-93.1560082,Math
Cherokee Heights Elementary School,1284.0,12.0,91.0,16.48,12.0,8.0,23.0,31.0,22.0,82.0,1,"694 S Charlton St, St Paul, MN 55107",44.9251564,-93.0954308,Math
Como Park Elementary,1293.0,12.0,211.0,41.23,12.0,46.0,22.0,44.0,17.0,81.0,3,"780 W Wheelock Pkwy, St Paul, MN 55117",44.978207700000006,-93.1331767,Math
Crossroads Montessori,1395.0,12.0,85.0,28.24,21.0,22.0,22.0,15.0,12.0,62.0,1,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475,Math
Crossroads Science Program,1398.0,12.0,144.0,40.97,8.0,27.0,47.0,20.0,12.0,76.0,3,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475,Math
Daytons Bluff Elementary,1299.0,12.0,140.0,17.86,8.0,23.0,45.0,25.0,20.0,83.0,1,"262 Bates Ave, St Paul, MN 55106",44.954667,-93.0666879,Math
Eastern Heights Elementary,1356.0,12.0,140.0,21.43,11.0,39.0,22.0,45.0,19.0,76.0,1,"2001 Margaret St, St Paul, MN 55119",44.96158699999999,-93.0166144,Math
Expo For Excellence Elementary Sch,1305.0,12.0,320.0,60.94,54.0,5.0,26.0,11.0,16.0,37.0,4,"540 Warwick St, St Paul, MN 55116",44.9251799,-93.1621718,Math
Farnsworth Aerospace Lower,916.0,7.0,207.0,36.23,8.0,68.0,11.0,57.0,9.0,73.0,3,"1290 Arcade St, St Paul, MN 55106",44.98080359999999,-93.0640926,Math
Four Seasons Elementary,1380.0,12.0,225.0,15.11,15.0,17.0,42.0,40.0,16.0,80.0,1,"318 N Moore St, St Paul, MN 55104",44.950436700000004,-93.183536,Math
Frost Lake Elementary School,1392.0,12.0,238.0,23.53,7.0,47.0,25.0,52.0,15.0,84.0,1,"1505 Hoyt Ave E, St Paul, MN 55106",44.9885601,-93.0367747,Math
Galtier Elementary School,1401.0,12.0,71.0,15.49,18.0,15.0,39.0,27.0,13.0,73.0,1,"1317 Charles Ave, St Paul, MN 55104",44.9578999,-93.15607929999999,Math
Groveland Park Elementary,1428.0,12.0,188.0,53.72,45.0,5.0,30.0,13.0,14.0,50.0,4,"2045 St Clair Ave, St Paul, MN 55105",44.9345874,-93.1841441,Math
Hamline Elementary School,1446.0,12.0,134.0,28.36,13.0,10.0,54.0,22.0,16.0,71.0,1,"1599 Englewood Ave, St Paul, MN 55104",44.964667999999996,-93.168084,Math
Highland Park Elementary,1473.0,12.0,197.0,37.06,27.0,10.0,48.0,30.0,7.0,63.0,3,"1700 W Saunders Ave, St Paul, MN 55116",44.9139273,-93.1700434,Math
Highwood Hills Elementary,1488.0,12.0,114.0,21.05,4.0,25.0,53.0,49.0,16.0,88.0,1,"2188 Londin Ln E, St Paul, MN 55119",44.929363,-93.008086,Math
Horace Mann School,1554.0,12.0,196.0,71.94,68.0,4.0,10.0,8.0,12.0,19.0,4,"2001 Eleanor Ave, St Paul, MN 55116",44.921083700000004,-93.185419,Math
Jackson Preparatory Elementary,1500.0,12.0,147.0,17.69,1.0,58.0,27.0,53.0,13.0,86.0,1,"437 Edmund Ave W, St Paul, MN 55103",44.958794299999994,-93.11812509999999,Math
Jie Ming Mandarin Immersion Academy,1449.0,12.0,80.0,92.5,30.0,34.0,4.0,16.0,1.0,20.0,4,"1845 Sheridan Ave W, St Paul, MN 55116",44.9021561,-93.17898570000001,Math
Jj Hill Montessori,1479.0,12.0,154.0,31.82,47.0,7.0,26.0,21.0,13.0,37.0,2,"998 Selby Ave, St Paul, MN 55104",44.9462463,-93.14267729999999,Math
John A. Johnson Achievement Plus El.,1245.0,12.0,158.0,13.92,6.0,25.0,43.0,29.0,14.0,89.0,1,"740 York Ave, St Paul, MN 55106",44.96802599999999,-93.06880090000001,Math
Linwood Monroe Arts Plus Lower,1020.0,7.0,157.0,33.12,32.0,27.0,20.0,41.0,22.0,69.0,2,"1023 Osceola Ave, St Paul, MN 55105",44.93609230000001,-93.1435396,Math
Maxfield Elementary School,1572.0,12.0,124.0,14.52,6.0,6.0,69.0,8.0,19.0,82.0,1,"380 N Victoria St, St Paul, MN 55104",44.95261729999999,-93.135536,Math
Nokomis Montessori North Campus,1599.0,12.0,133.0,30.83,29.0,49.0,11.0,36.0,17.0,59.0,2,"985 Ruth St N, St Paul, MN 55119",44.97086669999999,-93.01563190000002,Math
Nokomis Montessori South Campus,1602.0,12.0,115.0,25.22,23.0,43.0,13.0,32.0,17.0,55.0,1,"525 White Bear Ave, St Paul, MN 55106",44.9573338,-93.025938,Math
Obama Service Learning Elementary,1734.0,12.0,131.0,14.5,4.0,8.0,74.0,13.0,18.0,88.0,1,"707 Holly Ave, St Paul, MN 55104",44.9436026,-93.1300544,Math
Paul & Sheila Wellstone Elementary,1656.0,12.0,262.0,19.47,4.0,18.0,20.0,54.0,18.0,85.0,1,"1041 Marion St, St Paul, MN 55117",44.9728563,-93.1104994,Math
Phalen Lake Hmong Studies Magnet,1623.0,12.0,288.0,37.85,1.0,86.0,4.0,66.0,7.0,83.0,3,"1089 N Cypress St, St Paul, MN 55106",44.9738608,-93.0593449,Math
Randolph Heights Elementary,1635.0,12.0,214.0,75.7,64.0,7.0,13.0,9.0,6.0,32.0,4,"348 Hamline Ave S, St Paul, MN 55105",44.9310863,-93.1559271,Math
Riverview West School Of Excellence,1653.0,12.0,163.0,11.66,5.0,2.0,22.0,47.0,10.0,75.0,1,"160 Isabel St E, St Paul, MN 55107",44.9328031,-93.0767957,Math
Saint Paul Music Academy,1674.0,12.0,308.0,35.06,5.0,55.0,22.0,54.0,19.0,90.0,2,"27 Geranium Ave E, St Paul, MN 55117",44.97604159999999,-93.1001936,Math
St. Anthony Park Elementary,1671.0,12.0,239.0,66.95,60.0,10.0,12.0,14.0,14.0,26.0,4,"2180 Knapp St, St Paul, MN 55108",44.9780331,-93.1917562,Math
The Heights Community School,1464.0,12.0,220.0,24.55,9.0,36.0,29.0,35.0,14.0,70.0,1,"1863 Clear Ave E, St Paul, MN 55119",44.9823881,-93.0209262,Math
American Indian Magnet School,3474.0,33.0,392.0,8.67,5.0,28.0,16.0,28.0,21.0,83.0,1,"1075 3rd St E, St Paul, MN 55106",44.957364500000004,-93.0549594,Math
