School,School_Num,Grade,Total_Tested,Proficiency,White%,White_Proficiency%,Asian%,Asian_Proficiency%,Black%,Black_Proficiency%,ELL%,SPED%,FRPL%,FRPL_Proficiency%,NonFRPL%,NonFRPL_Proficiency%,Ranking,Address,Latitude,Longitude,Subject,City
Adams Magnet Elementary,1230.0,12.0,266.0,39.85,26.0,71.01,0.0,,13.0,2.86,21.0,8.0,50.0,21.97,50.0,57.46,3,"615 S Chatsworth St, St Paul, MN 55102",44.923751,-93.143046,Math,Saint Paul
Battle Creek Elementary School,1266.0,12.0,205.0,43.9,10.0,14.29,35.0,45.07,32.0,36.36,36.0,15.0,76.0,41.03,76.0,53.06,4,"60 Ruth St S, St Paul, MN 55119",44.9397245,-93.0138965,Math,Saint Paul
Benjamin E Mays Magnet,1272.0,12.0,175.0,16.57,2.0,0.0,13.0,13.04,72.0,13.49,22.0,18.0,83.0,15.17,83.0,3.33,1,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223,Math,Saint Paul
Bruce F Vento Elementary,1347.0,12.0,225.0,25.78,4.0,0.0,46.0,34.95,30.0,20.59,40.0,16.0,91.0,25.37,91.0,0.0,1,"409 Case Ave E, St Paul, MN 55130",44.9708968,-93.08290140000001,Math,Saint Paul
Chelsea Heights Elementary,1275.0,12.0,220.0,52.73,46.0,65.69,10.0,17.39,22.0,41.67,13.0,14.0,50.0,39.45,50.0,65.77,4,"1557 Huron St, St Paul, MN 55108",44.987962700000004,-93.1560082,Math,Saint Paul
Cherokee Heights Elementary School,1284.0,12.0,91.0,16.48,12.0,0.0,8.0,0.0,23.0,0.0,31.0,22.0,82.0,17.33,82.0,0.0,1,"694 S Charlton St, St Paul, MN 55107",44.9251564,-93.0954308,Math,Saint Paul
Como Park Elementary,1293.0,12.0,211.0,41.23,12.0,44.0,46.0,47.96,22.0,23.91,44.0,17.0,81.0,35.29,81.0,65.85,3,"780 W Wheelock Pkwy, St Paul, MN 55117",44.978207700000006,-93.1331767,Math,Saint Paul
Crossroads Montessori,1395.0,12.0,85.0,28.24,21.0,0.0,22.0,21.05,22.0,0.0,15.0,12.0,62.0,22.64,62.0,34.38,1,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475,Math,Saint Paul
Crossroads Science Program,1398.0,12.0,144.0,40.97,8.0,0.0,27.0,33.33,47.0,34.33,20.0,12.0,76.0,36.36,76.0,44.12,3,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475,Math,Saint Paul
Daytons Bluff Elementary,1299.0,12.0,140.0,17.86,8.0,0.0,23.0,18.75,45.0,9.52,25.0,20.0,83.0,17.24,83.0,0.0,1,"262 Bates Ave, St Paul, MN 55106",44.954667,-93.0666879,Math,Saint Paul
Eastern Heights Elementary,1356.0,12.0,140.0,21.43,11.0,0.0,39.0,20.0,22.0,3.23,45.0,19.0,76.0,17.92,76.0,32.35,1,"2001 Margaret St, St Paul, MN 55119",44.96158699999999,-93.0166144,Math,Saint Paul
Expo For Excellence Elementary Sch,1305.0,12.0,320.0,60.94,54.0,76.16,5.0,0.0,26.0,37.8,11.0,16.0,37.0,33.9,37.0,76.73,4,"540 Warwick St, St Paul, MN 55116",44.9251799,-93.1621718,Math,Saint Paul
Farnsworth Aerospace Lower,916.0,7.0,207.0,36.23,8.0,0.0,68.0,29.08,11.0,36.36,57.0,9.0,73.0,33.77,73.0,42.86,3,"1290 Arcade St, St Paul, MN 55106",44.98080359999999,-93.0640926,Math,Saint Paul
Four Seasons Elementary,1380.0,12.0,225.0,15.11,15.0,14.71,17.0,10.26,42.0,12.77,40.0,16.0,80.0,13.33,80.0,22.22,1,"318 N Moore St, St Paul, MN 55104",44.950436700000004,-93.183536,Math,Saint Paul
Frost Lake Elementary School,1392.0,12.0,238.0,23.53,7.0,0.0,47.0,30.09,25.0,20.0,52.0,15.0,84.0,21.11,84.0,35.9,1,"1505 Hoyt Ave E, St Paul, MN 55106",44.9885601,-93.0367747,Math,Saint Paul
Galtier Elementary School,1401.0,12.0,71.0,15.49,18.0,0.0,15.0,0.0,39.0,3.57,27.0,13.0,73.0,11.54,73.0,0.0,1,"1317 Charles Ave, St Paul, MN 55104",44.9578999,-93.15607929999999,Math,Saint Paul
Groveland Park Elementary,1428.0,12.0,188.0,53.72,45.0,72.62,5.0,0.0,30.0,28.57,13.0,14.0,50.0,34.04,50.0,73.4,4,"2045 St Clair Ave, St Paul, MN 55105",44.9345874,-93.1841441,Math,Saint Paul
Hamline Elementary School,1446.0,12.0,134.0,28.36,13.0,0.0,10.0,0.0,54.0,20.83,22.0,16.0,71.0,23.16,71.0,41.03,1,"1599 Englewood Ave, St Paul, MN 55104",44.964667999999996,-93.168084,Math,Saint Paul
