Schools,Address
Adams Magnet Elementary,"615 S Chatsworth St, St Paul, MN 55102"
American Indian Magnet School,"1075 3rd St E, St Paul, MN 55106"
Andersen Community,"1098 Andersen Ln, Minneapolis, MN 55407"
Anishinabe Academy,"3100 E 28th St, Minneapolis, MN 55406"
Anthony Middle School,"5757 Irving Ave S, Minneapolis, MN 55419"
Anwatin Middle Com & Spanish D I,"256 Upton Ave S, Minneapolis, MN 55405"
Armatage Elementary,"2501 W 56th St, Minneapolis, MN 55410"
Bancroft Elementary,"1315 E 38th St, Minneapolis, MN 55407"
Barton Open Elementary,"4237 Colfax Ave S, Minneapolis, MN 55409"
Battle Creek Elementary School,"60 Ruth St S, St Paul, MN 55119"
Battle Creek Middle,"2121 N Park Dr, St Paul, MN 55119"
Benjamin E Mays Magnet,"560 Concordia Ave, St Paul, MN 55103"
Bethune Elementary,"919 Emerson Ave N, Minneapolis, MN 55411"
Bruce F Vento Elementary,"409 Case Ave E, St Paul, MN 55130"
Bryn Mawr Elementary,"252 Upton Ave S, Minneapolis, MN 55405"
Burroughs Elementary,"1601 W 50th St, Minneapolis, MN 55419"
Capitol Hill Magnet/Rondo,"560 Concordia Ave, St Paul, MN 55103"
Central Senior High,"275 Lexington Pkwy N., St Paul, MN 55104"
Chelsea Heights Elementary,"1557 Huron St, St Paul, MN 55108"
Cherokee Heights Elementary School,"694 S Charlton St, St Paul, MN 55107"
Cityview Community,"3350 N 4th St, Minneapolis, MN 55412"
Como Park Elementary,"780 W Wheelock Pkwy, St Paul, MN 55117"
Como Park Senior High,"740 Rose Ave W, St Paul, MN 55117"
Crossroads Montessori,"543 Front Ave, St Paul, MN 55117"
Crossroads Science Program,"543 Front Ave, St Paul, MN 55117"
Daytons Bluff Elementary,"262 Bates Ave, St Paul, MN 55106"
Dowling Elementary,"3900 W River Pkwy, Minneapolis, MN 55406"
Eastern Heights Elementary,"2001 Margaret St, St Paul, MN 55119"
Edison Senior High,"700 22nd Ave NE, Minneapolis, MN 55418"
